provider_league_id,league_name,country,country_flag_url,league_logo_url,season,round,observed_at_utc,status,error
39,Premier League,England,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2026,Regular Season - 6,2026-09-25T04:29:36Z,available,
140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 8,2026-09-25T04:29:36Z,available,
135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 6,2026-09-25T04:29:36Z,available,
78,Bundesliga,Germany,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2026,Regular Season - 5,2026-09-25T04:29:36Z,available,
61,Ligue 1,France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2026,Regular Season - 6,2026-09-25T04:29:36Z,available,
218,Bundesliga,Austria,https://media.api-sports.io/flags/at.svg,https://media.api-sports.io/football/leagues/218.png,2026,Regular Season - 8,2026-09-25T04:29:36Z,available,
144,Jupiler Pro League,Belgium,https://media.api-sports.io/flags/be.svg,https://media.api-sports.io/football/leagues/144.png,2026,Regular Season - 8,2026-09-25T04:29:36Z,available,
119,Superliga,Denmark,https://media.api-sports.io/flags/dk.svg,https://media.api-sports.io/football/leagues/119.png,2026,Regular Season - 10,2026-09-25T04:29:36Z,available,
362,A Lyga,Lithuania,https://media.api-sports.io/flags/lt.svg,https://media.api-sports.io/football/leagues/362.png,2026,Regular Season - 22,2026-09-25T04:29:36Z,available,
365,Virsliga,Latvia,https://media.api-sports.io/flags/lv.svg,https://media.api-sports.io/football/leagues/365.png,2026,Regular Season - 32,2026-09-25T04:29:36Z,available,
88,Eredivisie,Netherlands,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2026,Regular Season - 8,2026-09-25T04:29:36Z,available,
103,Eliteserien,Norway,https://media.api-sports.io/flags/no.svg,https://media.api-sports.io/football/leagues/103.png,2026,Regular Season - 23,2026-09-25T04:29:36Z,available,
106,Ekstraklasa,Poland,https://media.api-sports.io/flags/pl.svg,https://media.api-sports.io/football/leagues/106.png,2026,Regular Season - 10,2026-09-25T04:29:36Z,available,
94,Primeira Liga,Portugal,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2026,Regular Season - 8,2026-09-25T04:29:36Z,available,
203,Süper Lig,Turkey,https://media.api-sports.io/flags/tr.svg,https://media.api-sports.io/football/leagues/203.png,2026,Regular Season - 7,2026-09-25T04:29:36Z,available,
179,Premiership,Scotland,https://media.api-sports.io/flags/gb-sct.svg,https://media.api-sports.io/football/leagues/179.png,2026,Regular Season - 8,2026-09-25T04:29:36Z,available,
