api_fixture_id,historical_match_id,provider_league_id,league_code,league_name,season_label,date_iso,api_kickoff_utc,home_team,away_team,market_total_source,close_over_25_odds,close_under_25_odds,p_over25_no_vig,p_under25_no_vig,total_market_expectation_band,market_1x2_source,close_home_odds,close_draw_odds,close_away_odds,p_home_no_vig,p_draw_no_vig,p_away_no_vig,market_favorite_side,market_favorite_probability,home_goals,away_goals,goals_total,actual_over25,actual_result,over25_residual,total_expectation_deviation_class,favorite_result_alignment,environment_source_class,temperature_mean_c,apparent_temperature_mean_c,relative_humidity_mean_pct,dew_point_mean_c,surface_pressure_mean_hpa,precipitation_sum_mm,rain_sum_mm,showers_sum_mm,snowfall_sum_cm,visibility_min_m,wind_speed_mean_kmh,wind_speed_max_kmh,wind_gust_mean_kmh,wind_gust_max_kmh,weather_code_mode,shots_total,shots_on_goal_total,shots_outsidebox_total,goalkeeper_saves_total,corners_total,passes_accuracy_mean,expected_goals_total,normal_goals,penalty_goals,own_goals,red_card_events,var_events,expectation_source_is_prematch_market,environment_source_is_postmatch_proxy,causal_claim_authorized,research_only,historical_backfill_only,predictive_authority,betting_authority,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation,projection_version
1570383,bee240f61389c22c821b93db20fdce7420bb26eb98d6be7886a9e10ecb7afc69,140,SP1,La Liga,2026/2027,2026-09-15,2026-09-15T18:00:00+00:00,Alaves,Valencia,FOOTBALL_DATA_AVG_CLOSING_OU25,2.08,1.7,0.449735,0.550265,UNDER_LEAN,FOOTBALL_DATA_AVG_CLOSING_1X2,1.71,3.5,5.18,0.549847,0.26864,0.181513,H,0.549847,0,1,1,false,A,-0.449735,EXPECTED_UNDER_ACTUAL_UNDER,FAVORITE_RESULT_MISS,HISTORICAL_FORECAST_ASSIMILATION_PROXY,19.2,18.467,78.667,15.433,961.267,0,0,0,0,15980,15,15.5,33.1,37.4,0,25,6,9,5,7,80.5,1.7,0,0,0,0,0,true,true,false,true,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false,PBK_ENVIRONMENTAL_EXPECTATION_DEVIATION_V1
1570388,86f19b24e2df5f79cf171aa5df3f727b5ff1d3ef1193961b5f9d2ebd05df5a7c,140,SP1,La Liga,2026/2027,2026-09-15,2026-09-15T19:30:00+00:00,Elche,Real Madrid,FOOTBALL_DATA_AVG_CLOSING_OU25,1.3,3.4,0.723404,0.276596,OVER_LEAN,FOOTBALL_DATA_AVG_CLOSING_1X2,12.02,7.22,1.19,0.078335,0.130414,0.791251,A,0.791251,2,3,5,true,A,0.276596,EXPECTED_OVER_ACTUAL_OVER,FAVORITE_RESULT_MATCH,HISTORICAL_FORECAST_ASSIMILATION_PROXY,22.325,25.725,87.75,20.15,1008.325,0,0,0,0,14400,3.9,4.8,9.45,12.2,0,31,7,9,3,7,90,4.39,0,0,0,0,0,true,true,false,true,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false,PBK_ENVIRONMENTAL_EXPECTATION_DEVIATION_V1
1550133,24b0a4b007ab676e9a4008652090427dcdf154eb1a799fe0239ab33c0e696eb2,135,I1,Serie A,2026/2027,2026-09-18,2026-09-18T18:45:00+00:00,Monza,Sassuolo,FOOTBALL_DATA_AVG_CLOSING_OU25,1.68,2.13,0.559055,0.440945,OVER_LEAN,FOOTBALL_DATA_AVG_CLOSING_1X2,2.8,3.35,2.47,0.336766,0.281476,0.381759,A,0.381759,2,1,3,true,H,0.440945,EXPECTED_OVER_ACTUAL_OVER,FAVORITE_RESULT_MISS,HISTORICAL_FORECAST_ASSIMILATION_PROXY,19.833,20.633,69.667,14.1,997.033,0,0,0,0,35680,4,4.3,9.133,11.2,2,35,14,14,11,12,84.5,3.03,2,1,0,0,0,true,true,false,true,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false,PBK_ENVIRONMENTAL_EXPECTATION_DEVIATION_V1
1550129,470021d43263ec7ced74e1b6b46b1708e15979ee1ecd1cae8bb995629c493552,135,I1,Serie A,2026/2027,2026-09-19,2026-09-19T13:00:00+00:00,Bologna,Torino,FOOTBALL_DATA_AVG_CLOSING_OU25,2.21,1.64,0.425974,0.574026,UNDER_LEAN,FOOTBALL_DATA_AVG_CLOSING_1X2,1.96,3.26,4.1,0.480937,0.289152,0.229911,H,0.480937,1,1,2,false,D,-0.425974,EXPECTED_UNDER_ACTUAL_UNDER,FAVORITE_RESULT_MISS,HISTORICAL_FORECAST_ASSIMILATION_PROXY,26.667,27.6,49,15.1,1012.367,0,0,0,0,40900,6.667,8.2,14.033,15.1,2,24,4,10,2,7,77,1.33,2,0,0,0,0,true,true,false,true,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false,PBK_ENVIRONMENTAL_EXPECTATION_DEVIATION_V1
1550135,b96fade102db2a8c2a6aea8846318f59c8351683fa4ef6e711e6d6c55e5729a7,135,I1,Serie A,2026/2027,2026-09-19,2026-09-19T13:00:00+00:00,Udinese,Cagliari,FOOTBALL_DATA_AVG_CLOSING_OU25,2.19,1.64,0.428198,0.571802,UNDER_LEAN,FOOTBALL_DATA_AVG_CLOSING_1X2,2.23,3.14,3.41,0.422985,0.3004,0.276615,H,0.422985,0,1,1,false,A,-0.428198,EXPECTED_UNDER_ACTUAL_UNDER,FAVORITE_RESULT_MISS,HISTORICAL_FORECAST_ASSIMILATION_PROXY,26.4,26.2,46,13.833,1007.5,0,0,0,0,41820,9.7,10.2,16.8,18.4,0,31,7,11,7,17,86.5,3.04,1,0,0,0,0,true,true,false,true,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false,PBK_ENVIRONMENTAL_EXPECTATION_DEVIATION_V1
1550136,7a0e6d0ba41b8f3c7cc4473f470b181b0b892932eea7fb528500afa3df68e9e0,135,I1,Serie A,2026/2027,2026-09-19,2026-09-19T18:45:00+00:00,Venezia,Lazio,FOOTBALL_DATA_AVG_CLOSING_OU25,1.74,2.04,0.539683,0.460317,BALANCED,FOOTBALL_DATA_AVG_CLOSING_1X2,3.72,3.55,1.96,0.253431,0.265567,0.481002,A,0.481002,0,2,2,false,A,-0.539683,BALANCED_ACTUAL_UNDER,FAVORITE_RESULT_MATCH,HISTORICAL_FORECAST_ASSIMILATION_PROXY,19.133,20.3,84,16.4,1004.667,0,0,0,0,28640,7.3,7.6,12.967,13.7,0,28,8,13,7,9,86,3.48,1,2,0,0,0,true,true,false,true,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false,PBK_ENVIRONMENTAL_EXPECTATION_DEVIATION_V1
1552767,e05eca2ba36eb17b8cb854536db09bc4ece8df8dba4154de73843cf84984de0c,61,F1,Ligue 1,2026/2027,2026-09-19,2026-09-19T18:45:00+00:00,Le Mans,Lorient,FOOTBALL_DATA_AVG_CLOSING_OU25,2,1.75,0.466667,0.533333,BALANCED,FOOTBALL_DATA_AVG_CLOSING_1X2,2.87,3.2,2.5,0.328421,0.294552,0.377027,A,0.377027,2,1,3,true,H,0.533333,BALANCED_ACTUAL_OVER,FAVORITE_RESULT_MISS,HISTORICAL_FORECAST_ASSIMILATION_PROXY,20.567,20.333,58,12,1016.9,0,0,0,0,39800,5.8,6.2,13.2,14.4,1,20,9,8,6,4,,,3,0,0,0,0,true,true,false,true,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false,PBK_ENVIRONMENTAL_EXPECTATION_DEVIATION_V1
1552768,320b5be90595e005ffb7b2af1bce56395234245eebbe6fe09978961ea3b7b26f,61,F1,Ligue 1,2026/2027,2026-09-19,2026-09-19T18:45:00+00:00,Lyon,Rennes,FOOTBALL_DATA_AVG_CLOSING_OU25,1.53,2.42,0.612658,0.387342,OVER_LEAN,FOOTBALL_DATA_AVG_CLOSING_1X2,2.09,3.75,3.16,0.450709,0.251195,0.298096,H,0.450709,4,0,4,true,H,0.387342,EXPECTED_OVER_ACTUAL_OVER,FAVORITE_RESULT_MATCH,HISTORICAL_FORECAST_ASSIMILATION_PROXY,18.933,17.4,41.333,5.433,1002.067,0,0,0,0,43240,3,4.6,6.7,9,3,28,13,9,9,11,,,4,0,0,0,0,true,true,false,true,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false,PBK_ENVIRONMENTAL_EXPECTATION_DEVIATION_V1
1552771,9bb7cf1040da04c6b0ed70d1ff4a43d3d66fc45b54bf8a86276caa218518b3fd,61,F1,Ligue 1,2026/2027,2026-09-19,2026-09-19T15:15:00+00:00,Paris FC,Strasbourg,FOOTBALL_DATA_AVG_CLOSING_OU25,1.55,2.35,0.602564,0.397436,OVER_LEAN,FOOTBALL_DATA_AVG_CLOSING_1X2,1.79,3.88,4.07,0.525999,0.242665,0.231336,H,0.525999,2,1,3,true,H,0.397436,EXPECTED_OVER_ACTUAL_OVER,FAVORITE_RESULT_MATCH,HISTORICAL_FORECAST_ASSIMILATION_PROXY,24.9,23.133,36.667,9.1,1017.633,0,0,0,0,43080,10.533,10.8,24.733,25.6,3,22,8,7,6,3,,,2,0,1,0,0,true,true,false,true,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false,PBK_ENVIRONMENTAL_EXPECTATION_DEVIATION_V1
1552772,ed177fc6471fd4d22ce2ea90238e11868cb432bd3cf41db6f6131ed7496519ad,61,F1,Ligue 1,2026/2027,2026-09-19,2026-09-19T18:45:00+00:00,Toulouse,Le Havre,FOOTBALL_DATA_AVG_CLOSING_OU25,1.61,2.23,0.580729,0.419271,OVER_LEAN,FOOTBALL_DATA_AVG_CLOSING_1X2,1.65,4.05,4.81,0.571284,0.232745,0.195971,H,0.571284,3,2,5,true,H,0.419271,EXPECTED_OVER_ACTUAL_OVER,FAVORITE_RESULT_MATCH,HISTORICAL_FORECAST_ASSIMILATION_PROXY,22.233,21.433,41,8.2,1007.033,0,0,0,0,41820,2.233,2.5,6.467,10.8,0,32,12,10,7,13,,,4,1,0,0,0,true,true,false,true,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false,PBK_ENVIRONMENTAL_EXPECTATION_DEVIATION_V1
