venue_id,venue_name,venue_city,team_country,latitude,longitude,elevation_m,geocoded_name,geocoded_country,geocoded_country_code,geocoded_admin1,geocoded_population,geocoded_feature_code,geocode_quality_status,geocode_name_match_quality,geocode_query_used,resolver_version,captured_at_utc,source
10491,Deutsche Bank Park,Frankfurt am Main,Germany,50.116,8.684,113,Frankfurt am Main,Germany,DE,Hesse,650000,PPLA3,VERIFIED_LOCALITY_V4,3,Frankfurt am Main,PBK_GEOCODE_V4,2026-09-25T10:42:45Z,Open-Meteo Geocoding API city proxy v4
10503,Gtech Community Stadium,"Brentford, Middlesex",England,51.486,-0.308,15,Brentford,United Kingdom,GB,England,10750,PPL,VERIFIED_LOCALITY_V4,3,Brentford,PBK_GEOCODE_V4,2026-09-25T10:42:45Z,Open-Meteo Geocoding API city proxy v4
10505,Sparta-Stadion Het Kasteel,Rotterdam,Netherlands,51.922,4.479,9,Rotterdam,The Netherlands,NL,South Holland,868135,PPL,VERIFIED_LOCALITY_V4,3,Rotterdam,PBK_GEOCODE_V4,2026-09-25T10:42:45Z,Open-Meteo Geocoding API city proxy v4
10523,ImmoAgentur Stadion Bregenz,Bregenz,Austria,47.503,9.747,405,Bregenz,Austria,AT,Vorarlberg,29806,PPLA,VERIFIED_LOCALITY_V4,3,Bregenz,PBK_GEOCODE_V4,2026-09-25T10:42:45Z,Open-Meteo Geocoding API city proxy v4
1117,Johan Cruijff Arena,Amsterdam,Netherlands,52.374,4.89,13,Amsterdam,The Netherlands,NL,North Holland,741636,PPLC,VERIFIED_LOCALITY_V4,3,Amsterdam,PBK_GEOCODE_V4,2026-09-25T10:42:45Z,Open-Meteo Geocoding API city proxy v4
1119,AFAS Stadion,Alkmaar,Netherlands,52.632,4.749,5,Alkmaar,The Netherlands,NL,North Holland,94853,PPL,VERIFIED_LOCALITY_V4,3,Alkmaar,PBK_GEOCODE_V4,2026-09-25T10:42:45Z,Open-Meteo Geocoding API city proxy v4
1128,Stadion Feijenoord,Rotterdam,Netherlands,51.922,4.479,9,Rotterdam,The Netherlands,NL,South Holland,868135,PPL,VERIFIED_LOCALITY_V4,3,Rotterdam,PBK_GEOCODE_V4,2026-09-25T10:42:45Z,Open-Meteo Geocoding API city proxy v4
1129,Fortuna Sittard Stadion,Sittard,Netherlands,50.998,5.869,48,Sittard,The Netherlands,NL,Limburg,48400,PPL,VERIFIED_LOCALITY_V4,3,Sittard,PBK_GEOCODE_V4,2026-09-25T14:27:54Z,Open-Meteo Geocoding API city proxy v4
1130,De Adelaarshorst,Deventer,Netherlands,52.255,6.164,12,Deventer,The Netherlands,NL,Overijssel,97331,PPL,VERIFIED_LOCALITY_V4,3,Deventer,PBK_GEOCODE_V4,2026-09-25T15:34:58Z,Open-Meteo Geocoding API city proxy v4
1132,Abe Lenstra Stadion,Heerenveen,Netherlands,52.959,5.919,,Heerenveen,The Netherlands,NL,Friesland,43094,PPL,VERIFIED_LOCALITY_V4,3,Heerenveen,PBK_GEOCODE_V4,2026-09-25T14:26:26Z,Open-Meteo Geocoding API city proxy v4
