referee,matches,season_count,first_date,last_date,unique_teams,home_wins,draws,away_wins,home_win_pct,draw_pct,away_win_pct,goal_observed_matches,total_goals,goals_per_observed_match,yellow_observed_matches,home_yellows,away_yellows,total_yellows,home_yellows_per_observed_match,away_yellows_per_observed_match,total_yellows_per_observed_match,home_minus_away_yellows_per_observed_match,red_observed_matches,home_reds,away_reds,total_reds,home_reds_per_observed_match,away_reds_per_observed_match,total_reds_per_observed_match,home_minus_away_reds_per_observed_match,foul_observed_matches,home_fouls,away_fouls,total_fouls,home_fouls_per_observed_match,away_fouls_per_observed_match,total_fouls_per_observed_match,home_minus_away_fouls_per_observed_match,source_scope,penalties_available,research_only,operational_betting_authority
A Kitchen,6,2,2025-04-19,2026-05-24,9,3,3,0,50.0,50.0,0.0,6,14,2.333,6,11,8,19,1.833,1.333,3.167,0.5,6,0,0,0,0.0,0.0,0.0,0.0,6,73,74,147,12.167,12.333,24.5,-0.167,EPL_ONLY,false,true,false
A Madley,133,8,2018-12-15,2026-05-24,28,57,32,44,42.86,24.06,33.08,133,393,2.955,133,193,248,441,1.451,1.865,3.316,-0.414,133,8,6,14,0.06,0.045,0.105,0.015,133,1476,1588,3064,11.098,11.94,23.038,-0.842,EPL_ONLY,false,true,false
A Marriner,136,6,2017-08-13,2023-05-28,27,51,33,52,37.5,24.26,38.24,136,393,2.89,136,179,194,373,1.316,1.426,2.743,-0.11,136,9,5,14,0.066,0.037,0.103,0.029,136,1223,1263,2486,8.993,9.287,18.279,-0.294,EPL_ONLY,false,true,false
A Moss,1,1,2021-05-16,2021-05-16,2,0,0,1,0.0,0.0,100.0,1,1,1.0,1,1,3,4,1.0,3.0,4.0,-2.0,1,0,0,0,0.0,0.0,0.0,0.0,1,8,12,20,8.0,12.0,20.0,-4.0,EPL_ONLY,false,true,false
A Taylor,265,9,2017-08-12,2026-05-24,32,112,66,87,42.26,24.91,32.83,265,803,3.03,265,469,472,941,1.77,1.781,3.551,-0.011,265,17,13,30,0.064,0.049,0.113,0.015,265,2790,2711,5501,10.528,10.23,20.758,0.298,EPL_ONLY,false,true,false
C Kavanagh,192,9,2017-09-09,2026-05-24,31,86,44,62,44.79,22.92,32.29,192,506,2.635,192,316,359,675,1.646,1.87,3.516,-0.224,192,11,11,22,0.057,0.057,0.115,0.0,192,2002,2068,4070,10.427,10.771,21.198,-0.344,EPL_ONLY,false,true,false
C Pawson,205,9,2017-08-12,2026-05-24,31,84,45,76,40.98,21.95,37.07,205,570,2.78,205,360,394,754,1.756,1.922,3.678,-0.166,205,14,13,27,0.068,0.063,0.132,0.005,205,2297,2297,4594,11.205,11.205,22.41,0.0,EPL_ONLY,false,true,false
D Bond,23,3,2023-01-03,2025-05-25,18,12,6,5,52.17,26.09,21.74,23,65,2.826,23,39,54,93,1.696,2.348,4.043,-0.652,23,2,2,4,0.087,0.087,0.174,0.0,23,253,242,495,11.0,10.522,21.522,0.478,EPL_ONLY,false,true,false
D Coote,112,8,2018-04-28,2024-11-09,26,52,23,37,46.43,20.54,33.04,112,304,2.714,112,206,226,432,1.839,2.018,3.857,-0.179,112,5,8,13,0.045,0.071,0.116,-0.027,112,1272,1358,2630,11.357,12.125,23.482,-0.768,EPL_ONLY,false,true,false
D England,99,7,2020-01-18,2026-05-24,27,42,26,31,42.42,26.26,31.31,99,297,3.0,99,168,227,395,1.697,2.293,3.99,-0.596,99,7,4,11,0.071,0.04,0.111,0.03,99,1059,1108,2167,10.697,11.192,21.889,-0.495,EPL_ONLY,false,true,false
