referee,team,matches,home_matches,away_matches,wins,draws,losses,win_pct,draw_pct,loss_pct,points,points_per_match,goal_observed_matches,goals_for,goals_against,goal_difference,yellow_observed_matches,yellows_for,yellows_against,yellow_difference,red_observed_matches,reds_for,reds_against,red_difference,foul_observed_matches,fouls_for,fouls_against,foul_difference,first_date,last_date,season_count,source_scope,penalties_available,research_only,operational_betting_authority
A Kitchen,Aston Villa,1,1,0,1,0,0,100.0,0.0,0.0,3,3.0,1,2,1,1,1,3,1,2,1,0,0,0,1,9,15,-6,2025-10-05,2025-10-05,1,EPL_ONLY,false,true,false
A Kitchen,Burnley,2,1,1,0,1,1,0.0,50.0,50.0,1,0.5,2,2,3,-1,2,3,5,-2,2,0,0,0,2,25,20,5,2025-10-05,2026-05-24,1,EPL_ONLY,false,true,false
A Kitchen,Chelsea,1,1,0,1,0,0,100.0,0.0,0.0,3,3.0,1,3,0,3,1,1,2,-1,1,0,0,0,1,12,14,-2,2025-11-08,2025-11-08,1,EPL_ONLY,false,true,false
A Kitchen,Ipswich,1,0,1,0,0,1,0.0,0.0,100.0,0,0.0,1,0,2,-2,1,0,1,-1,1,0,0,0,1,12,15,-3,2025-05-18,2025-05-18,1,EPL_ONLY,false,true,false
A Kitchen,Leicester,1,1,0,1,0,0,100.0,0.0,0.0,3,3.0,1,2,0,2,1,1,0,1,1,0,0,0,1,15,12,3,2025-05-18,2025-05-18,1,EPL_ONLY,false,true,false
A Kitchen,Man United,1,1,0,0,1,0,0.0,100.0,0.0,1,1.0,1,1,1,0,1,2,2,0,1,0,0,0,1,13,9,4,2025-12-04,2025-12-04,1,EPL_ONLY,false,true,false
A Kitchen,Southampton,1,0,1,0,1,0,0.0,100.0,0.0,1,1.0,1,1,1,0,1,1,2,-1,1,0,0,0,1,13,14,-1,2025-04-19,2025-04-19,1,EPL_ONLY,false,true,false
A Kitchen,West Ham,2,1,1,0,2,0,0.0,100.0,0.0,2,1.0,2,2,2,0,2,4,3,1,2,0,0,0,2,23,26,-3,2025-04-19,2025-12-04,2,EPL_ONLY,false,true,false
A Kitchen,Wolves,2,0,2,0,1,1,0.0,50.0,50.0,1,0.5,2,1,4,-3,2,4,3,1,2,0,0,0,2,25,22,3,2025-11-08,2026-05-24,1,EPL_ONLY,false,true,false
A Madley,Arsenal,5,3,2,2,2,1,40.0,40.0,20.0,8,1.6,5,3,3,0,5,9,10,-1,5,0,0,0,5,65,68,-3,2022-03-19,2026-03-14,4,EPL_ONLY,false,true,false
A Madley,Aston Villa,18,7,11,7,5,6,38.89,27.78,33.33,26,1.444,18,30,25,5,18,41,45,-4,18,0,0,0,18,226,250,-24,2019-10-05,2026-05-24,7,EPL_ONLY,false,true,false
A Madley,Bournemouth,8,2,6,4,2,2,50.0,25.0,25.0,14,1.75,8,12,12,0,8,16,21,-5,8,1,2,-1,8,100,78,22,2023-01-21,2026-05-09,4,EPL_ONLY,false,true,false
