fixture_id,country,provider_competition_id,competition_name,season,round,kickoff_utc,home_team,away_team,team_id,team_name,side,formation,coach_id,coach_name,starting_xi_json,starting_xi_count,substitutes_json,substitutes_count,retrieved_at_utc,source_endpoint,temporal_authority,archive_version
1378969,England,39,Premier League,2025,Regular Season - 1,2025-08-15T19:00:00+00:00,Liverpool,Bournemouth,35,Bournemouth,AWAY,4-1-4-1,2108,Andoni Iraola,"[{""grid"":""1:1"",""id"":118307,""name"":""D. Petrovic"",""number"":1,""pos"":""G""},{""grid"":""2:4"",""id"":18869,""name"":""A. Smith"",""number"":15,""pos"":""D""},{""grid"":""2:3"",""id"":22136,""name"":""B. Diakite"",""number"":18,""pos"":""D""},{""grid"":""2:2"",""id"":6610,""name"":""M. Senesi"",""number"":5,""pos"":""D""},{""grid"":""2:1"",""id"":162267,""name"":""A. Truffert"",""number"":3,""pos"":""D""},{""grid"":""3:1"",""id"":1150,""name"":""T. Adams"",""number"":12,""pos"":""M""},{""grid"":""4:4"",""id"":19281,""name"":""A. Semenyo"",""number"":24,""pos"":""M""},{""grid"":""4:3"",""id"":304853,""name"":""A. Scott"",""number"":8,""pos"":""M""},{""grid"":""4:2"",""id"":19245,""name"":""M. Tavernier"",""number"":16,""pos"":""M""},{""grid"":""4:1"",""id"":18870,""name"":""D. Brooks"",""number"":7,""pos"":""M""},{""grid"":""5:1"",""id"":152856,""name"":""Evanilson"",""number"":9,""pos"":""F""}]",11,"[{""grid"":null,""id"":151756,""name"":""W. Dennis"",""number"":40,""pos"":""G""},{""grid"":null,""id"":51051,""name"":""J. Araujo"",""number"":2,""pos"":""D""},{""grid"":null,""id"":20093,""name"":""J. Hill"",""number"":23,""pos"":""D""},{""grid"":null,""id"":402432,""name"":""B. Winterburn"",""number"":47,""pos"":""M""},{""grid"":null,""id"":402434,""name"":""R. Rees-Dottin"",""number"":50,""pos"":""F""},{""grid"":null,""id"":2734,""name"":""P. Billing"",""number"":29,""pos"":""M""},{""grid"":null,""id"":31057,""name"":""H. J. Traore"",""number"":25,""pos"":""M""},{""grid"":null,""id"":368030,""name"":""E. J. Kroupi"",""number"":22,""pos"":""F""},{""grid"":null,""id"":363333,""name"":""J. Soler"",""number"":20,""pos"":""D""}]",9,2026-09-26T17:16:56Z,/fixtures/lineups,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V2
1378969,England,39,Premier League,2025,Regular Season - 1,2025-08-15T19:00:00+00:00,Liverpool,Bournemouth,40,Liverpool,HOME,4-2-3-1,2006,Arne Slot,"[{""grid"":""1:1"",""id"":280,""name"":""Alisson"",""number"":1,""pos"":""G""},{""grid"":""2:4"",""id"":152654,""name"":""J. Frimpong"",""number"":30,""pos"":""D""},{""grid"":""2:3"",""id"":1145,""name"":""I. Konate"",""number"":5,""pos"":""D""},{""grid"":""2:2"",""id"":290,""name"":""V. van Dijk"",""number"":4,""pos"":""D""},{""grid"":""2:1"",""id"":206254,""name"":""M. Kerkez"",""number"":6,""pos"":""D""},{""grid"":""3:2"",""id"":1096,""name"":""D. Szoboszlai"",""number"":8,""pos"":""M""},{""grid"":""3:1"",""id"":6716,""name"":""A. Mac Allister"",""number"":10,""pos"":""M""},{""grid"":""4:3"",""id"":306,""name"":""M. Salah"",""number"":11,""pos"":""M""},{""grid"":""4:2"",""id"":203224,""name"":""F. Wirtz"",""number"":7,""pos"":""M""},{""grid"":""4:1"",""id"":247,""name"":""C. Gakpo"",""number"":18,""pos"":""M""},{""grid"":""5:1"",""id"":174565,""name"":""H. Ekitike"",""number"":22,""pos"":""F""}]",11,"[{""grid"":null,""id"":24760,""name"":""G. Mamardashvili"",""number"":25,""pos"":""G""},{""grid"":null,""id"":30410,""name"":""F. Chiesa"",""number"":14,""pos"":""F""},{""grid"":null,""id"":293,""name"":""C. Jones"",""number"":17,""pos"":""M""},{""grid"":null,""id"":19035,""name"":""H. Elliott"",""number"":19,""pos"":""M""},{""grid"":null,""id"":8500,""name"":""W. Endo"",""number"":3,""pos"":""M""},{""grid"":null,""id"":289,""name"":""A. Robertson"",""number"":26,""pos"":""D""},{""grid"":null,""id"":284,""name"":""J. Gomez"",""number"":2,""pos"":""D""},{""grid"":null,""id"":397997,""name"":""T. Nyoni"",""number"":42,""pos"":""M""},{""grid"":null,""id"":452685,""name"":""R. Ngumoha"",""number"":73,""pos"":""F""}]",9,2026-09-26T17:16:56Z,/fixtures/lineups,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V2
1378970,England,39,Premier League,2025,Regular Season - 1,2025-08-16T11:30:00+00:00,Aston Villa,Newcastle,34,Newcastle,AWAY,4-3-3,5,Eddie Howe,"[{""grid"":""1:1"",""id"":18911,""name"":""N. Pope"",""number"":1,""pos"":""G""},{""grid"":""2:4"",""id"":169,""name"":""K. Trippier"",""number"":2,""pos"":""D""},{""grid"":""2:3"",""id"":2806,""name"":""F. Schar"",""number"":5,""pos"":""D""},{""grid"":""2:2"",""id"":18961,""name"":""D. Burn"",""number"":33,""pos"":""D""},{""grid"":""2:1"",""id"":158694,""name"":""V. Livramento"",""number"":21,""pos"":""D""},{""grid"":""3:3"",""id"":10135,""name"":""Bruno Guimaraes"",""number"":39,""pos"":""M""},{""grid"":""3:2"",""id"":31146,""name"":""S. Tonali"",""number"":8,""pos"":""M""},{""grid"":""3:1"",""id"":723,""name"":""Joelinton"",""number"":7,""pos"":""M""},{""grid"":""4:3"",""id"":153430,""name"":""A. Elanga"",""number"":20,""pos"":""F""},{""grid"":""4:2"",""id"":138787,""name"":""A. Gordon"",""number"":10,""pos"":""F""},{""grid"":""4:1"",""id"":18778,""name"":""H. Barnes"",""number"":11,""pos"":""F""}]",11,"[{""grid"":null,""id"":20355,""name"":""A. Ramsdale"",""number"":32,""pos"":""G""},{""grid"":null,""id"":2855,""name"":""E. Krafth"",""number"":17,""pos"":""D""},{""grid"":null,""id"":38734,""name"":""S. Botman"",""number"":4,""pos"":""D""},{""grid"":null,""id"":163189,""name"":""M. Thiaw"",""number"":12,""pos"":""D""},{""grid"":null,""id"":284492,""name"":""L. Hall"",""number"":3,""pos"":""D""},{""grid"":null,""id"":19163,""name"":""J. Murphy"",""number"":23,""pos"":""M""},{""grid"":null,""id"":315237,""name"":""W. Osula"",""number"":18,""pos"":""F""},{""grid"":null,""id"":328105,""name"":""L. Miley"",""number"":67,""pos"":""M""},{""grid"":null,""id"":423714,""name"":""Park Seung-soo"",""number"":64,""pos"":""F""}]",9,2026-09-26T17:16:56Z,/fixtures/lineups,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V2
1378970,England,39,Premier League,2025,Regular Season - 1,2025-08-16T11:30:00+00:00,Aston Villa,Newcastle,66,Aston Villa,HOME,4-2-3-1,18,Unai Emery,"[{""grid"":""1:1"",""id"":36878,""name"":""M. Bizot"",""number"":40,""pos"":""G""},{""grid"":""2:4"",""id"":19298,""name"":""M. Cash"",""number"":2,""pos"":""D""},{""grid"":""2:3"",""id"":19354,""name"":""E. Konsa"",""number"":4,""pos"":""D""},{""grid"":""2:2"",""id"":19179,""name"":""T. Mings"",""number"":5,""pos"":""D""},{""grid"":""2:1"",""id"":2724,""name"":""L. Digne"",""number"":12,""pos"":""D""},{""grid"":""3:2"",""id"":1904,""name"":""B. Kamara"",""number"":44,""pos"":""M""},{""grid"":""3:1"",""id"":162714,""name"":""A. Onana"",""number"":24,""pos"":""M""},{""grid"":""4:3"",""id"":19191,""name"":""J. McGinn"",""number"":7,""pos"":""M""},{""grid"":""4:2"",""id"":2926,""name"":""Y. Tielemans"",""number"":8,""pos"":""M""},{""grid"":""4:1"",""id"":19170,""name"":""M. Rogers"",""number"":27,""pos"":""M""},{""grid"":""5:1"",""id"":19366,""name"":""O. Watkins"",""number"":11,""pos"":""F""}]",11,"[{""grid"":null,""id"":284390,""name"":""J. Wright"",""number"":64,""pos"":""G""},{""grid"":null,""id"":249,""name"":""D. Malen"",""number"":17,""pos"":""F""},{""grid"":null,""id"":46815,""name"":""P. Torres"",""number"":14,""pos"":""D""},{""grid"":null,""id"":138816,""name"":""I. Maatsen"",""number"":22,""pos"":""D""},{""grid"":null,""id"":162173,""name"":""S. Iling Junior"",""number"":19,""pos"":""F""},{""grid"":null,""id"":284457,""name"":""L. Bogarde"",""number"":26,""pos"":""D""},{""grid"":null,""id"":19071,""name"":""E. Buendia"",""number"":10,""pos"":""M""},{""grid"":null,""id"":137303,""name"":""E. Guessand"",""number"":29,""pos"":""F""},{""grid"":null,""id"":360268,""name"":""J. Jimoh-Aloba"",""number"":20,""pos"":""M""}]",9,2026-09-26T17:16:56Z,/fixtures/lineups,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V2
1378971,England,39,Premier League,2025,Regular Season - 1,2025-08-16T14:00:00+00:00,Brighton,Fulham,36,Fulham,AWAY,4-2-3-1,10,Marco Silva,"[{""grid"":""1:1"",""id"":1438,""name"":""B. Leno"",""number"":1,""pos"":""G""},{""grid"":""2:4"",""id"":657,""name"":""K. Tete"",""number"":2,""pos"":""D""},{""grid"":""2:3"",""id"":2729,""name"":""J. Andersen"",""number"":5,""pos"":""D""},{""grid"":""2:2"",""id"":131,""name"":""J. Cuenca"",""number"":15,""pos"":""D""},{""grid"":""2:1"",""id"":152967,""name"":""C. Bassey"",""number"":3,""pos"":""D""},{""grid"":""3:2"",""id"":2823,""name"":""S. Lukic"",""number"":20,""pos"":""M""},{""grid"":""3:1"",""id"":1934,""name"":""S. Berge"",""number"":16,""pos"":""M""},{""grid"":""4:3"",""id"":19221,""name"":""H. Wilson"",""number"":8,""pos"":""M""},{""grid"":""4:2"",""id"":389315,""name"":""J. King"",""number"":24,""pos"":""M""},{""grid"":""4:1"",""id"":1455,""name"":""A. Iwobi"",""number"":17,""pos"":""M""},{""grid"":""5:1"",""id"":2887,""name"":""R. Jimenez"",""number"":7,""pos"":""F""}]",11,"[{""grid"":null,""id"":21566,""name"":""B. Lecomte"",""number"":23,""pos"":""G""},{""grid"":null,""id"":19025,""name"":""T. Cairney"",""number"":10,""pos"":""M""},{""grid"":null,""id"":18753,""name"":""A. Traore"",""number"":11,""pos"":""F""},{""grid"":null,""id"":18814,""name"":""I. Diop"",""number"":31,""pos"":""D""},{""grid"":null,""id"":1161,""name"":""E. Smith Rowe"",""number"":32,""pos"":""M""},{""grid"":null,""id"":899,""name"":""Andreas Pereira"",""number"":18,""pos"":""M""},{""grid"":null,""id"":2920,""name"":""T. Castagne"",""number"":21,""pos"":""D""},{""grid"":null,""id"":19480,""name"":""H. Reed"",""number"":6,""pos"":""M""},{""grid"":null,""id"":195106,""name"":""Rodrigo Muniz"",""number"":9,""pos"":""F""}]",9,2026-09-26T17:16:56Z,/fixtures/lineups,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V2
1378971,England,39,Premier League,2025,Regular Season - 1,2025-08-16T14:00:00+00:00,Brighton,Fulham,51,Brighton,HOME,4-2-3-1,19253,Fabian Hurzeler,"[{""grid"":""1:1"",""id"":129058,""name"":""B. Verbruggen"",""number"":1,""pos"":""G""},{""grid"":""2:4"",""id"":92993,""name"":""M. Wieffer"",""number"":27,""pos"":""D""},{""grid"":""2:3"",""id"":38695,""name"":""J. P. van Hecke"",""number"":6,""pos"":""D""},{""grid"":""2:2"",""id"":18963,""name"":""L. Dunk"",""number"":5,""pos"":""D""},{""grid"":""2:1"",""id"":162007,""name"":""M. De Cuyper"",""number"":29,""pos"":""D""},{""grid"":""3:2"",""id"":356041,""name"":""C. Baleba"",""number"":17,""pos"":""M""},{""grid"":""3:1"",""id"":265820,""name"":""Y. Ayari"",""number"":26,""pos"":""M""},{""grid"":""4:3"",""id"":383685,""name"":""Y. Minteh"",""number"":11,""pos"":""M""},{""grid"":""4:2"",""id"":19030,""name"":""M. O'Riley"",""number"":33,""pos"":""M""},{""grid"":""4:1"",""id"":106835,""name"":""K. Mitoma"",""number"":22,""pos"":""M""},{""grid"":""5:1"",""id"":90590,""name"":""G. Rutter"",""number"":10,""pos"":""F""}]",11,"[{""grid"":null,""id"":18960,""name"":""J. Steele"",""number"":23,""pos"":""G""},{""grid"":null,""id"":296,""name"":""J. Milner"",""number"":20,""pos"":""M""},{""grid"":null,""id"":1469,""name"":""D. Welbeck"",""number"":18,""pos"":""F""},{""grid"":null,""id"":537,""name"":""J. Veltman"",""number"":34,""pos"":""D""},{""grid"":null,""id"":22160,""name"":""O. Boscagli"",""number"":21,""pos"":""D""},{""grid"":null,""id"":342063,""name"":""D. Coppola"",""number"":42,""pos"":""D""},{""grid"":null,""id"":328225,""name"":""B. Gruda"",""number"":8,""pos"":""M""},{""grid"":null,""id"":278370,""name"":""D. Gomez"",""number"":25,""pos"":""M""},{""grid"":null,""id"":1361,""name"":""F. Kadioglu"",""number"":24,""pos"":""D""}]",9,2026-09-26T17:16:56Z,/fixtures/lineups,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V2
1378972,England,39,Premier League,2025,Regular Season - 1,2025-08-17T13:00:00+00:00,Nottingham Forest,Brentford,55,Brentford,AWAY,4-2-3-1,25364,Keith Andrews,"[{""grid"":""1:1"",""id"":281,""name"":""C. Kelleher"",""number"":1,""pos"":""G""},{""grid"":""2:4"",""id"":342022,""name"":""M. Kayode"",""number"":33,""pos"":""D""},{""grid"":""2:3"",""id"":19495,""name"":""N. Collins"",""number"":22,""pos"":""D""},{""grid"":""2:2"",""id"":36922,""name"":""S. van den Berg"",""number"":4,""pos"":""D""},{""grid"":""2:1"",""id"":19346,""name"":""R. Henry"",""number"":3,""pos"":""D""},{""grid"":""3:2"",""id"":263538,""name"":""Y. Yarmolyuk"",""number"":18,""pos"":""M""},{""grid"":""3:1"",""id"":47438,""name"":""M. Jensen"",""number"":8,""pos"":""M""},{""grid"":""4:3"",""id"":106725,""name"":""K. Lewis-Potter"",""number"":23,""pos"":""M""},{""grid"":""4:2"",""id"":319517,""name"":""A. Milambo"",""number"":17,""pos"":""M""},{""grid"":""4:1"",""id"":153066,""name"":""F. Carvalho"",""number"":14,""pos"":""M""},{""grid"":""5:1"",""id"":196156,""name"":""I. Thiago"",""number"":9,""pos"":""F""}]",11,"[{""grid"":null,""id"":61742,""name"":""H. R. Valdimarsson"",""number"":12,""pos"":""G""},{""grid"":null,""id"":292,""name"":""J. Henderson"",""number"":6,""pos"":""M""},{""grid"":null,""id"":1119,""name"":""K. Ajer"",""number"":20,""pos"":""D""},{""grid"":null,""id"":15745,""name"":""M. Roerslev Rasmussen"",""number"":30,""pos"":""D""},{""grid"":null,""id"":15799,""name"":""F. Onyeka"",""number"":15,""pos"":""M""},{""grid"":null,""id"":178077,""name"":""K. Schade"",""number"":7,""pos"":""M""},{""grid"":null,""id"":180308,""name"":""M. Peart-Harris"",""number"":25,""pos"":""M""},{""grid"":null,""id"":430827,""name"":""B. Arthur"",""number"":43,""pos"":""D""},{""grid"":null,""id"":44871,""name"":""A. Hickey"",""number"":2,""pos"":""D""}]",9,2026-09-26T17:16:56Z,/fixtures/lineups,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V2
1378972,England,39,Premier League,2025,Regular Season - 1,2025-08-17T13:00:00+00:00,Nottingham Forest,Brentford,65,Nottingham Forest,HOME,4-2-3-1,27667,Vitor Pereira,"[{""grid"":""1:1"",""id"":2919,""name"":""M. Sels"",""number"":26,""pos"":""G""},{""grid"":""2:4"",""id"":2771,""name"":""O. Aina"",""number"":34,""pos"":""D""},{""grid"":""2:3"",""id"":2817,""name"":""N. Milenkovic"",""number"":31,""pos"":""D""},{""grid"":""2:2"",""id"":363695,""name"":""Murillo"",""number"":5,""pos"":""D""},{""grid"":""2:1"",""id"":138780,""name"":""N. Williams"",""number"":3,""pos"":""D""},{""grid"":""3:2"",""id"":22149,""name"":""I. Sangare"",""number"":6,""pos"":""M""},{""grid"":""3:1"",""id"":138908,""name"":""E. Anderson"",""number"":8,""pos"":""M""},{""grid"":""4:3"",""id"":48648,""name"":""D. Ndoye"",""number"":14,""pos"":""M""},{""grid"":""4:2"",""id"":18746,""name"":""M. Gibbs-White"",""number"":10,""pos"":""M""},{""grid"":""4:1"",""id"":2298,""name"":""C. Hudson-Odoi"",""number"":7,""pos"":""M""},{""grid"":""5:1"",""id"":18931,""name"":""C. Wood"",""number"":11,""pos"":""F""}]",11,"[{""grid"":null,""id"":18933,""name"":""A. Gunn"",""number"":18,""pos"":""G""},{""grid"":null,""id"":8598,""name"":""T. Awoniyi"",""number"":9,""pos"":""F""},{""grid"":null,""id"":19305,""name"":""R. Yates"",""number"":22,""pos"":""M""},{""grid"":null,""id"":9366,""name"":""Igor Jesus"",""number"":19,""pos"":""F""},{""grid"":null,""id"":141901,""name"":""Jota Silva"",""number"":20,""pos"":""F""},{""grid"":null,""id"":362711,""name"":""Cunha"",""number"":23,""pos"":""D""},{""grid"":null,""id"":18739,""name"":""W. Boly"",""number"":30,""pos"":""D""},{""grid"":null,""id"":67943,""name"":""Morato"",""number"":4,""pos"":""D""},{""grid"":null,""id"":329357,""name"":""Z. Abbott"",""number"":44,""pos"":""D""}]",9,2026-09-26T17:16:56Z,/fixtures/lineups,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V2
1378973,England,39,Premier League,2025,Regular Season - 1,2025-08-16T14:00:00+00:00,Sunderland,West Ham,48,West Ham,AWAY,3-4-1-2,16,Nuno Espirito Santo,"[{""grid"":""1:1"",""id"":15870,""name"":""M. Hermansen"",""number"":1,""pos"":""G""},{""grid"":""2:3"",""id"":138,""name"":""J. Todibo"",""number"":25,""pos"":""D""},{""grid"":""2:2"",""id"":18744,""name"":""M. Kilman"",""number"":3,""pos"":""D""},{""grid"":""2:1"",""id"":21694,""name"":""N. Aguerd"",""number"":5,""pos"":""D""},{""grid"":""3:4"",""id"":18846,""name"":""A. Wan-Bissaka"",""number"":29,""pos"":""M""},{""grid"":""3:3"",""id"":2938,""name"":""J. Ward-Prowse"",""number"":8,""pos"":""M""},{""grid"":""3:2"",""id"":2476,""name"":""G. Rodriguez"",""number"":24,""pos"":""M""},{""grid"":""3:1"",""id"":409303,""name"":""M. Diouf"",""number"":12,""pos"":""M""},{""grid"":""4:1"",""id"":1646,""name"":""Lucas Paqueta"",""number"":10,""pos"":""F""},{""grid"":""5:2"",""id"":19428,""name"":""J. Bowen"",""number"":20,""pos"":""F""},{""grid"":""5:1"",""id"":25391,""name"":""N. Fullkrug"",""number"":11,""pos"":""F""}]",11,"[{""grid"":null,""id"":253,""name"":""A. Areola"",""number"":23,""pos"":""G""},{""grid"":null,""id"":171,""name"":""K. Walker-Peters"",""number"":2,""pos"":""D""},{""grid"":null,""id"":2939,""name"":""C. Wilson"",""number"":9,""pos"":""F""},{""grid"":null,""id"":1243,""name"":""T. Soucek"",""number"":28,""pos"":""M""},{""grid"":null,""id"":1445,""name"":""K. Mavropanos"",""number"":15,""pos"":""D""},{""grid"":null,""id"":2869,""name"":""E. Alvarez"",""number"":4,""pos"":""M""},{""grid"":null,""id"":68466,""name"":""A. Irving"",""number"":39,""pos"":""M""},{""grid"":null,""id"":284446,""name"":""F. Potts"",""number"":32,""pos"":""M""},{""grid"":null,""id"":327730,""name"":""O. Scarles"",""number"":30,""pos"":""D""}]",9,2026-09-26T17:16:56Z,/fixtures/lineups,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V2
1378973,England,39,Premier League,2025,Regular Season - 1,2025-08-16T14:00:00+00:00,Sunderland,West Ham,746,Sunderland,HOME,4-3-3,6279,Regis Le Bris,"[{""grid"":""1:1"",""id"":194536,""name"":""R. Roefs"",""number"":22,""pos"":""G""},{""grid"":""2:4"",""id"":119121,""name"":""T. Hume"",""number"":32,""pos"":""D""},{""grid"":""2:3"",""id"":55904,""name"":""D. Ballard"",""number"":5,""pos"":""D""},{""grid"":""2:2"",""id"":290545,""name"":""J. Seelt"",""number"":23,""pos"":""D""},{""grid"":""2:1"",""id"":22225,""name"":""R. Mandava"",""number"":17,""pos"":""D""},{""grid"":""3:3"",""id"":327631,""name"":""H. Diarra"",""number"":19,""pos"":""M""},{""grid"":""3:2"",""id"":1464,""name"":""G. Xhaka"",""number"":34,""pos"":""M""},{""grid"":""3:1"",""id"":365331,""name"":""N. Sadiki"",""number"":27,""pos"":""M""},{""grid"":""4:3"",""id"":336659,""name"":""C. Talbi"",""number"":7,""pos"":""F""},{""grid"":""4:2"",""id"":349799,""name"":""E. Mayenda"",""number"":12,""pos"":""F""},{""grid"":""4:1"",""id"":301771,""name"":""S. Adingra"",""number"":24,""pos"":""F""}]",11,"[{""grid"":null,""id"":19881,""name"":""A. Patterson"",""number"":1,""pos"":""G""},{""grid"":null,""id"":6168,""name"":""O. Alderete"",""number"":15,""pos"":""D""},{""grid"":null,""id"":330640,""name"":""H. Jones"",""number"":50,""pos"":""M""},{""grid"":null,""id"":339201,""name"":""C. Rigg"",""number"":11,""pos"":""M""},{""grid"":null,""id"":392270,""name"":""M. Guiu"",""number"":9,""pos"":""F""},{""grid"":null,""id"":47521,""name"":""P. Roberts"",""number"":10,""pos"":""M""},{""grid"":null,""id"":84087,""name"":""W. Isidor"",""number"":18,""pos"":""F""},{""grid"":null,""id"":19910,""name"":""D. Neil"",""number"":4,""pos"":""M""},{""grid"":null,""id"":20638,""name"":""E. Le Fee"",""number"":28,""pos"":""M""}]",9,2026-09-26T17:16:56Z,/fixtures/lineups,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V2
