fixture_id,provider_league_id,competition_name,candidate_family,season,round,kickoff_utc,source_status,home_team_id,home_team,away_team_id,away_team,evidence_tier,capture_endpoint,capture_priority,window_id,window_start_utc,window_end_utc,window_max_matches,queue_reason,first_queued_at_utc,last_seen_at_utc,backlog_status,captured_at_utc,attempt_count,last_attempt_at_utc,last_attempt_result,last_error,callup_inference_allowed,nationality_inference_allowed,travel_inference_allowed,appearance_inference_allowed,historical_backfill_only,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
118077,6,Africa Cup of Nations,AFRICA_CUP_OF_NATIONS,2019,Preliminary Round,2017-03-22T15:30:00+00:00,FT,1494,Sao Tome and Principe,1490,Madagascar,DIRECT_MINUTES,/fixtures/players,1,2017_MAR,2017-03-20T00:00:00Z,2017-03-28T23:59:59Z,2,FINISHED_ALLOWLISTED_FIXTURE_INSIDE_FIXED_INTL_WINDOW,2026-09-19T14:40:21Z,2026-09-19T14:40:21Z,NO_DATA,,1,2026-09-19T14:48:25Z,NO_DATA,,false,false,false,false,true,true,false,false,false,false,false,false
118079,6,Africa Cup of Nations,AFRICA_CUP_OF_NATIONS,2019,Preliminary Round,2017-03-22T16:00:00+00:00,FT,1535,Djibouti,1496,South Sudan,DIRECT_MINUTES,/fixtures/players,1,2017_MAR,2017-03-20T00:00:00Z,2017-03-28T23:59:59Z,2,FINISHED_ALLOWLISTED_FIXTURE_INSIDE_FIXED_INTL_WINDOW,2026-09-19T14:40:21Z,2026-09-19T14:40:21Z,NO_DATA,,1,2026-09-19T14:48:25Z,NO_DATA,,false,false,false,false,true,true,false,false,false,false,false,false
256945,30,World Cup - Qualification Asia,WORLD_CUP_QUALIFICATION,2018,3rd Round - 6,2017-03-23T11:35:00+00:00,FT,1566,China,17,South Korea,DIRECT_MINUTES,/fixtures/players,1,2017_MAR,2017-03-20T00:00:00Z,2017-03-28T23:59:59Z,2,FINISHED_ALLOWLISTED_FIXTURE_INSIDE_FIXED_INTL_WINDOW,2026-09-19T14:40:21Z,2026-09-19T14:40:21Z,NO_DATA,,1,2026-09-19T14:48:25Z,NO_DATA,,false,false,false,false,true,true,false,false,false,false,false,false
256946,30,World Cup - Qualification Asia,WORLD_CUP_QUALIFICATION,2018,3rd Round - 6,2017-03-23T12:00:00+00:00,FT,1565,Syria,1568,Uzbekistan,DIRECT_MINUTES,/fixtures/players,1,2017_MAR,2017-03-20T00:00:00Z,2017-03-28T23:59:59Z,2,FINISHED_ALLOWLISTED_FIXTURE_INSIDE_FIXED_INTL_WINDOW,2026-09-19T14:40:21Z,2026-09-19T14:40:21Z,NO_DATA,,1,2026-09-19T14:48:25Z,NO_DATA,,false,false,false,false,true,true,false,false,false,false,false,false
256947,30,World Cup - Qualification Asia,WORLD_CUP_QUALIFICATION,2018,3rd Round - 6,2017-03-23T12:00:00+00:00,FT,1567,Iraq,20,Australia,DIRECT_MINUTES,/fixtures/players,1,2017_MAR,2017-03-20T00:00:00Z,2017-03-28T23:59:59Z,2,FINISHED_ALLOWLISTED_FIXTURE_INSIDE_FIXED_INTL_WINDOW,2026-09-19T14:40:21Z,2026-09-19T14:40:21Z,NO_DATA,,1,2026-09-19T14:48:25Z,NO_DATA,,false,false,false,false,true,true,false,false,false,false,false,false
256948,30,World Cup - Qualification Asia,WORLD_CUP_QUALIFICATION,2018,3rd Round - 6,2017-03-23T12:00:00+00:00,FT,1564,Thailand,23,Saudi Arabia,DIRECT_MINUTES,/fixtures/players,1,2017_MAR,2017-03-20T00:00:00Z,2017-03-28T23:59:59Z,2,FINISHED_ALLOWLISTED_FIXTURE_INSIDE_FIXED_INTL_WINDOW,2026-09-19T14:40:21Z,2026-09-19T14:40:21Z,NO_DATA,,1,2026-09-19T14:48:25Z,NO_DATA,,false,false,false,false,true,true,false,false,false,false,false,false
256949,30,World Cup - Qualification Asia,WORLD_CUP_QUALIFICATION,2018,3rd Round - 6,2017-03-23T15:30:00+00:00,FT,1563,United Arab Emirates,12,Japan,DIRECT_MINUTES,/fixtures/players,1,2017_MAR,2017-03-20T00:00:00Z,2017-03-28T23:59:59Z,2,FINISHED_ALLOWLISTED_FIXTURE_INSIDE_FIXED_INTL_WINDOW,2026-09-19T14:40:21Z,2026-09-19T14:40:21Z,NO_DATA,,1,2026-09-19T14:48:25Z,NO_DATA,,false,false,false,false,true,true,false,false,false,false,false,false
256950,30,World Cup - Qualification Asia,WORLD_CUP_QUALIFICATION,2018,3rd Round - 6,2017-03-23T16:00:00+00:00,FT,1569,Qatar,22,Iran,DIRECT_MINUTES,/fixtures/players,1,2017_MAR,2017-03-20T00:00:00Z,2017-03-28T23:59:59Z,2,FINISHED_ALLOWLISTED_FIXTURE_INSIDE_FIXED_INTL_WINDOW,2026-09-19T14:40:21Z,2026-09-19T14:40:21Z,NO_DATA,,1,2026-09-19T14:48:25Z,NO_DATA,,false,false,false,false,true,true,false,false,false,false,false,false
256757,34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,2018,Regular Season - 13,2017-03-23T20:30:00+00:00,FT,8,Colombia,2381,Bolivia,DIRECT_MINUTES,/fixtures/players,1,2017_MAR,2017-03-20T00:00:00Z,2017-03-28T23:59:59Z,2,FINISHED_ALLOWLISTED_FIXTURE_INSIDE_FIXED_INTL_WINDOW,2026-09-19T14:40:21Z,2026-09-19T14:40:21Z,CAPTURED,2026-09-19T14:48:25Z,1,2026-09-19T14:48:25Z,CAPTURED,,false,false,false,false,true,true,false,false,false,false,false,false
256758,34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,2018,Regular Season - 13,2017-03-23T23:00:00+00:00,FT,2380,Paraguay,2382,Ecuador,DIRECT_MINUTES,/fixtures/players,1,2017_MAR,2017-03-20T00:00:00Z,2017-03-28T23:59:59Z,2,FINISHED_ALLOWLISTED_FIXTURE_INSIDE_FIXED_INTL_WINDOW,2026-09-19T14:40:21Z,2026-09-19T14:40:21Z,CAPTURED,2026-09-19T14:48:25Z,1,2026-09-19T14:48:25Z,CAPTURED,,false,false,false,false,true,true,false,false,false,false,false,false
