fixture_id,kickoff_utc,player_id,player_name,transfermarkt_club_id,transfermarkt_club_name,pbk16_club_identity_status,pbk16_team_id,pbk16_team_name,pbk16_provider_league_id,identity_method,identity_key,candidate_count,provider_calls,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1366321,2025-11-16T19:45:00+00:00,264378,Sander Tangvik,195,Rosenborg BK,PBK16_EXACT_ALIAS_UNIQUE,331,Rosenborg,103,EXACT_NORMALIZED_OR_EXPLICIT_ALIAS_UNIQUE,rosenborg,1,0,true,false,false,false,false,false,false
1323366,2025-11-17T19:45:00+00:00,138804,Matěj Kovář,383,PSV,PBK16_EXACT_ALIAS_UNIQUE,197,PSV Eindhoven,88,EXACT_NORMALIZED_OR_EXPLICIT_ALIAS_UNIQUE,psv eindhoven,1,0,true,false,false,false,false,false,false
1481800,2025-11-18T16:00:00+00:00,284295,Zidane Iqbal,200,Utrecht,PBK16_EXACT_ALIAS_UNIQUE,207,Utrecht,88,EXACT_NORMALIZED_OR_EXPLICIT_ALIAS_UNIQUE,utrecht,1,0,true,false,false,false,false,false,false
1436811,2025-11-18T17:00:00+00:00,318592,Lucas Cepeda,2433,Colo-Colo,OUTSIDE_PBK16_OR_UNMAPPED,,,,NO_PBK16_CANDIDATE,colo colo,0,0,true,false,false,false,false,false,false
1486560,2025-11-18T19:00:00+00:00,290740,Ilias Akhomach,1050,Villarreal,PBK16_EXACT_ALIAS_UNIQUE,533,Villarreal,140,EXACT_NORMALIZED_OR_EXPLICIT_ALIAS_UNIQUE,villarreal,1,0,true,false,false,false,false,false,false
1486560,2025-11-18T19:00:00+00:00,340573,Bilal El Khannouss,79,Stuttgart,PBK16_EXACT_ALIAS_UNIQUE,172,VfB Stuttgart,78,EXACT_NORMALIZED_OR_EXPLICIT_ALIAS_UNIQUE,vfb stuttgart,1,0,true,false,false,false,false,false,false
1323367,2025-11-18T19:45:00+00:00,435876,Dion Gallapeni,88,Widzew Lodz,PBK16_EXACT_ALIAS_UNIQUE,6962,Widzew Łódź,106,EXACT_NORMALIZED_OR_EXPLICIT_ALIAS_UNIQUE,widzew lodz,1,0,true,false,false,false,false,false,false
1323367,2025-11-18T19:45:00+00:00,616,Arijanet Murić,6574,Sassuolo,PBK16_EXACT_ALIAS_UNIQUE,488,Sassuolo,135,EXACT_NORMALIZED_OR_EXPLICIT_ALIAS_UNIQUE,sassuolo,1,0,true,false,false,false,false,false,false
1323368,2025-11-18T19:45:00+00:00,193328,Noel Törnqvist,2719,Mjällby AIF,OUTSIDE_PBK16_OR_UNMAPPED,,,,NO_PBK16_CANDIDATE,mjallby aif,0,0,true,false,false,false,false,false,false
1323369,2025-11-18T19:45:00+00:00,557,Odysseas Vlachodimos,368,Sevilla FC,PBK16_EXACT_ALIAS_UNIQUE,536,Sevilla,140,EXACT_NORMALIZED_OR_EXPLICIT_ALIAS_UNIQUE,sevilla,1,0,true,false,false,false,false,false,false
1323371,2025-11-18T19:45:00+00:00,25297,Michael Gregoritsch,206,Bröndby IF,PBK16_EXACT_ALIAS_UNIQUE,407,Brondby,119,EXACT_NORMALIZED_OR_EXPLICIT_ALIAS_UNIQUE,brondby,1,0,true,false,false,false,false,false,false
