international_fixture_id,international_kickoff_utc,window_id,national_team_id,national_team_name,player_id,player_name,pbk16_team_id,pbk16_team_name,pbk16_provider_league_id,appearance_confirmed,minutes_confirmed,confirmed_minutes,window_direct_evidence_fixture_count_through_event,window_confirmed_appearances_through_event,window_minutes_confirmed_fixture_count_through_event,window_confirmed_minutes_through_event,next_domestic_fixture_id,next_domestic_kickoff_utc,next_domestic_home_team_id,next_domestic_home_team,next_domestic_away_team_id,next_domestic_away_team,club_side,opponent_team_id,opponent_team,hours_to_next_domestic_fixture,days_to_next_domestic_fixture,return_within_72h,return_within_96h,return_within_7d,return_fixture_status,return_fixture_played_only,formal_callup_inferred,travel_inferred,current_club_used,fuzzy_matching_used,provider_calls,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1366325,2025-11-18T19:45:00+00:00,2025_NOV,21,Denmark,19030,Matt O'Riley,81,Marseille,61,false,false,,1,0,0,0,1387811,2025-11-21T19:45:00+00:00,84,Nice,81,Marseille,AWAY,84,Nice,72.000,3.0000,true,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366321,2025-11-16T19:45:00+00:00,2025_NOV,1090,Norway,264378,Sander Tangvik,331,Rosenborg,103,false,false,,1,0,0,0,1342416,2025-11-22T13:00:00+00:00,325,Tromso,331,Rosenborg,AWAY,325,Tromso,137.250,5.7188,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366321,2025-11-16T19:45:00+00:00,2025_NOV,1090,Norway,18967,Leo Østigård,495,Genoa,135,true,true,1,1,1,1,1,1377974,2025-11-22T14:00:00+00:00,490,Cagliari,495,Genoa,AWAY,490,Cagliari,138.250,5.7604,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323368,2025-11-18T19:45:00+00:00,2025_NOV,1091,Slovenia,7591,Sandi Lovrić,494,Udinese,135,false,false,,1,0,0,0,1377982,2025-11-22T14:00:00+00:00,494,Udinese,500,Bologna,HOME,500,Bologna,90.250,3.7604,false,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366322,2025-11-17T19:45:00+00:00,2025_NOV,25,Germany,511,Leon Goretzka,157,Bayern München,78,true,true,90,1,1,1,90,1388399,2025-11-22T14:30:00+00:00,157,Bayern München,160,SC Freiburg,HOME,160,SC Freiburg,114.750,4.7812,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1486560,2025-11-18T19:00:00+00:00,2025_NOV,31,Morocco,340573,Bilal El Khannouss,172,VfB Stuttgart,78,true,true,26,1,1,1,26,1388400,2025-11-22T14:30:00+00:00,165,Borussia Dortmund,172,VfB Stuttgart,AWAY,165,Borussia Dortmund,91.500,3.8125,false,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366320,2025-11-16T17:00:00+00:00,2025_NOV,2,France,1145,Ibrahima Konaté,40,Liverpool,39,true,true,90,1,1,1,90,1379085,2025-11-22T15:00:00+00:00,40,Liverpool,65,Nottingham Forest,HOME,65,Nottingham Forest,142.000,5.9167,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366325,2025-11-18T19:45:00+00:00,2025_NOV,1108,Scotland,289,Andrew Robertson,40,Liverpool,39,true,true,90,1,1,1,90,1379085,2025-11-22T15:00:00+00:00,40,Liverpool,65,Nottingham Forest,HOME,65,Nottingham Forest,91.250,3.8021,false,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323361,2025-11-16T17:00:00+00:00,2025_NOV,10,England,909,Marcus Rashford,529,Barcelona,140,true,true,15,1,1,1,15,1390940,2025-11-22T15:15:00+00:00,529,Barcelona,531,Athletic Club,HOME,531,Athletic Club,142.250,5.9271,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323366,2025-11-17T19:45:00+00:00,2025_NOV,770,Czech Republic,138804,Matěj Kovář,197,PSV Eindhoven,88,true,true,90,1,1,1,90,1380981,2025-11-22T15:30:00+00:00,203,NAC Breda,197,PSV Eindhoven,AWAY,203,NAC Breda,115.750,4.8229,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
