provider_league_id,competition_name,competition_type,provider_country_name,provider_country_code,candidate_family,selection_status,selection_reason,season,season_start,season_end,current_season,coverage_events,coverage_lineups,coverage_fixture_statistics,coverage_player_statistics,coverage_players,coverage_injuries,direct_matchday_squad_evidence_possible,direct_minutes_evidence_possible,historical_callup_evidence_possible,nationality_inference_allowed,future_fixture_backfill_required,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
19,African Nations Championship,Cup,World,,AFRICAN_NATIONS_CHAMPIONSHIP,CANDIDATE_REVIEW,NAME_PATTERN:AFRICAN_NATIONS_CHAMPIONSHIP,2018,2017-04-21,2018-02-04,false,true,true,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false
19,African Nations Championship,Cup,World,,AFRICAN_NATIONS_CHAMPIONSHIP,CANDIDATE_REVIEW,NAME_PATTERN:AFRICAN_NATIONS_CHAMPIONSHIP,2020,2019-04-20,2021-02-07,false,true,true,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false
19,African Nations Championship,Cup,World,,AFRICAN_NATIONS_CHAMPIONSHIP,CANDIDATE_REVIEW,NAME_PATTERN:AFRICAN_NATIONS_CHAMPIONSHIP,2022,2023-01-13,2023-02-04,false,true,true,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false
19,African Nations Championship,Cup,World,,AFRICAN_NATIONS_CHAMPIONSHIP,CANDIDATE_REVIEW,NAME_PATTERN:AFRICAN_NATIONS_CHAMPIONSHIP,2024,2025-08-02,2025-08-30,true,true,true,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false
1163,African Nations Championship - Qualification,Cup,World,,AFRICAN_NATIONS_CHAMPIONSHIP,CANDIDATE_REVIEW,NAME_PATTERN:AFRICAN_NATIONS_CHAMPIONSHIP,2024,2024-10-25,2025-05-09,true,true,false,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false
6,Africa Cup of Nations,Cup,World,,AFRICA_CUP_OF_NATIONS,CANDIDATE_REVIEW,NAME_PATTERN:AFRICA_CUP_OF_NATIONS,2017,2017-01-14,2017-02-05,false,true,true,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false
6,Africa Cup of Nations,Cup,World,,AFRICA_CUP_OF_NATIONS,CANDIDATE_REVIEW,NAME_PATTERN:AFRICA_CUP_OF_NATIONS,2019,2017-03-22,2019-07-19,false,true,true,true,true,true,false,true,true,false,false,true,true,false,false,false,false,false,false
6,Africa Cup of Nations,Cup,World,,AFRICA_CUP_OF_NATIONS,CANDIDATE_REVIEW,NAME_PATTERN:AFRICA_CUP_OF_NATIONS,2021,2022-01-09,2022-02-06,false,true,true,true,true,true,false,true,true,false,false,true,true,false,false,false,false,false,false
6,Africa Cup of Nations,Cup,World,,AFRICA_CUP_OF_NATIONS,CANDIDATE_REVIEW,NAME_PATTERN:AFRICA_CUP_OF_NATIONS,2023,2024-01-13,2024-02-11,false,true,true,true,true,true,false,true,true,false,false,true,true,false,false,false,false,false,false
6,Africa Cup of Nations,Cup,World,,AFRICA_CUP_OF_NATIONS,CANDIDATE_REVIEW,NAME_PATTERN:AFRICA_CUP_OF_NATIONS,2025,2025-12-21,2026-01-18,true,true,true,true,true,true,false,true,true,false,false,true,true,false,false,false,false,false,false
