provider_league_id,competition_name,candidate_family,decision,decision_reason,season_rows,matchday_evidence_season_rows,minutes_evidence_season_rows
1,World Cup,WORLD_CUP,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,3
4,Euro Championship,EURO_CHAMPIONSHIP,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,2,2,2
5,UEFA Nations League,NATIONS_LEAGUE,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,5,5,5
6,Africa Cup of Nations,AFRICA_CUP_OF_NATIONS,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,5,5,4
7,Asian Cup,ASIAN_CUP,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,2,2,1
9,Copa America,COPA_AMERICA,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,3
10,Friendlies,FRIENDLIES,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,10,10,5
19,African Nations Championship,AFRICAN_NATIONS_CHAMPIONSHIP,REJECT,PBK16_PLAYER_INELIGIBLE_WHILE_BASED_ABROAD_CHAN_DOMESTIC_LEAGUE_ONLY,4,4,0
21,Confederations Cup,CONFEDERATIONS_CUP,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,1,1,0
22,CONCACAF Gold Cup,GOLD_CUP,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,5,5,3
29,World Cup - Qualification Africa,WORLD_CUP_QUALIFICATION,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,2
30,World Cup - Qualification Asia,WORLD_CUP_QUALIFICATION,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,3
31,World Cup - Qualification CONCACAF,WORLD_CUP_QUALIFICATION,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,3
32,World Cup - Qualification Europe,WORLD_CUP_QUALIFICATION,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,3
33,World Cup - Qualification Oceania,WORLD_CUP_QUALIFICATION,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,0
34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,3
35,Asian Cup - Qualification,ASIAN_CUP,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,0
36,Africa Cup of Nations - Qualification,AFRICA_CUP_OF_NATIONS,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,0
37,World Cup - Qualification Intercontinental Play-offs,WORLD_CUP_QUALIFICATION,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,3
536,CONCACAF Nations League,NATIONS_LEAGUE,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,5,4,3
806,OFC Nations Cup,OFC_NATIONS_CUP,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,1,1,0
808,CONCACAF Nations League - Qualification,NATIONS_LEAGUE,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,1,1,0
849,Baltic Cup,BALTIC_CUP,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,4,4,0
858,CONCACAF Gold Cup - Qualification,GOLD_CUP,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,3,3,0
860,Arab Cup,ARAB_CUP,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,2,2,0
926,Copa America Femenina,COPA_AMERICA,REJECT,WOMENS_COMPETITION_OUT_OF_PBK_MENS_SCOPE,2,2,0
960,Euro Championship - Qualification,EURO_QUALIFICATION,ALLOW,EXPLICIT_PBK16_SENIOR_NATIONAL_SOURCE,1,1,1
1028,CONCACAF Central American Cup,CENTRAL_AMERICAN_CUP,REJECT,CLUB_COMPETITION_NOT_NATIONAL_TEAM_DUTY,4,4,0
1163,African Nations Championship - Qualification,AFRICAN_NATIONS_CHAMPIONSHIP,REJECT,PBK16_PLAYER_INELIGIBLE_WHILE_BASED_ABROAD_CHAN_DOMESTIC_LEAGUE_ONLY,1,0,0
1213,Kings World Cup Nations,WORLD_CUP,REJECT,NON_FEDERATION_SENIOR_NATIONAL_TEAM_CONTOUR_OUT_OF_SCOPE,1,1,0
