fixture_id,provider_league_id,competition_name,candidate_family,season,round,kickoff_utc,status,elapsed,venue_id,venue_name,venue_city,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,result,evidence_tier,direct_matchday_squad_evidence_possible,direct_minutes_evidence_possible,player_evidence_backfill_eligible,captured_at_utc,source,historical_callup_evidence_possible,nationality_inference_allowed,historical_backfill_only,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
984808,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-01-03T00:00:00+00:00,FT,90,,Stade Muncipal de Jemmal,Jemmal,1519,Uganda,1510,Sudan,2,2,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
984797,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-01-08T17:00:00+00:00,FT,90,3591,Estádio da Nora,Albufeira,18,Iceland,1101,Estonia,1,1,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
984798,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-01-09T18:45:00+00:00,FT,90,10889,Estádio Do Algarve,São João da Venda,5,Sweden,1099,Finland,2,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
984799,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-01-12T16:00:00+00:00,FT,90,3591,Estádio da Nora,Albufeira,1099,Finland,1101,Estonia,0,1,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
984800,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-01-12T18:00:00+00:00,FT,90,10889,Estádio Do Algarve,São João da Venda,5,Sweden,18,Iceland,2,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
984801,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-01-26T03:00:00+00:00,FT,90,19419,BMO Stadium,"Los Angeles, California",2384,USA,14,Serbia,1,2,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
984802,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-01-28T00:00:00+00:00,CANC,,,TBC,TBC,5161,Guatemala,2379,Venezuela,,,,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
995739,10,Friendlies,FRIENDLIES,2023,Friendlies 2,2023-01-28T22:00:00+00:00,FT,90,3905,Hasely Crawford Stadium,Port of Spain,5168,Trinidad and Tobago,10984,Saint Martin,2,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
984803,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-01-29T00:30:00+00:00,FT,90,1616,Dignity Health Sports Park,"Carson, California",2384,USA,8,Colombia,0,0,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1012354,10,Friendlies,FRIENDLIES,2023,Friendlies 2,2023-02-22T23:00:00+00:00,FT,90,,Fond Recreation Ground,Sauteurs,5533,Grenada,5527,Barbados,1,1,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
