fixture_id,source_status,status,score_home,score_away,elapsed,observed_at_utc,live_observed_at_utc,live_freshness_status,red_cards_home,red_cards_away
1515889,FT,finished,0,1,90,2026-09-15T19:34:21Z,,fresh,0,0
1515898,HT,live,1,0,45,2026-09-16T17:02:13Z,2026-09-16T17:02:13Z,fresh,0,0
1547599,2H,live,3,2,61,2026-09-16T17:02:13Z,2026-09-16T17:02:13Z,fresh,0,0
1552143,FT,finished,5,1,90,2026-09-15T21:33:33Z,,fresh,0,0
1553125,FT,finished,2,3,90,2026-09-15T19:34:21Z,,fresh,1,0
1556641,FT,finished,2,1,90,2026-09-15T22:34:12Z,,fresh,0,0
1556642,FT,finished,0,1,90,2026-09-15T22:34:12Z,,fresh,0,1
1556643,FT,finished,0,4,90,2026-09-15T22:34:12Z,,fresh,0,0
1570383,FT,finished,0,1,90,2026-09-15T21:33:33Z,,fresh,0,0
1570384,NS,scheduled,,,,2026-09-16T17:02:13Z,,fresh,0,0
1570387,NS,scheduled,,,,2026-09-16T17:02:13Z,,fresh,0,0
1570388,FT,finished,2,3,90,2026-09-15T23:01:49Z,,fresh,0,0
1570391,FT,finished,2,1,90,2026-09-15T20:33:59Z,,fresh,0,1
