factor,bucket,scope_type,scope_value,matches,sample_band,home_wins,draws,away_wins,home_win_rate,draw_rate,away_win_rate,avg_total_goals,over25_rate,btts_rate,closing_1x2_matches,closing_1x2_avg_source_rows,closing_1x2_b365_source_rows,closing_home_hit_rate,closing_draw_hit_rate,closing_away_hit_rate,avg_market_novig_home,avg_market_novig_draw,avg_market_novig_away,home_calibration_pp,draw_calibration_pp,away_calibration_pp,home_flat_bet_roi_pct,draw_flat_bet_roi_pct,away_flat_bet_roi_pct,closing_total25_matches,closing_total25_avg_source_rows,closing_total25_b365_source_rows,closing_over25_hit_rate,closing_under25_hit_rate,avg_market_novig_over25,avg_market_novig_under25,over25_calibration_pp,under25_calibration_pp,over25_flat_bet_roi_pct,under25_flat_bet_roi_pct,research_only,operational_betting_authority,creates_signal,promotes_factor,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,549,500_PLUS,211,138,200,0.38434,0.25137,0.3643,2.909,0.56102,0.54827,450,450,0,0.38,0.24889,0.37111,0.37118,0.24625,0.38256,0.882,0.264,-1.145,-3.569,-1.464,-8.016,341,341,0,0.57771,0.42229,0.53738,0.46262,4.033,-4.033,1.798,-14.32,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,AUT,32,LT50,9,6,17,0.28125,0.1875,0.53125,2.812,0.53125,0.4375,32,32,0,0.28125,0.1875,0.53125,0.355,0.23321,0.4118,-7.375,-4.571,11.945,-33.625,-30.125,7.625,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,B1,37,LT50,13,8,16,0.35135,0.21622,0.43243,2.676,0.54054,0.43243,37,37,0,0.35135,0.21622,0.43243,0.33132,0.24824,0.42044,2.003,-3.202,1.199,0.135,-16.595,-10.946,37,37,0,0.54054,0.45946,0.54573,0.45427,-0.519,0.519,-6.541,-4.027,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,D1,55,50_199,23,9,23,0.41818,0.16364,0.41818,3.073,0.65455,0.52727,44,44,0,0.43182,0.11364,0.45455,0.34129,0.23814,0.42057,9.053,-12.45,3.398,6.523,-53.295,-7.614,44,44,0,0.63636,0.36364,0.58672,0.41328,4.964,-4.964,4.295,-16.591,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,DNK,34,LT50,6,15,13,0.17647,0.44118,0.38235,2.618,0.47059,0.61765,34,34,0,0.17647,0.44118,0.38235,0.37314,0.25397,0.37289,-19.667,18.721,0.946,-47.941,63.029,11.824,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,E0,68,50_199,29,14,25,0.42647,0.20588,0.36765,3.118,0.66176,0.52941,54,54,0,0.46296,0.18519,0.35185,0.37309,0.24228,0.38463,8.987,-5.709,-3.278,21.019,-26.556,-19.13,54,54,0,0.68519,0.31481,0.53661,0.46339,14.858,-14.858,22.389,-36.537,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,F1,49,LT50,25,10,14,0.5102,0.20408,0.28571,2.694,0.53061,0.5102,27,27,0,0.51852,0.18519,0.2963,0.36952,0.25108,0.3794,14.9,-6.589,-8.31,23.519,-23.556,-23.074,27,27,0,0.7037,0.2963,0.52724,0.47276,17.646,-17.646,27.481,-41.481,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,I1,28,LT50,8,11,9,0.28571,0.39286,0.32143,3.071,0.60714,0.71429,23,23,0,0.34783,0.30435,0.34783,0.38114,0.24465,0.37421,-3.331,5.97,-2.638,-24.739,25.0,-7.348,23,23,0,0.65217,0.34783,0.53133,0.46867,12.084,-12.084,19.087,-28.087,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,N1,67,50_199,28,16,23,0.41791,0.23881,0.34328,3.388,0.59701,0.59701,46,46,0,0.36957,0.26087,0.36957,0.40289,0.23756,0.35955,-3.332,2.331,1.002,-9.261,9.109,3.978,46,46,0,0.56522,0.43478,0.56947,0.43053,-0.425,0.425,-5.804,-4.783,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,NOR,14,LT50,6,3,5,0.42857,0.21429,0.35714,3.5,0.71429,0.71429,14,14,0,0.42857,0.21429,0.35714,0.42854,0.24207,0.32939,0.003,-2.778,2.775,47.429,15.429,48.214,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,P1,19,LT50,3,6,10,0.15789,0.31579,0.52632,3.053,0.57895,0.63158,18,18,0,0.16667,0.33333,0.5,0.21005,0.22944,0.56051,-4.338,10.389,-6.051,-41.222,45.278,-20.833,18,18,0,0.55556,0.44444,0.53151,0.46849,2.405,-2.405,2.5,-7.278,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,POL,29,LT50,10,14,5,0.34483,0.48276,0.17241,2.414,0.41379,0.58621,29,29,0,0.34483,0.48276,0.17241,0.41776,0.26556,0.31668,-7.293,21.72,-14.427,-19.345,73.517,-57.586,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,SC0,12,LT50,5,4,3,0.41667,0.33333,0.25,3.0,0.5,0.58333,8,8,0,0.375,0.375,0.25,0.37624,0.26963,0.35413,-0.124,10.537,-10.413,-18.625,18.5,-55.25,8,8,0,0.5,0.5,0.4604,0.5396,3.96,-3.96,-2.5,-18.0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,SP1,82,50_199,36,18,28,0.43902,0.21951,0.34146,2.573,0.43902,0.46341,67,67,0,0.44776,0.22388,0.32836,0.40021,0.25428,0.34551,4.755,-3.04,-1.715,5.716,-6.597,4.194,67,67,0,0.41791,0.58209,0.49493,0.50507,-7.702,7.702,-22.015,8.582,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,T1,23,LT50,10,4,9,0.43478,0.17391,0.3913,3.0,0.69565,0.69565,17,17,0,0.47059,0.17647,0.35294,0.38632,0.24832,0.36536,8.427,-7.185,-1.242,25.765,-39.529,-20.0,17,17,0,0.58824,0.41176,0.54109,0.45891,4.715,-4.715,-0.412,-20.294,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,AUT|2017,4,LT50,1,2,1,0.25,0.5,0.25,2.25,0.5,0.5,4,4,0,0.25,0.5,0.25,0.43032,0.2646,0.30508,-18.032,23.54,-5.508,8.0,88.5,-14.75,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,AUT|2018,2,LT50,0,0,2,0.0,0.0,1.0,3.5,0.5,0.5,2,2,0,0.0,0.0,1.0,0.17717,0.22802,0.59481,-17.717,-22.802,40.519,-100.0,-100.0,59.5,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,AUT|2019,4,LT50,0,0,4,0.0,0.0,1.0,2.75,0.75,0.0,4,4,0,0.0,0.0,1.0,0.16207,0.19022,0.64771,-16.207,-19.022,35.229,-100.0,-100.0,56.75,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,AUT|2020,5,LT50,1,1,3,0.2,0.2,0.6,2.8,0.4,0.6,5,5,0,0.2,0.2,0.6,0.35781,0.20296,0.43922,-15.781,-0.296,16.078,-78.2,-30.6,3.4,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,AUT|2021,2,LT50,0,0,2,0.0,0.0,1.0,3.0,0.5,0.0,2,2,0,0.0,0.0,1.0,0.25372,0.22488,0.5214,-25.372,-22.488,47.86,-100.0,-100.0,102.5,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,AUT|2022,3,LT50,1,1,1,0.33333,0.33333,0.33333,2.333,0.33333,0.33333,3,3,0,0.33333,0.33333,0.33333,0.51769,0.20734,0.27497,-18.436,12.599,5.836,-62.0,25.333,-36.667,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,AUT|2023,5,LT50,4,0,1,0.8,0.0,0.2,3.6,0.8,0.6,5,5,0,0.8,0.0,0.2,0.34492,0.24733,0.40775,45.508,-24.733,-20.775,93.2,-100.0,-75.2,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,AUT|2024,4,LT50,1,1,2,0.25,0.25,0.5,2.75,0.5,0.75,4,4,0,0.25,0.25,0.5,0.40476,0.26708,0.32816,-15.476,-1.708,17.184,-33.25,-3.25,41.25,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,AUT|2025,3,LT50,1,1,1,0.33333,0.33333,0.33333,2.333,0.33333,0.33333,3,3,0,0.33333,0.33333,0.33333,0.48091,0.26524,0.25384,-14.758,6.809,7.949,-21.333,24.0,18.667,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,B1|2019,10,LT50,2,3,5,0.2,0.3,0.5,3.1,0.7,0.7,10,10,0,0.2,0.3,0.5,0.30605,0.23402,0.45993,-10.605,6.598,4.007,-32.7,17.8,4.0,10,10,0,0.7,0.3,0.56746,0.43254,13.254,-13.254,19.6,-30.7,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,B1|2020,3,LT50,2,1,0,0.66667,0.33333,0.0,1.667,0.33333,0.33333,3,3,0,0.66667,0.33333,0.0,0.26855,0.26282,0.46863,39.812,7.051,-46.863,110.0,29.0,-100.0,3,3,0,0.33333,0.66667,0.50941,0.49059,-17.608,17.608,-44.333,21.667,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,B1|2021,4,LT50,1,1,2,0.25,0.25,0.5,3.0,0.5,0.5,4,4,0,0.25,0.25,0.5,0.2355,0.23255,0.53195,1.45,1.745,-3.195,12.25,-12.25,-26.5,4,4,0,0.5,0.5,0.56342,0.43658,-6.342,6.342,-16.5,7.75,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,B1|2022,4,LT50,1,2,1,0.25,0.5,0.25,2.5,0.5,0.25,4,4,0,0.25,0.5,0.25,0.54858,0.23204,0.21938,-29.858,26.796,3.062,-66.25,108.0,-38.5,4,4,0,0.5,0.5,0.5371,0.4629,-3.71,3.71,-14.75,-1.25,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,B1|2023,6,LT50,0,1,5,0.0,0.16667,0.83333,2.667,0.5,0.33333,6,6,0,0.0,0.16667,0.83333,0.27776,0.24913,0.47311,-27.776,-8.246,36.022,-100.0,-43.667,75.833,6,6,0,0.5,0.5,0.5521,0.4479,-5.21,5.21,-11.5,10.667,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,B1|2024,5,LT50,2,0,3,0.4,0.0,0.6,2.2,0.4,0.4,5,5,0,0.4,0.0,0.6,0.35586,0.26638,0.37776,4.414,-26.638,22.224,-9.2,-100.0,32.0,5,5,0,0.4,0.6,0.54085,0.45915,-14.085,14.085,-27.0,28.8,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,B1|2025,5,LT50,5,0,0,1.0,0.0,0.0,2.8,0.6,0.2,5,5,0,1.0,0.0,0.0,0.36209,0.27427,0.36364,63.791,-27.427,-36.364,172.8,-100.0,-100.0,5,5,0,0.6,0.4,0.514,0.486,8.6,-8.6,4.8,-28.2,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2017,4,LT50,3,1,0,0.75,0.25,0.0,3.5,0.75,1.0,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2018,7,LT50,1,3,3,0.14286,0.42857,0.42857,3.429,0.71429,0.57143,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2019,8,LT50,4,1,3,0.5,0.125,0.375,2.875,0.625,0.5,8,8,0,0.5,0.125,0.375,0.44985,0.26156,0.28859,5.015,-13.656,8.641,14.0,-56.25,30.875,8,8,0,0.625,0.375,0.5573,0.4427,6.77,-6.77,6.875,-23.125,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2020,7,LT50,3,0,4,0.42857,0.0,0.57143,3.571,0.71429,0.57143,7,7,0,0.42857,0.0,0.57143,0.25322,0.22561,0.52117,17.535,-22.561,5.026,7.714,-100.0,-15.0,7,7,0,0.71429,0.28571,0.60033,0.39967,11.396,-11.396,8.0,-44.429,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2021,1,LT50,1,0,0,1.0,0.0,0.0,2.0,0.0,0.0,1,1,0,1.0,0.0,0.0,0.64596,0.19959,0.15445,35.404,-19.959,-15.445,48.0,-100.0,-100.0,1,1,0,0.0,1.0,0.63415,0.36585,-63.415,63.415,-100.0,160.0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2022,10,LT50,5,2,3,0.5,0.2,0.3,2.7,0.5,0.5,10,10,0,0.5,0.2,0.3,0.33704,0.23072,0.43224,16.296,-3.072,-13.224,13.5,-8.8,-50.1,10,10,0,0.5,0.5,0.58724,0.41276,-8.724,8.724,-11.5,26.5,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2023,3,LT50,0,0,3,0.0,0.0,1.0,2.667,0.66667,0.0,3,3,0,0.0,0.0,1.0,0.26888,0.25452,0.4766,-26.888,-25.452,52.34,-100.0,-100.0,115.333,3,3,0,0.66667,0.33333,0.55012,0.44988,11.655,-11.655,14.667,-38.667,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2024,6,LT50,1,2,3,0.16667,0.33333,0.5,1.667,0.33333,0.16667,6,6,0,0.16667,0.33333,0.5,0.34813,0.25339,0.39848,-18.146,7.994,10.152,-58.5,32.167,8.5,6,6,0,0.33333,0.66667,0.58495,0.41505,-25.162,25.162,-45.0,59.5,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2025,9,LT50,5,0,4,0.55556,0.0,0.44444,4.0,1.0,0.77778,9,9,0,0.55556,0.0,0.44444,0.30375,0.22397,0.47229,25.181,-22.397,-2.785,65.444,-100.0,-30.333,9,9,0,1.0,0.0,0.60983,0.39017,39.017,-39.017,57.667,-100.0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,DNK|2017,1,LT50,0,0,1,0.0,0.0,1.0,3.0,1.0,1.0,1,1,0,0.0,0.0,1.0,0.42539,0.26087,0.31374,-42.539,-26.087,68.626,-100.0,-100.0,201.0,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,DNK|2018,8,LT50,2,4,2,0.25,0.5,0.25,2.25,0.25,0.625,8,8,0,0.25,0.5,0.25,0.28696,0.26574,0.44729,-3.696,23.426,-19.729,29.625,69.75,-43.5,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,DNK|2019,4,LT50,1,1,2,0.25,0.25,0.5,2.25,0.5,0.25,4,4,0,0.25,0.25,0.5,0.50204,0.25931,0.23865,-25.204,-0.931,26.135,-51.5,-21.25,191.75,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE_SEASON,DNK|2020,4,LT50,0,4,0,0.0,1.0,0.0,2.0,0.25,0.75,4,4,0,0.0,1.0,0.0,0.49151,0.25966,0.24884,-49.151,74.034,-24.884,-100.0,292.0,-100.0,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
