factor,bucket,scope_type,scope_value,seasons_with_matches,total_matches,min_season_matches,max_season_matches,home_roi_observed_seasons,home_roi_positive_seasons,draw_roi_observed_seasons,draw_roi_positive_seasons,away_roi_observed_seasons,away_roi_positive_seasons,over25_roi_observed_seasons,over25_roi_positive_seasons,under25_roi_observed_seasons,under25_roi_positive_seasons,home_calibration_observed_seasons,home_calibration_positive_seasons,away_calibration_observed_seasons,away_calibration_positive_seasons,over25_calibration_observed_seasons,over25_calibration_positive_seasons,research_only,operational_betting_authority,creates_signal,promotes_factor
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,9,549,51,80,9,2,9,5,9,4,7,4,7,1,9,4,9,5,7,4,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,AUT,9,32,2,5,9,2,9,3,9,6,0,0,0,0,9,1,9,7,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,B1,7,37,3,10,7,3,7,3,7,3,7,2,7,4,7,4,7,4,7,2,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,D1,9,55,1,10,7,5,7,1,7,3,7,4,7,3,7,5,7,4,7,4,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,DNK,9,34,1,8,9,1,9,5,9,5,0,0,0,0,9,0,9,5,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,E0,9,68,4,10,7,3,7,3,7,2,7,6,7,1,7,4,7,3,7,6,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,F1,9,49,1,11,7,5,7,2,7,2,7,4,7,2,7,5,7,3,7,5,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,I1,9,28,1,5,7,2,7,5,7,1,7,5,7,2,7,3,7,2,7,5,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,N1,9,67,3,11,7,3,7,5,7,2,7,3,7,4,7,3,7,3,7,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,NOR,5,14,1,5,5,3,5,2,5,3,0,0,0,0,5,2,5,3,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,P1,8,19,1,5,7,2,7,4,7,3,7,4,7,3,7,3,7,3,7,4,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,POL,7,29,1,9,7,3,7,5,7,1,0,0,0,0,7,3,7,2,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,SC0,7,12,1,3,5,2,5,2,5,1,5,3,5,1,5,3,5,2,5,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,SP1,8,82,5,18,7,4,7,2,7,4,7,2,7,3,7,7,7,3,7,2,true,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,T1,6,23,2,9,4,3,4,1,4,1,4,1,4,1,4,3,4,2,4,1,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,ALL,ALL,9,262,17,44,9,4,9,4,9,4,7,2,7,3,9,5,9,4,7,4,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,AUT,7,15,1,3,7,1,7,7,7,1,0,0,0,0,7,1,7,1,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,B1,7,28,2,6,7,2,7,2,7,3,7,2,7,3,7,6,7,3,7,2,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,D1,9,19,1,4,7,2,7,3,7,3,7,5,7,1,7,2,7,4,7,5,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,DNK,5,7,1,2,5,1,5,2,5,3,0,0,0,0,5,1,5,3,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,E0,9,40,1,7,7,3,7,2,7,3,7,3,7,4,7,3,7,4,7,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,F1,4,17,2,6,2,1,2,0,2,1,2,1,2,0,2,1,2,1,2,1,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,I1,4,4,1,1,4,0,4,1,4,3,4,1,4,3,4,0,4,3,4,1,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,N1,8,25,1,6,6,3,6,1,6,2,6,4,6,2,6,3,6,2,6,4,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,NOR,6,29,1,8,6,2,6,2,6,3,0,0,0,0,6,2,6,5,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,P1,2,2,1,1,2,2,2,0,2,0,2,0,2,2,2,2,2,0,2,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,POL,6,10,1,3,6,3,6,3,6,1,0,0,0,0,6,3,6,1,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,SC0,6,13,1,4,4,1,4,3,4,1,4,1,4,3,4,1,4,2,4,1,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,SP1,8,48,3,8,7,6,7,2,7,2,7,2,7,5,7,6,7,3,7,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,BOTH,LEAGUE,T1,4,5,1,2,3,0,3,1,3,2,3,3,3,0,3,1,3,2,3,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,ALL,ALL,9,583,54,74,9,2,9,3,9,2,7,1,7,3,9,5,9,3,7,2,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,AUT,7,21,1,5,7,3,7,5,7,2,0,0,0,0,7,4,7,3,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,B1,7,48,2,10,7,1,7,3,7,2,7,4,7,1,7,3,7,3,7,6,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,D1,9,36,2,5,7,2,7,4,7,2,7,5,7,1,7,4,7,3,7,6,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,DNK,9,50,3,8,9,1,9,5,9,5,0,0,0,0,9,2,9,4,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,E0,9,68,4,10,7,3,7,2,7,5,7,3,7,4,7,3,7,5,7,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,F1,9,43,1,11,7,4,7,3,7,3,7,4,7,2,7,5,7,4,7,5,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,I1,9,55,3,11,7,3,7,5,7,0,7,1,7,4,7,4,7,2,7,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,N1,9,63,4,11,7,2,7,5,7,1,7,1,7,5,7,3,7,2,7,2,true,false,false,false
