factor,bucket,scope_type,scope_value,target,test_season,train_first_season,train_last_season,train_seasons,train_market_matches,test_market_matches,sample_threshold_pass,train_hit_rate,test_hit_rate,train_avg_market_novig,test_avg_market_novig,train_calibration_pp,test_calibration_pp,train_flat_bet_roi_pct,test_flat_bet_roi_pct,train_calibration_sign,test_calibration_sign,calibration_sign_persists,train_roi_sign,test_roi_sign,roi_sign_persists,research_only,operational_betting_authority,creates_signal,promotes_factor,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,HOME,2019,2017,2018,2,15,80,false,0.2,0.35,0.31978,0.37517,-11.978,-2.517,-2.067,-13.738,NEGATIVE,NEGATIVE,,NEGATIVE,NEGATIVE,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,DRAW,2019,2017,2018,2,15,80,false,0.4,0.225,0.26008,0.24716,13.992,-2.216,40.8,-15.537,POSITIVE,NEGATIVE,,POSITIVE,NEGATIVE,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,AWAY,2019,2017,2018,2,15,80,false,0.4,0.425,0.42013,0.37768,-2.013,4.732,-5.8,8.838,NEGATIVE,POSITIVE,,NEGATIVE,POSITIVE,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,OVER25,2019,2017,2018,2,0,64,false,,0.60938,,0.53249,,7.689,,9.828,UNKNOWN,POSITIVE,,UNKNOWN,POSITIVE,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,UNDER25,2019,2017,2018,2,0,64,false,,0.39062,,0.46751,,-7.689,,-21.422,UNKNOWN,NEGATIVE,,UNKNOWN,NEGATIVE,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,HOME,2020,2017,2019,3,95,62,false,0.32632,0.35484,0.36642,0.33667,-4.011,1.817,-11.895,-1.097,NEGATIVE,POSITIVE,,NEGATIVE,NEGATIVE,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,DRAW,2020,2017,2019,3,95,62,false,0.25263,0.29032,0.2492,0.22602,0.343,6.43,-6.642,28.339,POSITIVE,POSITIVE,,NEGATIVE,POSITIVE,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,AWAY,2020,2017,2019,3,95,62,false,0.42105,0.35484,0.38438,0.4373,3.667,-8.247,6.526,-35.823,POSITIVE,NEGATIVE,,POSITIVE,NEGATIVE,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,OVER25,2020,2017,2019,3,64,52,false,0.60938,0.53846,0.53249,0.56647,7.689,-2.801,9.828,-10.5,POSITIVE,NEGATIVE,,POSITIVE,NEGATIVE,,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,UNDER25,2020,2017,2019,3,64,52,false,0.39062,0.46154,0.46751,0.43353,-7.689,2.801,-21.422,-1.269,NEGATIVE,POSITIVE,,NEGATIVE,NEGATIVE,,true,false,false,false,false,false,false,false
