factor,bucket,scope_type,scope_value,target,folds,sample_threshold_pass_folds,total_train_market_matches,total_test_market_matches,first_test_season,last_test_season,calibration_non_neutral_eligible_folds,calibration_sign_persistent_folds,calibration_sign_persistence_rate,roi_non_neutral_eligible_folds,roi_sign_persistent_folds,roi_sign_persistence_rate,weighted_test_calibration_pp,weighted_test_flat_bet_roi_pct,positive_test_calibration_folds,positive_test_roi_folds,research_only,operational_betting_authority,creates_signal,promotes_factor,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,AWAY,7,5,1457,435,2019,2025,3,0,0.0,5,3,0.6,-1.203,-6.847,3,2,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,DRAW,7,5,1457,435,2019,2025,5,1,0.2,5,2,0.4,-1.067,-6.092,1,2,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,HOME,7,5,1457,435,2019,2025,5,2,0.4,5,3,0.6,2.27,-1.392,3,1,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,OVER25,7,5,1092,341,2019,2025,5,3,0.6,5,2,0.4,4.573,2.355,3,3,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,ALL,ALL,UNDER25,7,5,1092,341,2019,2025,5,3,0.6,5,4,0.8,-4.573,-15.315,2,1,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,AUT,AWAY,7,0,122,26,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,AUT,DRAW,7,0,122,26,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,AUT,HOME,7,0,122,26,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,AUT,OVER25,7,0,0,0,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,AUT,UNDER25,7,0,0,0,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,B1,AWAY,5,0,110,24,2021,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,B1,DRAW,5,0,110,24,2021,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,B1,HOME,5,0,110,24,2021,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,B1,OVER25,5,0,110,24,2021,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,B1,UNDER25,5,0,110,24,2021,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,D1,AWAY,7,0,129,44,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,D1,DRAW,7,0,129,44,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,D1,HOME,7,0,129,44,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,D1,OVER25,7,0,129,44,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,D1,UNDER25,7,0,129,44,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,DNK,AWAY,7,0,134,25,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,DNK,DRAW,7,0,134,25,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,DNK,HOME,7,0,134,25,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,DNK,OVER25,7,0,0,0,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,DNK,UNDER25,7,0,0,0,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,E0,AWAY,7,0,162,54,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,E0,DRAW,7,0,162,54,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,E0,HOME,7,0,162,54,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,E0,OVER25,7,0,162,54,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,E0,UNDER25,7,0,162,54,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,F1,AWAY,7,0,76,27,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,F1,DRAW,7,0,76,27,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,F1,HOME,7,0,76,27,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,F1,OVER25,7,0,76,27,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,F1,UNDER25,7,0,76,27,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,I1,AWAY,7,0,79,23,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,I1,DRAW,7,0,79,23,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,I1,HOME,7,0,79,23,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,I1,OVER25,7,0,79,23,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,I1,UNDER25,7,0,79,23,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,N1,AWAY,7,0,132,46,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,N1,DRAW,7,0,132,46,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,N1,HOME,7,0,132,46,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,N1,OVER25,7,0,132,46,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,N1,UNDER25,7,0,132,46,2019,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,NOR,AWAY,3,0,32,6,2023,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,NOR,DRAW,3,0,32,6,2023,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,NOR,HOME,3,0,32,6,2023,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,NOR,OVER25,3,0,0,0,2023,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,NOR,UNDER25,3,0,0,0,2023,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,P1,AWAY,6,0,61,16,2020,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,P1,DRAW,6,0,61,16,2020,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,P1,HOME,6,0,61,16,2020,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,P1,OVER25,6,0,61,16,2020,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
DOMESTIC_CUP_72H_SIDE,AWAY_ONLY,LEAGUE,P1,UNDER25,6,0,61,16,2020,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
