factor,bucket,scope_type,scope_value,matches,sample_band,home_wins,draws,away_wins,home_win_rate,draw_rate,away_win_rate,avg_total_goals,over25_rate,btts_rate,closing_1x2_matches,closing_1x2_avg_source_rows,closing_1x2_b365_source_rows,closing_home_hit_rate,closing_draw_hit_rate,closing_away_hit_rate,avg_market_novig_home,avg_market_novig_draw,avg_market_novig_away,home_calibration_pp,draw_calibration_pp,away_calibration_pp,home_flat_bet_roi_pct,draw_flat_bet_roi_pct,away_flat_bet_roi_pct,closing_total25_matches,closing_total25_avg_source_rows,closing_total25_b365_source_rows,closing_over25_hit_rate,closing_under25_hit_rate,avg_market_novig_over25,avg_market_novig_under25,over25_calibration_pp,under25_calibration_pp,over25_flat_bet_roi_pct,under25_flat_bet_roi_pct,research_only,operational_betting_authority,creates_signal,promotes_factor,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,37,LT50,14,13,10,0.37838,0.35135,0.27027,2.73,0.54054,0.56757,34,34,0,0.38235,0.32353,0.29412,0.42774,0.2494,0.32286,-4.539,7.413,-2.874,-30.559,12.176,-17.176,19,19,0,0.47368,0.52632,0.5334,0.4666,-5.972,5.972,-20.263,2.895,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,AUT,1,LT50,1,0,0,1.0,0.0,0.0,3.0,1.0,1.0,1,1,0,1.0,0.0,0.0,0.54765,0.22808,0.22428,45.235,-22.808,-22.428,72.0,-100.0,-100.0,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,E0,2,LT50,1,0,1,0.5,0.0,0.5,5.0,1.0,1.0,2,2,0,0.5,0.0,0.5,0.37894,0.22162,0.39944,12.106,-22.162,10.056,-22.0,-100.0,-25.5,2,2,0,1.0,0.0,0.5234,0.4766,47.66,-47.66,83.0,-100.0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,F1,3,LT50,0,1,2,0.0,0.33333,0.66667,1.333,0.0,0.33333,2,2,0,0.0,0.0,1.0,0.46127,0.20647,0.33226,-46.127,-20.647,66.774,-100.0,-100.0,366.5,2,2,0,0.0,1.0,0.63438,0.36562,-63.438,63.438,-100.0,159.5,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,I1,1,LT50,0,1,0,0.0,1.0,0.0,4.0,1.0,1.0,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,N1,2,LT50,0,1,1,0.0,0.5,0.5,3.0,0.5,0.5,2,2,0,0.0,0.5,0.5,0.396,0.24323,0.36077,-39.6,25.677,13.923,-100.0,91.0,139.0,2,2,0,0.5,0.5,0.58023,0.41977,-8.023,8.023,-18.5,12.5,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,NOR,7,LT50,6,0,1,0.85714,0.0,0.14286,3.857,0.71429,0.42857,7,7,0,0.85714,0.0,0.14286,0.47064,0.24803,0.28133,38.65,-24.803,-13.847,64.0,-100.0,-73.714,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,P1,1,LT50,1,0,0,1.0,0.0,0.0,5.0,1.0,1.0,1,1,0,1.0,0.0,0.0,0.83334,0.11256,0.0541,16.666,-11.256,-5.41,14.0,-100.0,-100.0,1,1,0,1.0,0.0,0.67749,0.32251,32.251,-32.251,39.0,-100.0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,POL,7,LT50,2,3,2,0.28571,0.42857,0.28571,1.714,0.42857,0.42857,7,7,0,0.28571,0.42857,0.28571,0.41526,0.2707,0.31404,-12.955,15.787,-2.833,-43.571,56.143,-33.571,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,SC0,3,LT50,2,0,1,0.66667,0.0,0.33333,3.0,0.66667,0.66667,2,2,0,0.5,0.0,0.5,0.23727,0.24003,0.5227,26.273,-24.003,-2.27,23.5,-100.0,-34.5,2,2,0,0.5,0.5,0.48051,0.51949,1.949,-1.949,-8.5,-15.0,true,false,false,false,false,false,false,false
