factor,bucket,scope_type,scope_value,seasons_with_matches,total_matches,min_season_matches,max_season_matches,home_roi_observed_seasons,home_roi_positive_seasons,draw_roi_observed_seasons,draw_roi_positive_seasons,away_roi_observed_seasons,away_roi_positive_seasons,over25_roi_observed_seasons,over25_roi_positive_seasons,under25_roi_observed_seasons,under25_roi_positive_seasons,home_calibration_observed_seasons,home_calibration_positive_seasons,away_calibration_observed_seasons,away_calibration_positive_seasons,over25_calibration_observed_seasons,over25_calibration_positive_seasons,research_only,operational_betting_authority,creates_signal,promotes_factor
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,8,37,1,13,7,4,7,5,7,3,5,1,5,4,7,4,7,2,5,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,AUT,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,E0,1,2,2,2,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,F1,3,3,1,1,2,0,2,0,2,2,2,0,2,2,2,0,2,2,2,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,I1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,N1,2,2,1,1,2,0,2,1,2,1,2,1,2,1,2,0,2,1,2,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,NOR,4,7,1,2,4,4,4,0,4,0,0,0,0,0,4,4,4,1,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,P1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,POL,4,7,1,3,4,1,4,2,4,1,0,0,0,0,4,1,4,1,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,SC0,3,3,1,1,2,1,2,0,2,1,2,1,2,1,2,1,2,1,2,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,SP1,3,6,1,4,3,1,3,2,3,0,3,1,3,2,3,1,3,0,3,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,T1,2,4,1,3,2,0,2,2,2,0,2,1,2,1,2,0,2,0,2,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,ALL,ALL,9,3834,284,494,9,2,9,1,9,2,7,2,7,1,9,3,9,6,7,5,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,AUT,9,193,18,24,9,1,9,5,9,5,0,0,0,0,9,2,9,8,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,B1,9,258,24,36,7,3,7,1,7,2,7,3,7,4,7,4,7,5,7,3,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,D1,9,288,18,36,7,4,7,5,7,3,7,4,7,3,7,3,7,5,7,4,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,DNK,9,241,18,35,9,5,9,4,9,3,0,0,0,0,9,5,9,5,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,E0,9,318,20,40,7,2,7,3,7,3,7,3,7,2,7,4,7,3,7,4,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,F1,9,305,20,40,7,3,7,2,7,2,7,2,7,1,7,6,7,3,7,2,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,I1,9,315,20,40,7,1,7,5,7,1,7,2,7,2,7,3,7,3,7,4,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,N1,9,285,18,36,7,3,7,4,7,1,7,3,7,3,7,2,7,4,7,4,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,NOR,9,273,8,40,9,4,9,4,9,5,0,0,0,0,9,5,9,6,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,P1,9,286,18,36,7,4,7,1,7,2,7,2,7,1,7,4,7,4,7,4,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,POL,8,269,27,44,8,5,8,5,8,1,0,0,0,0,8,5,8,2,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,SC0,9,192,18,24,7,4,7,2,7,3,7,4,7,2,7,3,7,3,7,5,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,SP1,9,312,20,40,7,1,7,3,7,2,7,1,7,3,7,3,7,4,7,2,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE,T1,9,299,18,40,7,2,7,2,7,4,7,1,7,1,7,3,7,5,7,4,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,ALL,ALL,8,47,1,13,6,3,6,4,6,3,5,4,5,1,6,3,6,4,5,4,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,AUT,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,B1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,E0,1,2,2,2,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,F1,3,5,1,3,2,1,2,0,2,1,2,1,2,1,2,1,2,1,2,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,I1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,N1,3,4,1,2,3,2,3,1,3,0,3,2,3,1,3,2,3,0,3,2,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,NOR,3,6,1,4,3,1,3,1,3,2,0,0,0,0,3,1,3,2,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,P1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,POL,4,5,1,2,4,3,4,1,4,1,0,0,0,0,4,3,4,1,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,SC0,5,8,1,3,3,2,3,1,3,0,3,3,3,0,3,2,3,1,3,3,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,SP1,3,6,1,4,3,1,3,2,3,0,3,1,3,3,3,1,3,1,3,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,HOME_ONLY,LEAGUE,T1,3,7,1,4,3,1,3,1,3,1,3,1,3,1,3,2,3,1,3,1,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,ALL,ALL,9,33409,3424,3957,9,1,9,1,9,0,7,0,7,0,9,5,9,3,7,4,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,AUT,9,1539,160,177,9,1,9,3,9,1,0,0,0,0,9,3,9,4,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,B1,9,2303,208,287,7,0,7,2,7,1,7,2,7,3,7,2,7,3,7,2,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,D1,9,2465,269,288,7,3,7,3,7,2,7,2,7,0,7,5,7,2,7,6,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,DNK,9,1642,162,215,9,0,9,2,9,2,0,0,0,0,9,6,9,2,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,E0,9,3098,338,360,7,2,7,2,7,1,7,1,7,2,7,3,7,4,7,3,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,F1,9,2783,249,360,7,2,7,2,7,3,7,2,7,0,7,3,7,4,7,5,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,I1,9,3102,339,360,7,0,7,2,7,3,7,1,7,1,7,0,7,4,7,6,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,N1,9,2387,205,287,7,1,7,4,7,1,7,0,7,2,7,2,7,2,7,3,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,NOR,9,1877,197,232,9,0,9,2,9,1,0,0,0,0,9,5,9,4,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,P1,9,2466,269,288,7,1,7,2,7,0,7,1,7,1,7,2,7,2,7,2,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,POL,8,2080,206,278,8,1,8,2,8,1,0,0,0,0,8,7,8,2,0,0,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,SC0,9,1799,161,210,7,1,7,2,7,1,7,3,7,2,7,4,7,2,7,4,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,SP1,9,3096,336,360,7,2,7,4,7,0,7,0,7,0,7,4,7,1,7,2,true,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,NEITHER,LEAGUE,T1,9,2772,268,376,7,0,7,1,7,0,7,0,7,1,7,5,7,1,7,2,true,false,false,false
INTL_AFTER_72H,OUTSIDE,ALL,ALL,9,36903,3844,4226,9,1,9,0,9,0,7,0,7,0,9,4,9,2,7,5,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,AUT,9,1720,180,195,9,1,9,4,9,1,0,0,0,0,9,3,9,6,0,0,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,B1,9,2522,228,309,7,0,7,2,7,2,7,1,7,1,7,4,7,4,7,2,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,D1,9,2701,285,304,7,3,7,4,7,2,7,2,7,0,7,3,7,3,7,6,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,DNK,9,1852,187,240,9,3,9,3,9,1,0,0,0,0,9,4,9,3,0,0,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,E0,9,3400,368,380,7,2,7,2,7,2,7,2,7,2,7,3,7,3,7,3,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,F1,9,3051,275,378,7,2,7,1,7,3,7,2,7,0,7,3,7,4,7,5,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,I1,9,3398,362,380,7,0,7,3,7,3,7,1,7,1,7,0,7,5,7,5,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,N1,9,2664,232,306,7,1,7,5,7,1,7,0,7,1,7,1,7,1,7,3,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,NOR,9,2153,236,242,9,2,9,3,9,2,0,0,0,0,9,6,9,5,0,0,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,P1,9,2724,299,305,7,1,7,0,7,0,7,1,7,2,7,4,7,3,7,4,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,POL,8,2305,228,301,8,1,8,1,8,0,0,0,0,0,8,6,8,2,0,0,true,false,false,false
INTL_AFTER_72H,OUTSIDE,LEAGUE,SC0,9,1981,179,228,7,2,7,3,7,1,7,3,7,1,7,5,7,1,7,4,true,false,false,false
