factor,bucket,scope_type,scope_value,target,test_season,train_first_season,train_last_season,train_seasons,train_market_matches,test_market_matches,sample_threshold_pass,train_hit_rate,test_hit_rate,train_avg_market_novig,test_avg_market_novig,train_calibration_pp,test_calibration_pp,train_flat_bet_roi_pct,test_flat_bet_roi_pct,train_calibration_sign,test_calibration_sign,calibration_sign_persists,train_roi_sign,test_roi_sign,roi_sign_persists,research_only,operational_betting_authority,creates_signal,promotes_factor,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,HOME,2020,2017,2018,2,2,13,false,1.0,0.23077,0.52042,0.35643,47.958,-12.566,81.0,-53.462,POSITIVE,NEGATIVE,,POSITIVE,NEGATIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,DRAW,2020,2017,2018,2,2,13,false,0.0,0.38462,0.25973,0.25831,-25.973,12.63,-100.0,30.231,NEGATIVE,POSITIVE,,NEGATIVE,POSITIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,AWAY,2020,2017,2018,2,2,13,false,0.0,0.38462,0.21984,0.38526,-21.984,-0.064,-100.0,14.846,NEGATIVE,NEUTRAL,,NEGATIVE,POSITIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,OVER25,2020,2017,2018,2,0,8,false,,0.5,,0.52867,,-2.867,,-8.125,UNKNOWN,NEGATIVE,,UNKNOWN,NEGATIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,UNDER25,2020,2017,2018,2,0,8,false,,0.5,,0.47133,,2.867,,5.25,UNKNOWN,POSITIVE,,UNKNOWN,POSITIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,HOME,2021,2017,2020,3,15,7,false,0.33333,0.0,0.3783,0.35886,-4.496,-35.886,-35.533,-100.0,NEGATIVE,NEGATIVE,,NEGATIVE,NEGATIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,DRAW,2021,2017,2020,3,15,7,false,0.33333,0.42857,0.2585,0.25305,7.483,17.552,12.867,44.0,POSITIVE,POSITIVE,,POSITIVE,POSITIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,AWAY,2021,2017,2020,3,15,7,false,0.33333,0.57143,0.3632,0.38808,-2.987,18.334,-0.467,50.571,NEGATIVE,POSITIVE,,NEGATIVE,POSITIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,OVER25,2021,2017,2020,3,8,7,false,0.5,0.42857,0.52867,0.52434,-2.867,-9.577,-8.125,-28.143,NEGATIVE,NEGATIVE,,NEGATIVE,NEGATIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,UNDER25,2021,2017,2020,3,8,7,false,0.5,0.57143,0.47133,0.47566,2.867,9.577,5.25,11.143,POSITIVE,POSITIVE,,POSITIVE,POSITIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,HOME,2022,2017,2021,4,22,2,false,0.22727,0.5,0.37211,0.41744,-14.484,8.256,-56.045,6.5,NEGATIVE,POSITIVE,,NEGATIVE,POSITIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,DRAW,2022,2017,2021,4,22,2,false,0.36364,0.5,0.25677,0.2882,10.687,21.18,22.773,57.0,POSITIVE,POSITIVE,,POSITIVE,POSITIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,AWAY,2022,2017,2021,4,22,2,false,0.40909,0.0,0.37112,0.29436,3.797,-29.436,15.773,-100.0,POSITIVE,NEGATIVE,,POSITIVE,NEGATIVE,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,OVER25,2022,2017,2021,4,15,1,false,0.46667,0.0,0.52665,0.42636,-5.999,-42.636,-17.467,-100.0,NEGATIVE,NEGATIVE,,NEGATIVE,NEGATIVE,,true,false,false,false,false,false,false,false
