factor,bucket,scope_type,scope_value,target,folds,sample_threshold_pass_folds,total_train_market_matches,total_test_market_matches,first_test_season,last_test_season,calibration_non_neutral_eligible_folds,calibration_sign_persistent_folds,calibration_sign_persistence_rate,roi_non_neutral_eligible_folds,roi_sign_persistent_folds,roi_sign_persistence_rate,weighted_test_calibration_pp,weighted_test_flat_bet_roi_pct,positive_test_calibration_folds,positive_test_roi_folds,research_only,operational_betting_authority,creates_signal,promotes_factor,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,AWAY,6,0,123,32,2020,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,DRAW,6,0,123,32,2020,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,HOME,6,0,123,32,2020,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,OVER25,6,0,75,19,2020,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,ALL,ALL,UNDER25,6,0,75,19,2020,2025,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,F1,AWAY,1,0,1,1,2021,2021,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,F1,DRAW,1,0,1,1,2021,2021,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,F1,HOME,1,0,1,1,2021,2021,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,F1,OVER25,1,0,1,1,2021,2021,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,F1,UNDER25,1,0,1,1,2021,2021,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,NOR,AWAY,2,0,9,3,2022,2023,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,NOR,DRAW,2,0,9,3,2022,2023,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,NOR,HOME,2,0,9,3,2022,2023,0,0,,0,0,,,,0,0,true,false,false,false,false,false,false,false
