country,provider_league_id,league_name,season,provider_season_available,backfill_status,state_provider_fixture_rows,archive_rows,unique_fixture_ids,duplicate_fixture_ids,finished_rows,nonfinished_rows,participant_teams,min_team_archive_matches,max_team_archive_matches,min_team_finished_matches,max_team_finished_matches,unique_round_labels,phase_marker_types,phase_marker_round_labels,has_phase_markers,balanced_archive_appearances,balanced_finished_appearances,structure_class,naive_single_table_motivation_allowed,exact_motivation_contract_status,inventory_only,provider_calls,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
Austria,218,Bundesliga,2017,true,CAPTURED,180,180,180,0,180,0,10,36,36,36,36,36,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
Austria,218,Bundesliga,2018,true,CAPTURED,195,195,195,0,195,0,12,32,35,32,35,44,CHAMPIONSHIP|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Europa League Play-offs - 1st Round || Europa League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Austria,218,Bundesliga,2019,true,CAPTURED,195,195,195,0,195,0,12,32,35,32,35,44,CHAMPIONSHIP|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Europa League Play-offs - 1st Round || Europa League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Austria,218,Bundesliga,2020,true,CAPTURED,197,197,197,0,197,0,13,2,35,2,35,45,CHAMPIONSHIP|CONFERENCE|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-offs - 1st Round || Conference League Play-offs - Final || Relegation Round || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Austria,218,Bundesliga,2021,true,CAPTURED,195,195,195,0,195,0,12,32,35,32,35,44,CHAMPIONSHIP|CONFERENCE|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-offs - 1st Round || Conference League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Austria,218,Bundesliga,2022,true,CAPTURED,195,195,195,0,195,0,12,32,35,32,35,44,CHAMPIONSHIP|CONFERENCE|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-offs - 1st Round || Conference League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Austria,218,Bundesliga,2023,true,CAPTURED,195,195,195,0,195,0,12,32,35,32,35,44,CHAMPIONSHIP|CONFERENCE|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-offs - 1st Round || Conference League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Austria,218,Bundesliga,2024,true,CAPTURED,195,195,195,0,195,0,12,32,35,32,35,44,CHAMPIONSHIP|CONFERENCE|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-offs - 1st Round || Conference League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Austria,218,Bundesliga,2025,true,CAPTURED,195,195,195,0,195,0,12,32,35,32,35,44,CHAMPIONSHIP|FINALS|GROUP|RELEGATION,Championship Group - 23 || Championship Group - 24 || Championship Group - 25 || Championship Group - 26 || Championship Group - 27 || Championship Group - 28 || Championship Group - 29 || Championship Group - 30 || Championship Group - 31 || Championship Group - 32 || Final || Relegation Group - 23 || Relegation Group - 24 || Relegation Group - 25 || Relegation Group - 26 || Relegation Group - 27 || Relegation Group - 28 || Relegation Group - 29 || Relegation Group - 30 || Relegation Group - 31 || Relegation Group - 32 || Semi-finals,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Belgium,144,Jupiler Pro League,2017,true,CAPTURED,270,270,270,0,270,0,16,30,40,30,40,40,PLAYOFF,Play-offs I - 1 || Play-offs I - 10 || Play-offs I - 2 || Play-offs I - 3 || Play-offs I - 4 || Play-offs I - 5 || Play-offs I - 6 || Play-offs I - 7 || Play-offs I - 8 || Play-offs I - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
