team_id,team_name,combo_type,position_group,member_ids,member_names,co_starts,points_delta_vs_member_baseline,goal_diff_delta_vs_member_baseline,anti_synergy_candidate,validation_authority,research_only
1393,Union St. Gilloise,LINE,D,19850|290546|5967,C. Burgess|F. Leysen|K. Mac Allister,7,-0.36,-0.592,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,127414|19850,A. Ait El Hadj|C. Burgess,10,-0.09,-0.173,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,127414|290546,A. Ait El Hadj|F. Leysen,10,-0.058,-0.092,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,127414|361966,A. Ait El Hadj|K. Rodriguez,9,-0.097,-0.014,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,127414|37276,A. Ait El Hadj|K. Scherpen,9,-0.014,-0.097,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,127414|5967,A. Ait El Hadj|K. Mac Allister,11,-0.053,-0.038,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,19850|270201,C. Burgess|R. Florucz,7,-0.118,-0.229,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,19850|290546,C. Burgess|F. Leysen,8,-0.207,-0.382,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,19850|338735,C. Burgess|A. Khalaili,9,-0.01,-0.101,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,19850|361966,C. Burgess|K. Rodriguez,8,-0.168,-0.335,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,19850|4408,C. Burgess|A. Zorgane,9,-0.01,-0.101,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,19850|5967,C. Burgess|K. Mac Allister,10,-0.09,-0.173,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,270201|338735,R. Florucz|A. Khalaili,8,-0.12,-0.072,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,270201|37276,R. Florucz|K. Scherpen,7,-0.187,-0.298,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,270201|4408,R. Florucz|A. Zorgane,9,-0.051,-0.03,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,290546|338735,F. Leysen|A. Khalaili,8,-0.048,-0.064,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,290546|361966,F. Leysen|K. Rodriguez,8,-0.136,-0.103,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,290546|37276,F. Leysen|K. Scherpen,7,-0.114,-0.307,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,290546|5967,F. Leysen|K. Mac Allister,9,-0.136,-0.158,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,338735|37276,A. Khalaili|K. Scherpen,9,-0.078,-0.169,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,338735|4408,A. Khalaili|A. Zorgane,10,-0.045,-0.027,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,361966|37276,K. Rodriguez|K. Scherpen,6,-0.194,-0.194,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,361966|5967,K. Rodriguez|K. Mac Allister,8,-0.194,-0.069,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,37276|4408,K. Scherpen|A. Zorgane,9,-0.078,-0.169,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,PAIR,,37276|5967,K. Scherpen|K. Mac Allister,9,-0.014,-0.097,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|19850|203456,A. Ait El Hadj|C. Burgess|O. Niang,9,-0.01,-0.121,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|19850|270201,A. Ait El Hadj|C. Burgess|R. Florucz,6,-0.242,-0.371,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|19850|290546,A. Ait El Hadj|C. Burgess|F. Leysen,8,-0.235,-0.449,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|19850|338735,A. Ait El Hadj|C. Burgess|A. Khalaili,8,-0.067,-0.183,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|19850|361966,A. Ait El Hadj|C. Burgess|K. Rodriguez,8,-0.209,-0.376,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|19850|4408,A. Ait El Hadj|C. Burgess|A. Zorgane,8,-0.067,-0.183,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|19850|5967,A. Ait El Hadj|C. Burgess|K. Mac Allister,9,-0.177,-0.288,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|19850|8680,A. Ait El Hadj|C. Burgess|C. Vanhoutte,4,-0.327,-0.582,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|270201|338735,A. Ait El Hadj|R. Florucz|A. Khalaili,7,-0.183,-0.088,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|270201|37276,A. Ait El Hadj|R. Florucz|K. Scherpen,6,-0.287,-0.417,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|270201|4408,A. Ait El Hadj|R. Florucz|A. Zorgane,8,-0.094,-0.034,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|270201|5967,A. Ait El Hadj|R. Florucz|K. Mac Allister,7,-0.14,-0.04,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|290546|338735,A. Ait El Hadj|F. Leysen|A. Khalaili,8,-0.046,-0.07,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|290546|361966,A. Ait El Hadj|F. Leysen|K. Rodriguez,8,-0.188,-0.138,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|290546|37276,A. Ait El Hadj|F. Leysen|K. Scherpen,7,-0.12,-0.352,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|290546|5967,A. Ait El Hadj|F. Leysen|K. Mac Allister,9,-0.156,-0.189,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|338735|37276,A. Ait El Hadj|A. Khalaili|K. Scherpen,8,-0.112,-0.229,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|338735|4408,A. Ait El Hadj|A. Khalaili|A. Zorgane,9,-0.058,-0.013,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|361966|37276,A. Ait El Hadj|K. Rodriguez|K. Scherpen,6,-0.213,-0.213,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|361966|5967,A. Ait El Hadj|K. Rodriguez|K. Mac Allister,8,-0.227,-0.074,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|37276|4408,A. Ait El Hadj|K. Scherpen|A. Zorgane,8,-0.112,-0.229,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,127414|37276|5967,A. Ait El Hadj|K. Scherpen|K. Mac Allister,8,-0.069,-0.181,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,19850|203456|290546,C. Burgess|O. Niang|F. Leysen,7,-0.13,-0.362,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
1393,Union St. Gilloise,TRIO,,19850|203456|361966,C. Burgess|O. Niang|K. Rodriguez,7,-0.104,-0.271,true,DESCRIPTIVE_ASSOCIATION_ONLY,true
