team_id,team_name,player_id,player_name,injury_fixture_id,injury_kickoff_utc,return_fixture_id,return_kickoff_utc,fixtures_between_captured,return_as_starter,prior_player_quality,prior_quality_matches,return_team_points,return_team_goal_diff,temporal_authority,prematch_observation_time_known,validation_authority,research_only
1393,Union St. Gilloise,19850,Christian Burgess,1382445,2025-08-09T18:45:00+00:00,1382453,2025-08-16T18:45:00+00:00,0,YES,6.47,2,3,3.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1393,Union St. Gilloise,19850,Christian Burgess,1382453,2025-08-16T18:45:00+00:00,1382464,2025-08-24T16:30:00+00:00,0,YES,6.41,3,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1393,Union St. Gilloise,313353,Promise David,1382453,2025-08-16T18:45:00+00:00,1382476,2025-09-13T16:15:00+00:00,2,YES,4.83,1,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1393,Union St. Gilloise,340574,Kamiel Van De Perre,1382464,2025-08-24T16:30:00+00:00,1382500,2025-10-05T16:30:00+00:00,4,YES,4.515,2,0,-1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
740,Antwerp,37188,Gyrano Kerk,1382462,2025-08-24T11:30:00+00:00,1382478,2025-09-14T11:30:00+00:00,1,YES,4.897,4,0,-1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
6215,Dender,298006,Noah Mbamba,1382427,2025-07-26T14:00:00+00:00,1382436,2025-08-02T16:15:00+00:00,0,YES,4.09,1,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
6215,Dender,8924,Michael Verrips,1382427,2025-07-26T14:00:00+00:00,1382436,2025-08-02T16:15:00+00:00,0,YES,6.34,1,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
6215,Dender,37671,Joedrick Pupe,1382427,2025-07-26T14:00:00+00:00,1382436,2025-08-02T16:15:00+00:00,0,YES,5.66,1,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
6215,Dender,37839,Ragnar Oratmangoen,1382454,2025-08-17T11:30:00+00:00,1382465,2025-08-24T17:15:00+00:00,0,YES,,0,0,-1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
6215,Dender,315025,M. Berte,1382471,2025-08-30T18:45:00+00:00,1382491,2025-09-28T17:15:00+00:00,2,YES,,0,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
