team_id,team_name,fixture_id,kickoff_utc,previous_fixture_id,previous_kickoff_utc,current_xi_count,previous_xi_count,retained_starters,changed_in_count,changed_out_count,changed_in_player_ids_json,changed_out_player_ids_json,xi_stability_pct,quality_delta,quality_delta_status,temporal_authority,prematch_known,research_only
266,KV Mechelen,1382434,2025-08-01T18:45:00+00:00,1382428,2025-07-26T16:15:00+00:00,11,11,10,1,1,"[""403253""]","[""8946""]",90.909,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
569,Club Brugge KV,1382434,2025-08-01T18:45:00+00:00,1382432,2025-07-27T16:30:00+00:00,11,11,9,2,2,"[""180927"", ""1923""]","[""282"", ""354027""]",81.818,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
261,KVC Westerlo,1382435,2025-08-02T14:00:00+00:00,1382430,2025-07-27T11:30:00+00:00,11,11,10,1,1,"[""50774""]","[""2180""]",90.909,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
600,Zulte Waregem,1382435,2025-08-02T14:00:00+00:00,1382428,2025-07-26T16:15:00+00:00,11,11,11,0,0,[],[],100.0,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
6215,Dender,1382436,2025-08-02T16:15:00+00:00,1382427,2025-07-26T14:00:00+00:00,11,11,9,2,2,"[""327738"", ""408221""]","[""134694"", ""98855""]",81.818,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
733,Standard Liege,1382436,2025-08-02T16:15:00+00:00,1382429,2025-07-26T18:45:00+00:00,11,11,9,2,2,"[""194116"", ""30751""]","[""342945"", ""351886""]",81.818,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
5902,RAAL La Louvière,1382437,2025-08-02T18:45:00+00:00,1382429,2025-07-26T18:45:00+00:00,11,11,9,2,2,"[""128309"", ""385542""]","[""163369"", ""31149""]",81.818,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
631,Gent,1382437,2025-08-02T18:45:00+00:00,1382433,2025-07-27T17:15:00+00:00,11,11,9,2,2,"[""278018"", ""477549""]","[""381830"", ""8920""]",81.818,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
740,Antwerp,1382438,2025-08-03T11:30:00+00:00,1382426,2025-07-25T18:45:00+00:00,11,11,11,0,0,[],[],100.0,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
742,Genk,1382438,2025-08-03T11:30:00+00:00,1382432,2025-07-27T16:30:00+00:00,11,11,10,1,1,"[""7195""]","[""8632""]",90.909,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
554,Anderlecht,1382439,2025-08-03T14:00:00+00:00,1382430,2025-07-27T11:30:00+00:00,11,11,8,3,3,"[""127417"", ""1429"", ""175415""]","[""2852"", ""371910"", ""400844""]",72.727,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
741,Cercle Brugge,1382439,2025-08-03T14:00:00+00:00,1382427,2025-07-26T14:00:00+00:00,11,11,10,1,1,"[""327691""]","[""127416""]",90.909,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
1393,Union St. Gilloise,1382440,2025-08-03T16:30:00+00:00,1382426,2025-07-25T18:45:00+00:00,11,11,7,4,4,"[""20176"", ""270201"", ""338735"", ""4408""]","[""19850"", ""313353"", ""340574"", ""8641""]",63.636,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
260,OH Leuven,1382440,2025-08-03T16:30:00+00:00,1382431,2025-07-27T14:00:00+00:00,11,11,9,2,2,"[""23975"", ""361358""]","[""483115"", ""8787""]",81.818,,BLOCKED_UNTIL_STRICTLY_PRIOR_PLAYER_QUALITY_JOIN,RETROSPECTIVE_ONLY,NO,YES
