team_id,team_name,combo_type,position_group,member_ids,member_names,member_count,co_starts,co_points_mean,co_goal_diff_mean,member_baseline_points_mean,member_baseline_goal_diff_mean,points_delta_vs_member_baseline,goal_diff_delta_vs_member_baseline,eligible,association_direction,anti_synergy_candidate,sample_reason,causal_claim,temporal_authority,research_only,creates_signal,probability_mutation,eligibility_mutation,stake_changes
1393,Union St. Gilloise,PAIR,,127414|15917,A. Ait El Hadj|M. Rasmussen,2,4,3.0,1.5,2.708,1.592,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_4_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|181815,A. Ait El Hadj|V. Chambaere,2,3,2.333,2.0,2.375,1.792,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_3_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|19850,A. Ait El Hadj|C. Burgess,2,10,2.3,1.3,2.39,1.473,-0.09,-0.173,true,NEGATIVE,true,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|20176,A. Ait El Hadj|R. Sykes,2,5,3.0,2.6,2.708,2.042,0.292,0.558,true,POSITIVE,false,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|203456,A. Ait El Hadj|O. Niang,2,11,2.545,1.727,2.5,1.667,0.045,0.061,true,POSITIVE,false,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|270201,A. Ait El Hadj|R. Florucz,2,8,2.375,1.625,2.431,1.625,-0.056,0.0,true,MIXED,false,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|271875,A. Ait El Hadj|L. Patris,2,1,3.0,2.0,2.708,1.792,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_1_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|290546,A. Ait El Hadj|F. Leysen,2,10,2.3,1.4,2.358,1.492,-0.058,-0.092,true,NEGATIVE,true,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|313353,A. Ait El Hadj|P. David,2,5,2.6,1.2,2.542,1.458,0.058,-0.258,true,MIXED,false,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|338735,A. Ait El Hadj|A. Khalaili,2,10,2.5,1.7,2.481,1.655,0.019,0.045,true,POSITIVE,false,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|340574,A. Ait El Hadj|K. Van De Perre,2,4,1.75,1.0,2.083,1.292,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_4_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|361966,A. Ait El Hadj|K. Rodriguez,2,9,2.222,1.556,2.319,1.569,-0.097,-0.014,true,NEGATIVE,true,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|37276,A. Ait El Hadj|K. Scherpen,2,9,2.444,1.444,2.458,1.542,-0.014,-0.097,true,NEGATIVE,true,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,PAIR,,127414|4408,A. Ait El Hadj|A. Zorgane,2,10,2.5,1.7,2.481,1.655,0.019,0.045,true,POSITIVE,false,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
