fixture_id,kickoff_utc,team_id,team_name,side,pair_candidates,pair_eligible_prior,pair_prior_sample_mean,pair_points_delta_mean,pair_points_delta_min,pair_points_delta_max,trio_candidates,trio_eligible_prior,trio_prior_sample_mean,trio_points_delta_mean,trio_points_delta_min,trio_points_delta_max,line_candidates,line_eligible_prior,line_prior_sample_mean,line_points_delta_mean,line_points_delta_min,line_points_delta_max,anti_pair_prior_count,anti_trio_prior_count,anti_line_prior_count,team_points,team_goal_diff,outcome_known_after_match_only,strictly_prior_combo_history_only,temporal_authority,prematch_observation_time_known,validation_authority,research_only
1382426,2025-07-25T18:45:00+00:00,1393,Union St. Gilloise,AWAY,55,0,,,,,165,0,,,,,3,0,,,,,0,0,0,1,0.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382440,2025-08-03T16:30:00+00:00,1393,Union St. Gilloise,HOME,55,0,,,,,165,0,,,,,3,0,,,,,0,0,0,3,5.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382445,2025-08-09T18:45:00+00:00,1393,Union St. Gilloise,AWAY,55,0,,,,,165,0,,,,,3,0,,,,,0,0,0,3,1.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382453,2025-08-16T18:45:00+00:00,1393,Union St. Gilloise,HOME,55,0,,,,,165,0,,,,,3,0,,,,,0,0,0,3,3.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382464,2025-08-24T16:30:00+00:00,1393,Union St. Gilloise,AWAY,55,0,,,,,165,0,,,,,3,0,,,,,0,0,0,1,0.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382472,2025-08-31T16:30:00+00:00,1393,Union St. Gilloise,HOME,55,3,5,0.0,0.0,0.0,165,1,5,0.0,0.0,0.0,3,0,,,,,0,0,0,3,2.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382476,2025-09-13T16:15:00+00:00,1393,Union St. Gilloise,AWAY,55,14,5.071,0.067,-0.067,0.133,165,32,4.375,0.199,-0.089,0.489,3,0,,,,,2,1,0,3,1.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382486,2025-09-21T11:30:00+00:00,1393,Union St. Gilloise,AWAY,55,24,5.542,0.057,-0.133,0.333,165,51,4.745,0.099,-0.321,0.444,3,1,4,-0.321,-0.321,-0.321,5,8,1,3,1.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382497,2025-09-27T18:45:00+00:00,1393,Union St. Gilloise,HOME,55,16,5.562,0.069,-0.181,0.31,165,27,4.519,0.102,-0.16,0.413,3,0,,,,,3,7,0,3,2.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382500,2025-10-05T16:30:00+00:00,1393,Union St. Gilloise,AWAY,55,44,6.295,0.037,-0.131,0.292,165,117,5.248,0.065,-0.276,0.385,3,2,5,-0.112,-0.276,0.052,10,31,1,0,-1.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382508,2025-10-18T18:45:00+00:00,1393,Union St. Gilloise,HOME,55,28,7.179,-0.025,-0.174,0.181,165,56,6.018,-0.069,-0.356,0.201,3,1,6,-0.356,-0.356,-0.356,11,29,1,3,2.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382516,2025-10-26T18:15:00+00:00,1393,Union St. Gilloise,HOME,55,17,7.471,-0.003,-0.136,0.153,165,27,5.815,0.022,-0.274,0.575,3,0,,,,,7,12,0,3,2.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382527,2025-11-01T15:00:00+00:00,1393,Union St. Gilloise,AWAY,55,30,8.067,-0.018,-0.285,0.25,165,65,6.462,-0.025,-0.561,0.379,3,0,,,,,14,34,0,3,3.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382426,2025-07-25T18:45:00+00:00,740,Antwerp,HOME,55,0,,,,,165,0,,,,,3,0,,,,,0,0,0,1,0.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382438,2025-08-03T11:30:00+00:00,740,Antwerp,AWAY,55,0,,,,,165,0,,,,,3,0,,,,,0,0,0,1,0.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382449,2025-08-10T17:15:00+00:00,740,Antwerp,HOME,55,0,,,,,165,0,,,,,3,0,,,,,0,0,0,3,2.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382456,2025-08-17T16:30:00+00:00,740,Antwerp,AWAY,55,0,,,,,165,0,,,,,3,0,,,,,0,0,0,1,0.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382462,2025-08-24T11:30:00+00:00,740,Antwerp,HOME,55,0,,,,,165,0,,,,,3,0,,,,,0,0,0,3,1.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382468,2025-08-30T16:15:00+00:00,740,Antwerp,AWAY,55,10,5,0.0,0.0,0.0,165,10,5,0.0,0.0,0.0,3,0,,,,,0,0,0,0,-2.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382478,2025-09-14T11:30:00+00:00,740,Antwerp,HOME,55,15,5.4,0.08,0.0,0.15,165,20,5.2,0.14,0.0,0.2,3,0,,,,,0,0,0,0,-1.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
1382483,2025-09-20T18:45:00+00:00,740,Antwerp,AWAY,55,15,6.4,0.057,0.0,0.107,165,20,6.2,0.1,0.0,0.143,3,0,,,,,0,0,0,1,0.0,YES,YES,RETROSPECTIVE_CHRONOLOGY_ONLY,NO,ASSOCIATION_DATASET_ONLY,YES
