watch_id,api_fixture_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,opening_favorite,closing_favorite,open_favorite_p,close_open_favorite_p,movement_pp,bet365_close_home,bet365_close_draw,bet365_close_away,bet365_close_favorite_odds,user_bookmaker,user_close_favorite_odds,m1_close_qualified,crossing_recorded,first_crossed_at_utc,first_cross_gap_minutes,user_odds_at_first_cross,status,note
M1PL|1557397,1557397,2026-09-12T14:28:06Z,2026-09-12T14:00:00Z,2026-09-12T13:52:55Z,7.1,Aston Villa,Nottingham Forest,H,H,0.42285270,0.43220339,0.00935069,2.2,3.4,3.3,2.2,Marathonbet,2.27,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557398,1557398,2026-09-12T14:28:06Z,2026-09-12T14:00:00Z,2026-09-12T13:52:55Z,7.1,Bournemouth,Brentford,H,H,0.38409311,0.39130435,0.00721124,2.45,3.6,2.8,2.45,Marathonbet,2.5,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557399,1557399,2026-09-12T14:28:06Z,2026-09-12T14:00:00Z,2026-09-12T13:52:55Z,7.1,Chelsea,Hull City,H,H,0.77005924,0.77844311,0.00838387,1.2,6.5,12.0,1.2,Marathonbet,1.24,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557401,1557401,2026-09-12T14:28:06Z,2026-09-12T14:00:00Z,2026-09-12T13:52:55Z,7.1,Crystal Palace,Ipswich,H,H,0.50989162,0.50666667,-0.00322495,1.85,3.8,3.8,1.85,Marathonbet,1.9,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557403,1557403,2026-09-12T14:28:06Z,2026-09-12T14:00:00Z,2026-09-12T13:52:55Z,7.1,Liverpool,Fulham,H,H,0.66172578,0.62951807,-0.03220771,1.5,4.75,5.5,1.5,Marathonbet,1.56,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557406,1557406,2026-09-12T16:53:30Z,2026-09-12T16:30:00Z,2026-09-12T16:27:43Z,2.3,Tottenham,Everton,H,H,0.47368421,0.47670251,0.00301830,2.0,3.8,3.5,2.0,Marathonbet,2.01,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557405,1557405,2026-09-12T20:29:31Z,2026-09-12T19:00:00Z,2026-09-12T18:53:01Z,7.0,Sunderland,Arsenal,A,A,0.64172127,0.59707746,-0.04464381,6.0,3.8,1.57,1.57,Marathonbet,1.6,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557400,1557400,2026-09-13T13:26:46Z,2026-09-13T13:00:00Z,2026-09-13T12:55:29Z,4.5,Coventry,Brighton,A,A,0.50322581,0.51629985,0.01307404,3.9,4.0,1.85,1.85,Marathonbet,1.92,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557404,1557404,2026-09-13T15:53:15Z,2026-09-13T15:30:00Z,2026-09-13T15:27:29Z,2.5,Manchester United,Manchester City,A,A,0.45479654,0.44113462,-0.01366192,3.1,3.75,2.15,2.15,Marathonbet,2.2,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557402,1557402,2026-09-14T19:29:33Z,2026-09-14T19:00:00Z,2026-09-14T18:58:27Z,1.6,Leeds,Newcastle,H,H,0.39898038,0.42767048,0.02869010,2.2,3.5,3.1,2.2,Marathonbet,2.32,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557408,1557408,2026-09-18T19:26:08Z,2026-09-18T19:00:00Z,2026-09-18T18:30:35Z,29.4,Brentford,Chelsea,A,A,0.37371663,0.37777778,0.00406115,2.55,3.75,2.5,2.5,Marathonbet,2.62,NO,YES,2026-09-15T19:27:33Z,4292.4,2.27,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557416,1557416,2026-09-19T12:54:49Z,2026-09-19T11:30:00Z,2026-09-19T11:26:28Z,3.5,Tottenham,Aston Villa,H,H,0.42477876,0.49497620,0.07019744,1.91,3.6,3.9,1.91,Marathonbet,1.98,YES,YES,2026-09-16T11:54:49Z,4295.2,2.02,CLOSE_QUALIFIED_WATCH,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557409,1557409,2026-09-19T14:26:42Z,2026-09-19T14:00:00Z,2026-09-19T13:53:15Z,6.8,Brighton,Arsenal,A,A,0.52902547,0.55747818,0.02845271,4.75,3.9,1.7,1.7,Marathonbet,1.73,NO,YES,2026-09-16T14:29:51Z,4290.1,1.75,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557410,1557410,2026-09-19T14:26:42Z,2026-09-19T14:00:00Z,2026-09-19T13:53:15Z,6.8,Everton,Ipswich,H,H,0.55762672,0.52395210,-0.03367462,1.8,3.75,4.2,1.8,Marathonbet,1.8,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
M1PL|1557414,1557414,2026-09-19T14:26:42Z,2026-09-19T14:00:00Z,2026-09-19T13:53:15Z,6.8,Newcastle,Hull City,H,H,0.66865187,0.58888170,-0.07977017,1.62,4.33,5.0,1.62,Marathonbet,1.61,NO,NO,,,,CLOSED_NOT_QUALIFIED,"Observed pre-kickoff close; Stage61 research-only, no canonical R4"
