watch_id,api_fixture_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,ou_bet_id,ou_bet_name,open_p_over25,close_p_over25,movement_pp,bet365_close_over25,bet365_close_under25,user_bookmaker,user_close_over25,user_close_under25,o1_close_qualified,crossing_recorded,first_crossed_at_utc,first_cross_gap_minutes,user_over25_at_first_cross,status,note
ST62-O1-1575164,1575164,2026-09-11T19:21:10Z,2026-09-11T18:30:00Z,2026-09-11T18:25:54Z,4.1,Union Berlin,FC Schalke 04,5,override,0.56847545,0.56847545,0.00000000,1.67,2.2,Marathonbet,1.59,2.24,NO,NO,,,,CLOSED_NOT_QUALIFIED,Observed close only; historical Stage62 O1 classification; not a canonical bet
ST62-O1-1575158,1575158,2026-09-12T13:46:52Z,2026-09-12T13:30:00Z,2026-09-12T13:21:03Z,8.9,Borussia Dortmund,SC Paderborn 07,5,override,0.70175439,0.71881607,0.01706168,1.33,3.4,Marathonbet,1.32,3.04,NO,NO,,,,CLOSED_NOT_QUALIFIED,Observed close only; historical Stage62 O1 classification; not a canonical bet
ST62-O1-1575160,1575160,2026-09-12T13:46:52Z,2026-09-12T13:30:00Z,2026-09-12T13:21:03Z,8.9,1899 Hoffenheim,VfB Stuttgart,5,override,0.70175439,0.72916667,0.02741228,1.3,3.5,Marathonbet,1.28,3.36,NO,NO,,,,CLOSED_NOT_QUALIFIED,Observed close only; historical Stage62 O1 classification; not a canonical bet
ST62-O1-1575161,1575161,2026-09-12T13:46:52Z,2026-09-12T13:30:00Z,2026-09-12T13:21:03Z,8.9,SC Freiburg,Borussia Mönchengladbach,5,override,0.62034739,0.62034739,0.00000000,1.53,2.5,Marathonbet,1.47,2.46,NO,NO,,,,CLOSED_NOT_QUALIFIED,Observed close only; historical Stage62 O1 classification; not a canonical bet
ST62-O1-1575162,1575162,2026-09-12T13:46:52Z,2026-09-12T13:30:00Z,2026-09-12T13:21:03Z,8.9,FC Augsburg,Bayer Leverkusen,5,override,0.68181818,0.68181818,0.00000000,1.4,3.0,Marathonbet,1.38,2.76,NO,NO,,,,CLOSED_NOT_QUALIFIED,Observed close only; historical Stage62 O1 classification; not a canonical bet
ST62-O1-1575163,1575163,2026-09-12T13:46:52Z,2026-09-12T13:30:00Z,2026-09-12T13:21:03Z,8.9,FSV Mainz 05,Eintracht Frankfurt,5,override,0.63592233,0.65632458,0.02040225,1.44,2.75,Marathonbet,1.4,2.68,NO,NO,,,,CLOSED_NOT_QUALIFIED,Observed close only; historical Stage62 O1 classification; not a canonical bet
ST62-O1-1575165,1575165,2026-09-12T16:46:49Z,2026-09-12T16:30:00Z,2026-09-12T16:22:13Z,7.8,1. FC Köln,Werder Bremen,5,override,0.62034739,0.62034739,0.00000000,1.53,2.5,Marathonbet,1.49,2.4,NO,NO,,,,CLOSED_NOT_QUALIFIED,Observed close only; historical Stage62 O1 classification; not a canonical bet
ST62-O1-1575159,1575159,2026-09-13T13:47:08Z,2026-09-13T13:30:00Z,2026-09-13T13:21:20Z,8.7,RB Leipzig,Hamburger SV,5,override,0.68181818,0.74552684,0.06370866,1.28,3.75,Marathonbet,1.26,3.4,YES,YES,2026-09-13T12:26:19Z,63.7,1.26,CLOSE_QUALIFIED_WATCH,Observed close only; historical Stage62 O1 classification; not a canonical bet
ST62-O1-1575166,1575166,2026-09-13T15:47:16Z,2026-09-13T15:30:00Z,2026-09-13T15:21:47Z,8.2,SV Elversberg,Bayern München,5,override,0.81037277,0.84269663,0.03232386,1.12,6.0,Marathonbet,1.1,5.25,YES,YES,2026-09-13T12:26:19Z,183.7,1.09,CLOSE_QUALIFIED_WATCH,Observed close only; historical Stage62 O1 classification; not a canonical bet
ST62-O1-1575167,1575167,2026-09-18T18:48:54Z,2026-09-18T18:30:00Z,2026-09-18T18:24:34Z,5.4,Bayern München,Union Berlin,5,override,0.81037277,0.88105727,0.07068450,1.08,8.0,Marathonbet,1.05,6.65,YES,YES,2026-09-17T09:24:14Z,1985.8,1.07,CLOSE_QUALIFIED_WATCH,Observed close only; historical Stage62 O1 classification; not a canonical bet
ST62-O1-1575170,1575170,2026-09-19T13:47:05Z,2026-09-19T13:30:00Z,2026-09-19T12:50:57Z,39.0,Eintracht Frankfurt,SC Freiburg,5,override,0.62034739,0.65632458,0.03597719,1.44,2.75,Marathonbet,1.48,2.43,YES,YES,2026-09-16T13:52:13Z,4297.8,1.42,CLOSE_QUALIFIED_WATCH,Observed close only; historical Stage62 O1 classification; not a canonical bet
