api_fixture_id,captured_at_utc,kickoff_utc,home_team,away_team,ou_bet_id,ou_bet_name,open_b365_over25,open_b365_under25,open_p_over25,open_p_under25,source,status
1575158,2026-09-11T11:14:15Z,2026-09-12T13:30:00Z,Borussia Dortmund,SC Paderborn 07,5,Goals Over/Under,1.36,3.2,0.70175439,0.29824561,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575159,2026-09-11T11:14:15Z,2026-09-13T13:30:00Z,RB Leipzig,Hamburger SV,5,Goals Over/Under,1.4,3.0,0.68181818,0.31818182,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575160,2026-09-11T11:14:15Z,2026-09-12T13:30:00Z,1899 Hoffenheim,VfB Stuttgart,5,Goals Over/Under,1.36,3.2,0.70175439,0.29824561,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575161,2026-09-11T11:14:15Z,2026-09-12T13:30:00Z,SC Freiburg,Borussia Mönchengladbach,5,Goals Over/Under,1.53,2.5,0.62034739,0.37965261,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575162,2026-09-11T11:14:15Z,2026-09-12T13:30:00Z,FC Augsburg,Bayer Leverkusen,5,Goals Over/Under,1.4,3.0,0.68181818,0.31818182,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575163,2026-09-11T11:14:15Z,2026-09-12T13:30:00Z,FSV Mainz 05,Eintracht Frankfurt,5,Goals Over/Under,1.5,2.62,0.63592233,0.36407767,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575164,2026-09-11T11:14:15Z,2026-09-11T18:30:00Z,Union Berlin,FC Schalke 04,5,Goals Over/Under,1.67,2.2,0.56847545,0.43152455,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575165,2026-09-11T11:14:15Z,2026-09-12T16:30:00Z,1. FC Köln,Werder Bremen,5,Goals Over/Under,1.53,2.5,0.62034739,0.37965261,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575166,2026-09-11T11:14:15Z,2026-09-13T15:30:00Z,SV Elversberg,Bayern München,5,Goals Over/Under,1.17,5.0,0.81037277,0.18962723,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575167,2026-09-11T11:14:15Z,2026-09-18T18:30:00Z,Bayern München,Union Berlin,5,Goals Over/Under,1.17,5.0,0.81037277,0.18962723,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575168,2026-09-11T11:14:15Z,2026-09-19T16:30:00Z,VfB Stuttgart,Borussia Dortmund,5,Goals Over/Under,1.36,3.2,0.70175439,0.29824561,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575169,2026-09-11T11:14:15Z,2026-09-20T13:30:00Z,Bayer Leverkusen,RB Leipzig,5,Goals Over/Under,1.36,3.2,0.70175439,0.29824561,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575170,2026-09-11T11:14:15Z,2026-09-19T13:30:00Z,Eintracht Frankfurt,SC Freiburg,5,Goals Over/Under,1.53,2.5,0.62034739,0.37965261,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575171,2026-09-11T11:14:15Z,2026-09-19T13:30:00Z,Hamburger SV,1. FC Köln,5,Goals Over/Under,1.57,2.38,0.60253165,0.39746835,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575172,2026-09-11T11:14:15Z,2026-09-19T13:30:00Z,Werder Bremen,FC Augsburg,5,Goals Over/Under,1.53,2.5,0.62034739,0.37965261,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575173,2026-09-11T11:14:15Z,2026-09-20T15:30:00Z,FC Schalke 04,SV Elversberg,5,Goals Over/Under,1.62,2.3,0.58673469,0.41326531,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575174,2026-09-11T11:14:15Z,2026-09-19T13:30:00Z,Borussia Mönchengladbach,FSV Mainz 05,5,Goals Over/Under,1.57,2.38,0.60253165,0.39746835,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
1575175,2026-09-11T11:14:15Z,2026-09-20T17:30:00Z,SC Paderborn 07,1899 Hoffenheim,5,Goals Over/Under,1.44,2.75,0.65632458,0.34367542,API-Football Bet365 first complete O/U 2.5 snapshot captured by Stage62,FROZEN
