api_fixture_id,captured_at_utc,kickoff_utc,minutes_to_kickoff,fixture_status,home_team,away_team,ou_bet_id,ou_bet_name,b365_over25,b365_under25,p_over25,p_under25,open_p_over25,over_move_pp,o1_current_qualified,user_bookmaker,user_over25,user_under25,api_odds_update_utc
1575158,2026-09-11T11:14:15Z,2026-09-12T13:30:00Z,1575.8,NS,Borussia Dortmund,SC Paderborn 07,5,Goals Over/Under,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.08,2026-09-11T09:52:15+00:00
1575159,2026-09-11T11:14:15Z,2026-09-13T13:30:00Z,3015.8,NS,RB Leipzig,Hamburger SV,5,Goals Over/Under,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T09:52:15+00:00
1575160,2026-09-11T11:14:15Z,2026-09-12T13:30:00Z,1575.8,NS,1899 Hoffenheim,VfB Stuttgart,5,Goals Over/Under,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.14,2026-09-11T09:52:15+00:00
1575161,2026-09-11T11:14:15Z,2026-09-12T13:30:00Z,1575.8,NS,SC Freiburg,Borussia Mönchengladbach,5,Goals Over/Under,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.52,2.33,2026-09-11T09:52:15+00:00
1575162,2026-09-11T11:14:15Z,2026-09-12T13:30:00Z,1575.8,NS,FC Augsburg,Bayer Leverkusen,5,Goals Over/Under,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T09:52:15+00:00
1575163,2026-09-11T11:14:15Z,2026-09-12T13:30:00Z,1575.8,NS,FSV Mainz 05,Eintracht Frankfurt,5,Goals Over/Under,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T09:52:15+00:00
1575164,2026-09-11T11:14:15Z,2026-09-11T18:30:00Z,435.8,NS,Union Berlin,FC Schalke 04,5,Goals Over/Under,1.67,2.2,0.56847545,0.43152455,0.56847545,0.00000000,NO,Marathonbet,1.6,2.22,2026-09-11T09:52:15+00:00
1575165,2026-09-11T11:14:15Z,2026-09-12T16:30:00Z,1755.8,NS,1. FC Köln,Werder Bremen,5,Goals Over/Under,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T08:15:48+00:00
1575166,2026-09-11T11:14:15Z,2026-09-13T15:30:00Z,3135.8,NS,SV Elversberg,Bayern München,5,Goals Over/Under,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.13,4.6,2026-09-11T09:52:15+00:00
1575167,2026-09-11T11:14:15Z,2026-09-18T18:30:00Z,10515.8,NS,Bayern München,Union Berlin,5,Goals Over/Under,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.14,4.45,2026-09-11T05:43:14+00:00
1575168,2026-09-11T11:14:15Z,2026-09-19T16:30:00Z,11835.8,NS,VfB Stuttgart,Borussia Dortmund,5,Goals Over/Under,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.34,2.93,2026-09-11T09:52:15+00:00
1575169,2026-09-11T11:14:15Z,2026-09-20T13:30:00Z,13095.8,NS,Bayer Leverkusen,RB Leipzig,5,Goals Over/Under,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.34,2.93,2026-09-11T09:52:15+00:00
1575170,2026-09-11T11:14:15Z,2026-09-19T13:30:00Z,11655.8,NS,Eintracht Frankfurt,SC Freiburg,5,Goals Over/Under,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.48,2.43,2026-09-11T09:52:15+00:00
1575171,2026-09-11T11:14:15Z,2026-09-19T13:30:00Z,11655.8,NS,Hamburger SV,1. FC Köln,5,Goals Over/Under,1.57,2.38,0.60253165,0.39746835,0.60253165,-0.00000000,NO,Marathonbet,1.63,2.31,2026-09-11T09:52:15+00:00
1575172,2026-09-11T11:14:15Z,2026-09-19T13:30:00Z,11655.8,NS,Werder Bremen,FC Augsburg,5,Goals Over/Under,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.48,2.43,2026-09-11T09:52:15+00:00
1575173,2026-09-11T11:14:15Z,2026-09-20T15:30:00Z,13215.8,NS,FC Schalke 04,SV Elversberg,5,Goals Over/Under,1.62,2.3,0.58673469,0.41326531,0.58673469,0.00000000,NO,Marathonbet,1.65,2.27,2026-09-11T09:52:15+00:00
1575174,2026-09-11T11:14:15Z,2026-09-19T13:30:00Z,11655.8,NS,Borussia Mönchengladbach,FSV Mainz 05,5,Goals Over/Under,1.57,2.38,0.60253165,0.39746835,0.60253165,-0.00000000,NO,Marathonbet,1.57,2.44,2026-09-11T09:52:15+00:00
1575175,2026-09-11T11:14:15Z,2026-09-20T17:30:00Z,13335.8,NS,SC Paderborn 07,1899 Hoffenheim,5,Goals Over/Under,1.44,2.75,0.65632458,0.34367542,0.65632458,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T09:52:15+00:00
1575158,2026-09-11T11:15:21Z,2026-09-12T13:30:00Z,1574.7,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.08,2026-09-11T09:52:15+00:00
1575159,2026-09-11T11:15:21Z,2026-09-13T13:30:00Z,3014.7,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T09:52:15+00:00
1575160,2026-09-11T11:15:21Z,2026-09-12T13:30:00Z,1574.7,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.14,2026-09-11T09:52:15+00:00
1575161,2026-09-11T11:15:21Z,2026-09-12T13:30:00Z,1574.7,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.52,2.33,2026-09-11T09:52:15+00:00
1575162,2026-09-11T11:15:21Z,2026-09-12T13:30:00Z,1574.7,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T09:52:15+00:00
1575163,2026-09-11T11:15:21Z,2026-09-12T13:30:00Z,1574.7,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T09:52:15+00:00
1575164,2026-09-11T11:15:21Z,2026-09-11T18:30:00Z,434.6,NS,Union Berlin,FC Schalke 04,5,override,1.67,2.2,0.56847545,0.43152455,0.56847545,0.00000000,NO,Marathonbet,1.6,2.22,2026-09-11T09:52:15+00:00
1575165,2026-09-11T11:15:21Z,2026-09-12T16:30:00Z,1754.7,NS,1. FC Köln,Werder Bremen,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T08:15:48+00:00
1575166,2026-09-11T11:15:21Z,2026-09-13T15:30:00Z,3134.7,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.13,4.6,2026-09-11T09:52:15+00:00
1575158,2026-09-11T11:48:15Z,2026-09-12T13:30:00Z,1541.8,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.08,2026-09-11T09:52:15+00:00
