api_fixture_id,league,league_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,open_p_yes,close_p_yes,movement_yes_pp,yes_close_watch,no_close_watch,bet365_close_yes,bet365_close_no,user_bookmaker,user_close_yes,user_close_no,yes_crossing_recorded,no_crossing_recorded,status,note
1550126,Serie A,135,2026-09-11T20:16:06Z,2026-09-11T18:45:00Z,2026-09-11T18:18:44Z,26.3,Venezia,Fiorentina,0.58900524,0.62500000,0.03599476,YES,NO,1.5,2.5,Marathonbet,1.49,2.44,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1552763,Ligue 1,61,2026-09-11T20:16:06Z,2026-09-11T18:45:00Z,2026-09-11T18:18:44Z,26.3,Rennes,Marseille,0.62500000,0.64532020,0.02032020,NO,NO,1.44,2.62,Marathonbet,1.41,2.69,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570381,La Liga,140,2026-09-11T20:16:06Z,2026-09-11T19:00:00Z,2026-09-11T18:18:44Z,41.3,Sevilla,Valencia,0.46666667,0.46666667,-0.00000000,NO,NO,2.0,1.75,Marathonbet,1.95,1.76,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1575164,Bundesliga,78,2026-09-11T20:16:06Z,2026-09-11T18:30:00Z,2026-09-11T18:18:44Z,11.3,Union Berlin,FC Schalke 04,0.60869565,0.60869565,0.00000000,NO,NO,1.53,2.38,Marathonbet,1.49,2.44,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1550119,Serie A,135,2026-09-12T14:14:21Z,2026-09-12T13:00:00Z,2026-09-12T10:14:39Z,165.3,Genoa,Frosinone,0.54666667,0.54666667,-0.00000000,NO,NO,1.7,2.05,Marathonbet,1.62,2.16,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557397,Premier League,39,2026-09-12T14:14:21Z,2026-09-12T14:00:00Z,2026-09-12T10:14:39Z,225.3,Aston Villa,Nottingham Forest,0.53333333,0.53333333,0.00000000,NO,NO,1.75,2.0,Marathonbet,1.73,1.99,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557398,Premier League,39,2026-09-12T14:14:21Z,2026-09-12T14:00:00Z,2026-09-12T10:14:39Z,225.3,Bournemouth,Brentford,0.62500000,0.62500000,0.00000000,NO,NO,1.5,2.5,Marathonbet,1.49,2.44,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557399,Premier League,39,2026-09-12T14:14:21Z,2026-09-12T14:00:00Z,2026-09-12T10:14:39Z,225.3,Chelsea,Hull City,0.50000000,0.50000000,0.00000000,NO,NO,1.91,1.91,Marathonbet,1.85,1.85,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557401,Premier League,39,2026-09-12T14:14:21Z,2026-09-12T14:00:00Z,2026-09-12T10:14:39Z,225.3,Crystal Palace,Ipswich,0.54666667,0.54666667,-0.00000000,NO,NO,1.7,2.05,Marathonbet,1.7,2.03,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557403,Premier League,39,2026-09-12T14:14:21Z,2026-09-12T14:00:00Z,2026-09-12T10:14:39Z,225.3,Liverpool,Fulham,0.57591623,0.58900524,0.01308901,NO,NO,1.57,2.25,Marathonbet,1.53,2.33,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570378,La Liga,140,2026-09-12T14:14:21Z,2026-09-12T12:00:00Z,2026-09-12T10:14:39Z,105.3,Racing Santander,Alaves,0.58900524,0.58900524,-0.00000000,NO,NO,1.57,2.25,Marathonbet,1.55,2.29,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
