watch_id,api_fixture_id,league,league_id,direction,display_selection,crossed_at_utc,kickoff_utc,minutes_to_kickoff,home_team,away_team,open_p_yes,cross_p_yes,movement_yes_pp,bet365_cross_yes,bet365_cross_no,user_bookmaker,user_cross_yes,user_cross_no,user_cross_selected_odds,status,note
BTTS_YES|1552757,1552757,Ligue 1,61,YES,ОЗ — Да,2026-09-11T12:43:40Z,2026-09-13T18:45:00Z,3241.3,Stade Brestois 29,Paris Saint Germain,0.50000000,0.53333333,0.03333333,1.75,2.0,Marathonbet,1.75,1.96,1.75,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1550126,1550126,Serie A,135,YES,ОЗ — Да,2026-09-11T18:18:44Z,2026-09-11T18:45:00Z,26.3,Venezia,Fiorentina,0.58900524,0.62500000,0.03599476,1.5,2.5,Marathonbet,1.49,2.44,1.49,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1550125,1550125,Serie A,135,YES,ОЗ — Да,2026-09-11T22:15:22Z,2026-09-14T16:30:00Z,3974.6,Torino,AS Roma,0.50000000,0.53333333,0.03333333,1.75,2.0,Marathonbet,1.81,1.89,1.81,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1552762,1552762,Ligue 1,61,YES,ОЗ — Да,2026-09-12T14:14:21Z,2026-09-12T18:45:00Z,270.6,Paris FC,Lyon,0.58900524,0.62500000,0.03599476,1.5,2.5,Marathonbet,1.47,2.49,1.47,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1557406,1557406,Premier League,39,YES,ОЗ — Да,2026-09-12T14:14:21Z,2026-09-12T16:30:00Z,135.7,Tottenham,Everton,0.53333333,0.57591623,0.04258290,1.62,2.2,Marathonbet,1.58,2.23,1.58,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1570388,1570388,La Liga,140,YES,ОЗ — Да,2026-09-13T00:23:21Z,2026-09-15T19:30:00Z,4026.7,Elche,Real Madrid,0.53333333,0.58900524,0.05567191,1.57,2.25,Marathonbet,1.61,2.17,1.61,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1550123,1550123,Serie A,135,YES,ОЗ — Да,2026-09-13T12:19:23Z,2026-09-13T16:00:00Z,220.6,Napoli,Bologna,0.48000000,0.52000000,0.04000000,1.8,1.95,Marathonbet,1.76,1.95,1.76,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1552760,1552760,Ligue 1,61,YES,ОЗ — Да,2026-09-13T12:19:23Z,2026-09-13T13:00:00Z,40.6,Lille,Estac Troyes,0.48000000,0.52000000,0.04000000,1.8,1.95,Marathonbet,1.81,1.89,1.81,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1575159,1575159,Bundesliga,78,YES,ОЗ — Да,2026-09-13T12:19:23Z,2026-09-13T13:30:00Z,70.6,RB Leipzig,Hamburger SV,0.57591623,0.62500000,0.04908377,1.5,2.5,Marathonbet,1.46,2.52,1.46,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_NO|1570384,1570384,La Liga,140,NO,ОЗ — Нет,2026-09-14T10:16:12Z,2026-09-16T17:00:00Z,3283.8,Atletico Madrid,Osasuna,0.52000000,0.48000000,-0.04000000,1.95,1.8,Marathonbet,1.89,1.81,1.81,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1557408,1557408,Premier League,39,YES,ОЗ — Да,2026-09-15T20:16:28Z,2026-09-18T19:00:00Z,4243.5,Brentford,Chelsea,0.60869565,0.64532020,0.03662455,1.44,2.62,Marathonbet,1.41,2.69,1.41,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1550135,1550135,Serie A,135,YES,ОЗ — Да,2026-09-16T14:17:14Z,2026-09-19T13:00:00Z,4242.8,Udinese,Cagliari,0.46666667,0.50000000,0.03333333,1.91,1.91,Marathonbet,1.85,1.85,1.85,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1557410,1557410,Premier League,39,YES,ОЗ — Да,2026-09-16T14:17:14Z,2026-09-19T14:00:00Z,4302.8,Everton,Ipswich,0.52000000,0.55702918,0.03702918,1.67,2.1,Marathonbet,1.67,2.08,1.67,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_NO|1570393,1570393,La Liga,140,NO,ОЗ — Нет,2026-09-16T14:17:14Z,2026-09-19T14:15:00Z,4317.8,Athletic Club,Alaves,0.52000000,0.48000000,-0.04000000,1.95,1.8,Marathonbet,1.93,1.78,1.78,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_NO|1575167,1575167,Bundesliga,78,NO,ОЗ — Нет,2026-09-16T14:17:14Z,2026-09-18T18:30:00Z,3132.8,Bayern München,Union Berlin,0.53333333,0.50000000,-0.03333333,1.91,1.91,Marathonbet,1.81,1.89,1.89,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
