family,country,league,group,api_league_id,api_league_name,historical_status,train_bets,train_roi_pct,test_bets,test_roi_pct,positive_seasons,total_seasons,prospective_settled,prospective_roi_pct,prospective_first_half_roi_pct,prospective_second_half_roi_pct,marathonbet_coverage_pct,status,leader,blocking_reason
R1,England,Premier League,CORE_BIG5,39,Premier League,HISTORICAL_TRANSFER_REJECTED,498,0.33,328,-5.58,4,10,0,,,,,MONITORING_REJECTED_CURRENT_RULE,NO,TEST ROI -5.58 not >0; positive seasons 4/10<60%
R1,Spain,La Liga,CORE_BIG5,140,La Liga,HISTORICAL_TRANSFER_REJECTED,342,-5.56,210,0.11,4,10,0,,,,,MONITORING_REJECTED_CURRENT_RULE,NO,TRAIN ROI -5.56 not >0; positive seasons 4/10<60%
R1,Italy,Serie A,CORE_BIG5,135,Serie A,ACTIVE_CANONICAL,527,6.85,321,6.13,8,10,0,,,,100.0,ACTIVE,YES,forward deterioration not evaluable before 60 settled
R1,Germany,Bundesliga,CORE_BIG5,78,Bundesliga,HISTORICAL_TRANSFER_REJECTED,341,-10.87,203,-5.90,3,10,0,,,,,MONITORING_REJECTED_CURRENT_RULE,NO,TRAIN ROI -10.87 not >0; TEST ROI -5.9 not >0; positive seasons 3/10<60%
R1,France,Ligue 1,CORE_BIG5,61,Ligue 1,HISTORICAL_TRANSFER_REJECTED,288,-3.53,259,-3.81,3,10,0,,,,,MONITORING_REJECTED_CURRENT_RULE,NO,TRAIN ROI -3.53 not >0; TEST ROI -3.81 not >0; positive seasons 3/10<60%
R1,Austria,Austrian Bundesliga,EXTENDED,218,Bundesliga,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
R1,Belgium,Belgian Pro League,EXTENDED,144,Jupiler Pro League,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
R1,Denmark,Danish Superliga,EXTENDED,119,Superliga,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
R1,Lithuania,A Lyga,EXTENDED,362,A Lyga,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
R1,Latvia,Virsliga,EXTENDED,365,Virsliga,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
R1,Netherlands,Eredivisie,EXTENDED,88,Eredivisie,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
R1,Norway,Eliteserien,EXTENDED,103,Eliteserien,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
R1,Poland,Ekstraklasa,EXTENDED,106,Ekstraklasa,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
R1,Portugal,Primeira Liga,EXTENDED,94,Primeira Liga,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
R1,Turkey,Super Lig,EXTENDED,203,Süper Lig,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
R1,Scotland,Scottish Premiership,EXTENDED,179,Premiership,NO_COMPARABLE_HISTORY,,,,,,,0,,,,,DATA_REQUIRED,NO,comparable historical evidence missing
