research_id,family,country,league,api_league_id,api_fixture_id,kickoff_utc,home_team_id,home_team,away_team_id,away_team,selection,stake_u,trigger_captured_at_utc,trigger_b365_home,trigger_b365_draw,trigger_b365_away,home_played,away_played,home_last5_ppg,away_last5_ppg,eligibility_frozen_at_utc,user_bookmaker,user_odds,user_price_captured_at_utc,status,result,final_home_goals,final_away_goals,user_profit_u,settled_at_utc,notes
R1|218|1561926,R1,Austria,Austrian Bundesliga,218,1561926,2026-09-11T17:30:00+00:00,1028,Ried,571,Red Bull Salzburg,П2,1.000,2026-09-11T12:29:59Z,5.5,4.5,1.53,5,5,0.800,2.600,2026-09-11T12:29:59Z,Marathonbet,1.51,2026-09-11T12:29:59Z,SETTLED,L,1,1,-1.000,2026-09-11T20:08:08Z,research-only exact R1 analogue; never canonical automatically
R2|218|1561926,R2,Austria,Austrian Bundesliga,218,1561926,2026-09-11T17:30:00+00:00,1028,Ried,571,Red Bull Salzburg,П2,1.000,2026-09-11T12:29:59Z,5.5,4.5,1.53,5,5,0.800,2.600,2026-09-11T12:29:59Z,Marathonbet,1.51,2026-09-11T12:29:59Z,SETTLED,L,1,1,-1.000,2026-09-11T20:08:08Z,research-only exact R2 analogue frozen close to kickoff; never canonical automatically
R1|218|1561929,R1,Austria,Austrian Bundesliga,218,1561929,2026-09-12T17:30:00+00:00,1025,Wolfsberger AC,781,Rapid Vienna,П2,1.000,2026-09-11T12:29:59Z,4.75,3.9,1.7,5,5,1.000,2.400,2026-09-11T12:29:59Z,Marathonbet,1.66,2026-09-11T12:29:59Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|144|1558626,R1,Belgium,Belgian Pro League,144,1558626,2026-09-11T18:45:00+00:00,266,KV Mechelen,554,Anderlecht,П2,1.000,2026-09-11T12:29:59Z,4.0,3.7,1.75,5,5,0.400,1.400,2026-09-11T12:29:59Z,Marathonbet,1.78,2026-09-11T12:29:59Z,SETTLED,W,0,1,0.780,2026-09-11T20:52:32Z,research-only exact R1 analogue; never canonical automatically
R2|144|1558626,R2,Belgium,Belgian Pro League,144,1558626,2026-09-11T18:45:00+00:00,266,KV Mechelen,554,Anderlecht,П2,1.000,2026-09-11T12:29:59Z,4.0,3.7,1.75,5,5,0.400,1.400,2026-09-11T12:29:59Z,Marathonbet,1.78,2026-09-11T12:29:59Z,SETTLED,W,0,1,0.780,2026-09-11T20:52:32Z,research-only exact R2 analogue frozen close to kickoff; never canonical automatically
R1|119|1549021,R1,Denmark,Danish Superliga,119,1549021,2026-09-13T12:00:00+00:00,2073,Silkeborg,2070,Viborg,П2,1.000,2026-09-11T12:29:59Z,3.75,4.0,1.83,7,7,1.000,2.000,2026-09-11T12:29:59Z,Marathonbet,1.82,2026-09-11T12:29:59Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|362|1547629,R1,Lithuania,A Lyga,362,1547629,2026-09-13T11:30:00+00:00,3874,Panevėžys,3872,Kauno Žalgiris,П2,1.000,2026-09-11T12:29:59Z,4.75,3.9,1.55,28,27,1.800,2.200,2026-09-11T12:29:59Z,Marathonbet,1.52,2026-09-11T12:29:59Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|365|1515923,R1,Latvia,Virsliga,365,1515923,2026-09-11T14:00:00+00:00,18936,Ogre United,661,FK Liepaja,П2,1.000,2026-09-11T12:29:59Z,4.0,4.0,1.6,28,29,0.200,2.000,2026-09-11T12:29:59Z,Marathonbet,1.6,2026-09-11T12:29:59Z,SETTLED,L,2,2,-1.000,2026-09-11T20:08:08Z,research-only exact R1 analogue; never canonical automatically
R2|365|1515923,R2,Latvia,Virsliga,365,1515923,2026-09-11T14:00:00+00:00,18936,Ogre United,661,FK Liepaja,П2,1.000,2026-09-11T12:29:59Z,4.0,4.0,1.6,28,29,0.200,2.000,2026-09-11T12:29:59Z,Marathonbet,1.6,2026-09-11T12:29:59Z,SETTLED,L,2,2,-1.000,2026-09-11T20:08:08Z,research-only exact R2 analogue frozen close to kickoff; never canonical automatically
R1|365|1515922,R1,Latvia,Virsliga,365,1515922,2026-09-13T11:00:00+00:00,4149,BFC Daugavpils,4160,Rīgas FS,П2,1.000,2026-09-11T12:29:59Z,7.5,5.0,1.28,29,28,1.600,2.200,2026-09-11T12:29:59Z,Marathonbet,1.31,2026-09-11T12:29:59Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|88|1552165,R1,Netherlands,Eredivisie,88,1552165,2026-09-12T18:00:00+00:00,205,Fortuna Sittard,194,Ajax,П2,1.000,2026-09-11T12:29:59Z,5.75,5.25,1.44,5,4,2.000,1.750,2026-09-11T12:29:59Z,Marathonbet,1.4,2026-09-11T12:29:59Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
