country,league,group,api_league_id,api_league_name,season,resolved
England,Premier League,CORE_BIG5,39,Premier League,2026,YES
Spain,La Liga,CORE_BIG5,140,La Liga,2026,YES
Italy,Serie A,CORE_BIG5,135,Serie A,2026,YES
Germany,Bundesliga,CORE_BIG5,78,Bundesliga,2026,YES
France,Ligue 1,CORE_BIG5,61,Ligue 1,2026,YES
Austria,Austrian Bundesliga,EXTENDED,218,Bundesliga,2026,YES
Belgium,Belgian Pro League,EXTENDED,144,Jupiler Pro League,2026,YES
Denmark,Danish Superliga,EXTENDED,119,Superliga,2026,YES
Lithuania,A Lyga,EXTENDED,362,A Lyga,2026,YES
Latvia,Virsliga,EXTENDED,365,Virsliga,2026,YES
Netherlands,Eredivisie,EXTENDED,88,Eredivisie,2026,YES
Norway,Eliteserien,EXTENDED,103,Eliteserien,2026,YES
Poland,Ekstraklasa,EXTENDED,106,Ekstraklasa,2026,YES
Portugal,Primeira Liga,EXTENDED,94,Primeira Liga,2026,YES
Turkey,Super Lig,EXTENDED,203,Süper Lig,2026,YES
Scotland,Scottish Premiership,EXTENDED,179,Premiership,2026,YES
