api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,bet_id,bet_name,open_b365_1x,open_b365_x2,open_b365_12,open_p_1x,open_p_x2,open_p_12,status,source
1557398,Premier League,39,2026-09-11T13:40:08Z,2026-09-12T14:00:00Z,Bournemouth,Brentford,12,Double Chance,1.44,1.5,1.28,0.32414911,0.31118314,0.36466775,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1557403,Premier League,39,2026-09-11T13:40:08Z,2026-09-12T14:00:00Z,Liverpool,Fulham,12,Double Chance,1.12,2.75,1.17,0.42291565,0.17224201,0.40484233,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1557399,Premier League,39,2026-09-11T13:40:08Z,2026-09-12T14:00:00Z,Chelsea,Hull City,12,Double Chance,1.05,4.0,1.11,0.45280710,0.11886186,0.42833104,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1557401,Premier League,39,2026-09-11T13:40:08Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,12,Double Chance,1.25,1.91,1.25,0.37672584,0.24654832,0.37672584,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1557397,Premier League,39,2026-09-11T13:40:08Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,12,Double Chance,1.33,1.67,1.3,0.35467481,0.28246557,0.36285962,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1557406,Premier League,39,2026-09-11T13:40:08Z,2026-09-12T16:30:00Z,Tottenham,Everton,12,Double Chance,1.28,1.8,1.28,0.36885246,0.26229508,0.36885246,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1557405,Premier League,39,2026-09-11T13:40:08Z,2026-09-12T19:00:00Z,Sunderland,Arsenal,12,Double Chance,2.62,1.1,1.22,0.18085278,0.43075845,0.38838877,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1557400,Premier League,39,2026-09-11T13:40:08Z,2026-09-13T13:00:00Z,Coventry,Brighton,12,Double Chance,1.91,1.25,1.25,0.24654832,0.37672584,0.37672584,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1557404,Premier League,39,2026-09-11T13:40:08Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,12,Double Chance,1.7,1.33,1.25,0.27486154,0.35132678,0.37381169,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1557402,Premier League,39,2026-09-11T13:40:08Z,2026-09-14T19:00:00Z,Leeds,Newcastle,12,Double Chance,1.4,1.53,1.28,0.33236033,0.30412056,0.36351911,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1570381,La Liga,140,2026-09-11T13:40:08Z,2026-09-11T19:00:00Z,Sevilla,Valencia,12,Double Chance,1.22,1.8,1.3,0.38222803,0.25906566,0.35870631,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1570378,La Liga,140,2026-09-11T13:40:08Z,2026-09-12T12:00:00Z,Racing Santander,Alaves,12,Double Chance,1.4,1.53,1.28,0.33236033,0.30412056,0.36351911,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1570377,La Liga,140,2026-09-11T13:40:08Z,2026-09-12T14:15:00Z,Osasuna,Espanyol,12,Double Chance,1.28,1.67,1.36,0.36932483,0.28307532,0.34759984,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1570373,La Liga,140,2026-09-11T13:40:08Z,2026-09-12T16:30:00Z,Athletic Club,Elche,12,Double Chance,1.1,2.75,1.18,0.42877907,0.17151163,0.39970930,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1570379,La Liga,140,2026-09-11T13:40:08Z,2026-09-12T19:00:00Z,Real Madrid,Rayo Vallecano,12,Double Chance,1.02,6.0,1.07,0.47097143,0.08006514,0.44896342,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1570374,La Liga,140,2026-09-11T13:40:08Z,2026-09-13T12:00:00Z,Celta Vigo,Malaga,12,Double Chance,1.17,2.1,1.28,0.40466083,0.22545389,0.36988529,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1570376,La Liga,140,2026-09-11T13:40:08Z,2026-09-13T14:15:00Z,Levante,Barcelona,12,Double Chance,5.5,1.02,1.08,0.08707199,0.46950583,0.44342218,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1570375,La Liga,140,2026-09-11T13:40:08Z,2026-09-13T16:30:00Z,Getafe,Deportivo La Coruna,12,Double Chance,1.3,1.53,1.4,0.35993951,0.30583095,0.33422954,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1570380,La Liga,140,2026-09-11T13:40:08Z,2026-09-13T19:00:00Z,Real Sociedad,Atletico Madrid,12,Double Chance,1.53,1.4,1.28,0.30412056,0.33236033,0.36351911,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1570382,La Liga,140,2026-09-11T13:40:08Z,2026-09-14T19:00:00Z,Villarreal,Real Betis,12,Double Chance,1.28,1.83,1.22,0.36381710,0.25447316,0.38170974,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1550126,Serie A,135,2026-09-11T13:40:08Z,2026-09-11T18:45:00Z,Venezia,Fiorentina,12,Double Chance,1.5,1.4,1.33,0.31257344,0.33490012,0.35252644,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1550119,Serie A,135,2026-09-11T13:40:08Z,2026-09-12T13:00:00Z,Genoa,Frosinone,12,Double Chance,1.28,1.7,1.33,0.36827703,0.27729094,0.35443203,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1550121,Serie A,135,2026-09-11T13:40:08Z,2026-09-12T16:00:00Z,Lazio,AC Milan,12,Double Chance,1.62,1.3,1.36,0.29092345,0.36253538,0.34654117,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1550117,Serie A,135,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,Atalanta,Cagliari,12,Double Chance,1.12,2.3,1.22,0.41580226,0.20247762,0.38172011,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1550122,Serie A,135,2026-09-11T13:40:08Z,2026-09-13T13:00:00Z,Lecce,Monza,12,Double Chance,1.4,1.44,1.36,0.33315188,0.32389766,0.34295046,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1550123,Serie A,135,2026-09-11T13:40:08Z,2026-09-13T16:00:00Z,Napoli,Bologna,12,Double Chance,1.17,2.0,1.28,0.40015006,0.23408778,0.36576216,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1550124,Serie A,135,2026-09-11T13:40:08Z,2026-09-13T18:45:00Z,Sassuolo,Juventus,12,Double Chance,2.25,1.17,1.22,0.20976061,0.40338580,0.38685359,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1550125,Serie A,135,2026-09-11T13:40:08Z,2026-09-14T16:30:00Z,Torino,AS Roma,12,Double Chance,2.3,1.12,1.22,0.20247762,0.41580226,0.38172011,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1550118,Serie A,135,2026-09-11T13:40:08Z,2026-09-14T16:30:00Z,Como,Parma,12,Double Chance,1.03,4.0,1.14,0.46274685,0.11915731,0.41809584,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1550120,Serie A,135,2026-09-11T13:40:08Z,2026-09-14T18:45:00Z,Inter,Udinese,12,Double Chance,1.05,3.75,1.14,0.45432807,0.12721186,0.41846007,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1575164,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-11T18:30:00Z,Union Berlin,FC Schalke 04,12,Double Chance,1.4,1.53,1.28,0.33236033,0.30412056,0.36351911,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1575161,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T13:30:00Z,SC Freiburg,Borussia Mönchengladbach,12,Double Chance,1.18,2.15,1.2,0.39491811,0.21674575,0.38833614,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1575163,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T13:30:00Z,FSV Mainz 05,Eintracht Frankfurt,12,Double Chance,1.3,1.8,1.22,0.35870631,0.25906566,0.38222803,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1575158,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T13:30:00Z,Borussia Dortmund,SC Paderborn 07,12,Double Chance,1.06,3.75,1.11,0.44690308,0.12632460,0.42677231,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1575160,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T13:30:00Z,1899 Hoffenheim,VfB Stuttgart,12,Double Chance,1.44,1.57,1.22,0.32283836,0.29610652,0.38105512,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1575162,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T13:30:00Z,FC Augsburg,Bayer Leverkusen,12,Double Chance,1.95,1.22,1.22,0.23828125,0.38085938,0.38085938,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1575165,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T16:30:00Z,1. FC Köln,Werder Bremen,12,Double Chance,1.33,1.73,1.25,0.35300935,0.27138869,0.37560195,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1575159,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-13T13:30:00Z,RB Leipzig,Hamburger SV,12,Double Chance,1.08,3.0,1.17,0.43800539,0.15768194,0.40431267,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1575166,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-13T15:30:00Z,SV Elversberg,Bayern München,12,Double Chance,5.0,1.04,1.07,0.09541448,0.45872346,0.44586206,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
