api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,bet_id,bet_name,line,open_b365_f1_0,open_b365_f2_0,open_p_f1_0,open_p_f2_0,status,source
1557398,Premier League,39,2026-09-11T14:03:50Z,2026-09-12T14:00:00Z,Bournemouth,Brentford,4,Asian Handicap,0,1.82,2.02,0.52604167,0.47395833,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1557403,Premier League,39,2026-09-11T14:03:50Z,2026-09-12T14:00:00Z,Liverpool,Fulham,4,Asian Handicap,0,1.17,5.0,0.81037277,0.18962723,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1557401,Premier League,39,2026-09-11T14:03:50Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,4,Asian Handicap,0,1.38,3.0,0.68493151,0.31506849,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1557397,Premier League,39,2026-09-11T14:03:50Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,4,Asian Handicap,0,1.6,2.3,0.58974359,0.41025641,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1557406,Premier League,39,2026-09-11T14:03:50Z,2026-09-12T16:30:00Z,Tottenham,Everton,4,Asian Handicap,0,1.45,2.68,0.64891041,0.35108959,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1557405,Premier League,39,2026-09-11T14:03:50Z,2026-09-12T19:00:00Z,Sunderland,Arsenal,4,Asian Handicap,0,5.75,1.14,0.16545718,0.83454282,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1557400,Premier League,39,2026-09-11T14:03:50Z,2026-09-13T13:00:00Z,Coventry,Brighton,4,Asian Handicap,0,2.85,1.4,0.32941176,0.67058824,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1557404,Premier League,39,2026-09-11T14:03:50Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,4,Asian Handicap,0,2.35,1.58,0.40203562,0.59796438,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1557402,Premier League,39,2026-09-11T14:03:50Z,2026-09-14T19:00:00Z,Leeds,Newcastle,4,Asian Handicap,0,1.7,2.1,0.55263158,0.44736842,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1570381,La Liga,140,2026-09-11T14:03:50Z,2026-09-11T19:00:00Z,Sevilla,Valencia,4,Asian Handicap,0,1.38,3.0,0.68493151,0.31506849,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1570378,La Liga,140,2026-09-11T14:03:50Z,2026-09-12T12:00:00Z,Racing Santander,Alaves,4,Asian Handicap,0,1.82,2.02,0.52604167,0.47395833,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1570377,La Liga,140,2026-09-11T14:03:50Z,2026-09-12T14:15:00Z,Osasuna,Espanyol,4,Asian Handicap,0,1.55,2.38,0.60559796,0.39440204,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1570373,La Liga,140,2026-09-11T14:03:50Z,2026-09-12T16:30:00Z,Athletic Club,Elche,4,Asian Handicap,0,1.13,5.9,0.83926031,0.16073969,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1570374,La Liga,140,2026-09-11T14:03:50Z,2026-09-13T12:00:00Z,Celta Vigo,Malaga,4,Asian Handicap,0,1.26,3.7,0.74596774,0.25403226,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
