competition_role,country,slot,provider_competition_id,competition_name,season,provider_season_available,status,attempt_count,last_attempt_at_utc,provider_fixture_rows,error
DOMESTIC_LEAGUE,Austria,LEAGUE,218,Bundesliga,2017,true,CAPTURED,1,2026-09-19T07:52:06Z,180,
DOMESTIC_LEAGUE,Austria,LEAGUE,218,Bundesliga,2018,true,CAPTURED,1,2026-09-19T07:52:07Z,195,
DOMESTIC_LEAGUE,Austria,LEAGUE,218,Bundesliga,2019,true,CAPTURED,1,2026-09-19T07:52:09Z,195,
DOMESTIC_LEAGUE,Austria,LEAGUE,218,Bundesliga,2020,true,CAPTURED,1,2026-09-19T07:52:11Z,197,
DOMESTIC_LEAGUE,Austria,LEAGUE,218,Bundesliga,2021,true,CAPTURED,1,2026-09-19T07:52:12Z,195,
DOMESTIC_LEAGUE,Austria,LEAGUE,218,Bundesliga,2022,true,CAPTURED,1,2026-09-19T07:52:14Z,195,
DOMESTIC_LEAGUE,Austria,LEAGUE,218,Bundesliga,2023,true,CAPTURED,1,2026-09-19T07:52:15Z,195,
DOMESTIC_LEAGUE,Austria,LEAGUE,218,Bundesliga,2024,true,CAPTURED,1,2026-09-19T07:52:17Z,195,
DOMESTIC_LEAGUE,Austria,LEAGUE,218,Bundesliga,2025,true,CAPTURED,1,2026-09-19T07:52:19Z,195,
DOMESTIC_LEAGUE,Belgium,LEAGUE,144,Jupiler Pro League,2017,true,CAPTURED,1,2026-09-19T07:52:21Z,270,
DOMESTIC_LEAGUE,Belgium,LEAGUE,144,Jupiler Pro League,2018,true,CAPTURED,1,2026-09-19T07:52:23Z,270,
DOMESTIC_LEAGUE,Belgium,LEAGUE,144,Jupiler Pro League,2019,true,CAPTURED,1,2026-09-19T07:52:25Z,240,
DOMESTIC_LEAGUE,Belgium,LEAGUE,144,Jupiler Pro League,2020,true,CAPTURED,1,2026-09-19T07:52:26Z,332,
DOMESTIC_LEAGUE,Belgium,LEAGUE,144,Jupiler Pro League,2021,true,CAPTURED,1,2026-09-19T07:52:28Z,333,
DOMESTIC_LEAGUE,Belgium,LEAGUE,144,Jupiler Pro League,2022,true,CAPTURED,1,2026-09-19T07:52:30Z,330,
DOMESTIC_LEAGUE,Belgium,LEAGUE,144,Jupiler Pro League,2023,true,CAPTURED,1,2026-09-19T07:52:32Z,315,
DOMESTIC_LEAGUE,Belgium,LEAGUE,144,Jupiler Pro League,2024,true,CAPTURED,1,2026-09-19T07:52:34Z,315,
DOMESTIC_LEAGUE,Belgium,LEAGUE,144,Jupiler Pro League,2025,true,CAPTURED,1,2026-09-19T07:52:35Z,321,
DOMESTIC_LEAGUE,Denmark,LEAGUE,119,Superliga,2017,true,CAPTURED,1,2026-09-19T07:52:37Z,243,
DOMESTIC_LEAGUE,Denmark,LEAGUE,119,Superliga,2018,true,CAPTURED,1,2026-09-19T07:52:39Z,243,
DOMESTIC_LEAGUE,Denmark,LEAGUE,119,Superliga,2019,true,CAPTURED,1,2026-09-19T07:52:40Z,243,
DOMESTIC_LEAGUE,Denmark,LEAGUE,119,Superliga,2020,true,CAPTURED,1,2026-09-19T07:52:42Z,193,
DOMESTIC_LEAGUE,Denmark,LEAGUE,119,Superliga,2021,true,CAPTURED,1,2026-09-19T07:52:44Z,193,
DOMESTIC_LEAGUE,Denmark,LEAGUE,119,Superliga,2022,true,CAPTURED,1,2026-09-19T07:52:46Z,193,
DOMESTIC_LEAGUE,Denmark,LEAGUE,119,Superliga,2023,true,CAPTURED,1,2026-09-19T07:52:47Z,193,
DOMESTIC_LEAGUE,Denmark,LEAGUE,119,Superliga,2024,true,CAPTURED,1,2026-09-19T07:52:49Z,193,
DOMESTIC_LEAGUE,Denmark,LEAGUE,119,Superliga,2025,true,CAPTURED,1,2026-09-19T07:52:50Z,193,
DOMESTIC_LEAGUE,England,LEAGUE,39,Premier League,2017,true,CAPTURED,1,2026-09-19T07:52:52Z,380,
DOMESTIC_LEAGUE,England,LEAGUE,39,Premier League,2018,true,CAPTURED,1,2026-09-19T07:52:54Z,380,
DOMESTIC_LEAGUE,England,LEAGUE,39,Premier League,2019,true,CAPTURED,1,2026-09-19T07:52:55Z,380,
DOMESTIC_LEAGUE,England,LEAGUE,39,Premier League,2020,true,CAPTURED,1,2026-09-19T07:52:57Z,380,
DOMESTIC_LEAGUE,England,LEAGUE,39,Premier League,2021,true,CAPTURED,1,2026-09-19T07:52:58Z,380,
DOMESTIC_LEAGUE,England,LEAGUE,39,Premier League,2022,true,CAPTURED,1,2026-09-19T07:52:59Z,380,
DOMESTIC_LEAGUE,England,LEAGUE,39,Premier League,2023,true,CAPTURED,1,2026-09-19T07:53:00Z,380,
DOMESTIC_LEAGUE,England,LEAGUE,39,Premier League,2024,true,CAPTURED,1,2026-09-19T07:53:01Z,380,
DOMESTIC_LEAGUE,England,LEAGUE,39,Premier League,2025,true,CAPTURED,1,2026-09-19T07:53:03Z,380,
DOMESTIC_LEAGUE,France,LEAGUE,61,Ligue 1,2017,true,CAPTURED,1,2026-09-19T07:53:04Z,380,
DOMESTIC_LEAGUE,France,LEAGUE,61,Ligue 1,2018,true,CAPTURED,1,2026-09-19T07:53:05Z,380,
DOMESTIC_LEAGUE,France,LEAGUE,61,Ligue 1,2019,true,CAPTURED,1,2026-09-19T07:53:07Z,380,
DOMESTIC_LEAGUE,France,LEAGUE,61,Ligue 1,2020,true,CAPTURED,1,2026-09-19T07:53:08Z,382,
DOMESTIC_LEAGUE,France,LEAGUE,61,Ligue 1,2021,true,CAPTURED,1,2026-09-19T07:53:09Z,382,
DOMESTIC_LEAGUE,France,LEAGUE,61,Ligue 1,2022,true,CAPTURED,1,2026-09-19T07:53:10Z,380,
DOMESTIC_LEAGUE,France,LEAGUE,61,Ligue 1,2023,true,CAPTURED,1,2026-09-19T07:53:11Z,308,
DOMESTIC_LEAGUE,France,LEAGUE,61,Ligue 1,2024,true,CAPTURED,1,2026-09-19T07:53:12Z,308,
DOMESTIC_LEAGUE,France,LEAGUE,61,Ligue 1,2025,true,CAPTURED,1,2026-09-19T07:53:14Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2017,true,CAPTURED,1,2026-09-19T07:53:15Z,306,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2018,true,CAPTURED,1,2026-09-19T07:53:16Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2019,true,CAPTURED,1,2026-09-19T07:53:17Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2020,true,CAPTURED,1,2026-09-19T07:53:19Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2021,true,CAPTURED,1,2026-09-19T07:53:20Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2022,true,CAPTURED,1,2026-09-19T07:53:21Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2023,true,CAPTURED,1,2026-09-19T07:53:22Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2024,true,CAPTURED,1,2026-09-19T07:53:23Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2025,true,CAPTURED,1,2026-09-19T07:53:25Z,308,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2017,true,CAPTURED,1,2026-09-19T07:53:26Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2018,true,CAPTURED,1,2026-09-19T07:53:27Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2019,true,CAPTURED,1,2026-09-19T07:53:29Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2020,true,CAPTURED,1,2026-09-19T07:53:30Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2021,true,CAPTURED,1,2026-09-19T07:53:31Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2022,true,CAPTURED,1,2026-09-19T07:53:32Z,381,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2023,true,CAPTURED,1,2026-09-19T07:53:34Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2024,true,CAPTURED,1,2026-09-19T07:53:35Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2025,true,CAPTURED,1,2026-09-19T07:53:36Z,380,
DOMESTIC_LEAGUE,Latvia,LEAGUE,365,Virsliga,2017,true,CAPTURED,1,2026-09-19T07:53:37Z,112,
