competition_role,country,slot,canonical_name,provider_league_id,provider_name,provider_type,requested_seasons,available_requested_seasons,missing_requested_seasons,required,discovery_status,error
DOMESTIC_LEAGUE,Austria,LEAGUE,Austrian Bundesliga,218,Bundesliga,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Belgium,LEAGUE,Belgian Pro League,144,Jupiler Pro League,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Denmark,LEAGUE,Danish Superliga,119,Superliga,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,England,LEAGUE,Premier League,39,Premier League,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,France,LEAGUE,Ligue 1,61,Ligue 1,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Germany,LEAGUE,Bundesliga,78,Bundesliga,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Italy,LEAGUE,Serie A,135,Serie A,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Latvia,LEAGUE,Virsliga,365,Virsliga,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Lithuania,LEAGUE,A Lyga,362,A Lyga,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Netherlands,LEAGUE,Eredivisie,88,Eredivisie,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Norway,LEAGUE,Eliteserien,103,Eliteserien,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Poland,LEAGUE,Ekstraklasa,106,Ekstraklasa,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2018|2019|2020|2021|2022|2023|2024|2025,2017,true,RESOLVED,
DOMESTIC_LEAGUE,Portugal,LEAGUE,Primeira Liga,94,Primeira Liga,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Scotland,LEAGUE,Scottish Premiership,179,Premiership,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Spain,LEAGUE,La Liga,140,La Liga,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_LEAGUE,Turkey,LEAGUE,Super Lig,203,Süper Lig,League,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_CUP,Austria,NATIONAL_CUP,Austrian Cup,220,Cup,Cup,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_CUP,Belgium,NATIONAL_CUP,Belgian Cup,147,Cup,Cup,2017|2018|2019|2020|2021|2022|2023|2024|2025,2019|2020|2021|2022|2023|2024|2025,2017|2018,true,RESOLVED,
DOMESTIC_CUP,Denmark,NATIONAL_CUP,DBU Pokalen,121,DBU Pokalen,Cup,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_CUP,England,LEAGUE_CUP,League Cup,48,League Cup,Cup,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_CUP,England,NATIONAL_CUP,FA Cup,45,FA Cup,Cup,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_CUP,France,LEAGUE_CUP,Coupe de la Ligue,65,Coupe de la Ligue,Cup,2017|2018|2019,2017|2018|2019,,false,RESOLVED,
DOMESTIC_CUP,France,NATIONAL_CUP,Coupe de France,66,Coupe de France,Cup,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
DOMESTIC_CUP,Germany,NATIONAL_CUP,DFB Pokal,81,DFB Pokal,Cup,2017|2018|2019|2020|2021|2022|2023|2024|2025,2017|2018|2019|2020|2021|2022|2023|2024|2025,,true,RESOLVED,
