provider_league_id,league_name,country,season,status,attempt_count,last_attempt_at_utc,fixture_rows,referee_rows,error
39,Premier League,England,2017,CAPTURED,1,2026-09-18T21:17:24Z,380,380,
78,Bundesliga,Germany,2017,CAPTURED,1,2026-09-18T21:17:27Z,306,306,
135,Serie A,Italy,2017,CAPTURED,1,2026-09-18T21:17:29Z,380,380,
140,La Liga,Spain,2017,CAPTURED,1,2026-09-18T21:17:31Z,380,380,
61,Ligue 1,France,2017,CAPTURED,1,2026-09-18T21:17:33Z,380,380,
39,Premier League,England,2018,CAPTURED,1,2026-09-18T21:17:35Z,380,380,
78,Bundesliga,Germany,2018,CAPTURED,1,2026-09-18T21:17:37Z,308,307,
135,Serie A,Italy,2018,CAPTURED,1,2026-09-18T21:17:39Z,380,380,
140,La Liga,Spain,2018,CAPTURED,1,2026-09-18T21:17:41Z,380,380,
61,Ligue 1,France,2018,CAPTURED,1,2026-09-18T21:17:44Z,380,380,
39,Premier League,England,2019,CAPTURED,1,2026-09-18T21:17:46Z,380,380,
78,Bundesliga,Germany,2019,CAPTURED,1,2026-09-18T21:17:49Z,308,308,
135,Serie A,Italy,2019,CAPTURED,1,2026-09-18T21:17:51Z,380,380,
140,La Liga,Spain,2019,CAPTURED,1,2026-09-18T21:17:53Z,380,380,
61,Ligue 1,France,2019,CAPTURED,1,2026-09-18T21:17:55Z,380,290,
39,Premier League,England,2020,CAPTURED,1,2026-09-18T21:17:57Z,380,380,
78,Bundesliga,Germany,2020,CAPTURED,1,2026-09-18T21:17:59Z,308,308,
135,Serie A,Italy,2020,CAPTURED,1,2026-09-18T21:18:01Z,380,380,
140,La Liga,Spain,2020,CAPTURED,1,2026-09-18T21:18:03Z,380,380,
61,Ligue 1,France,2020,CAPTURED,1,2026-09-18T21:18:06Z,382,382,
39,Premier League,England,2021,CAPTURED,1,2026-09-18T21:18:07Z,380,380,
78,Bundesliga,Germany,2021,CAPTURED,1,2026-09-18T21:18:09Z,308,308,
135,Serie A,Italy,2021,CAPTURED,1,2026-09-18T21:18:11Z,380,380,
140,La Liga,Spain,2021,CAPTURED,1,2026-09-18T21:18:14Z,380,380,
61,Ligue 1,France,2021,CAPTURED,1,2026-09-18T21:18:16Z,382,382,
39,Premier League,England,2022,CAPTURED,1,2026-09-18T21:18:18Z,380,380,
78,Bundesliga,Germany,2022,CAPTURED,1,2026-09-18T21:18:20Z,308,308,
135,Serie A,Italy,2022,CAPTURED,1,2026-09-18T21:18:23Z,381,381,
140,La Liga,Spain,2022,CAPTURED,1,2026-09-18T21:18:25Z,380,380,
61,Ligue 1,France,2022,CAPTURED,1,2026-09-18T21:18:27Z,380,380,
39,Premier League,England,2023,CAPTURED,1,2026-09-18T21:18:29Z,380,380,
78,Bundesliga,Germany,2023,CAPTURED,1,2026-09-18T21:18:31Z,308,308,
135,Serie A,Italy,2023,CAPTURED,1,2026-09-18T21:18:33Z,380,380,
140,La Liga,Spain,2023,CAPTURED,1,2026-09-18T21:18:35Z,380,380,
61,Ligue 1,France,2023,CAPTURED,1,2026-09-18T21:18:37Z,308,308,
39,Premier League,England,2024,CAPTURED,1,2026-09-18T21:18:39Z,380,380,
78,Bundesliga,Germany,2024,CAPTURED,1,2026-09-18T21:18:41Z,308,308,
135,Serie A,Italy,2024,CAPTURED,1,2026-09-18T21:18:43Z,380,380,
140,La Liga,Spain,2024,CAPTURED,1,2026-09-18T21:18:45Z,380,380,
61,Ligue 1,France,2024,CAPTURED,1,2026-09-18T21:18:47Z,308,308,
39,Premier League,England,2025,CAPTURED,1,2026-09-18T21:18:49Z,380,380,
78,Bundesliga,Germany,2025,CAPTURED,1,2026-09-18T21:18:51Z,308,308,
135,Serie A,Italy,2025,CAPTURED,1,2026-09-18T21:18:54Z,380,380,
140,La Liga,Spain,2025,CAPTURED,1,2026-09-18T21:18:56Z,380,380,
61,Ligue 1,France,2025,CAPTURED,1,2026-09-18T21:18:58Z,308,308,
