factor,bucket,scope_type,scope_value,matches,sample_band,home_wins,draws,away_wins,home_win_rate,draw_rate,away_win_rate,avg_total_goals,over25_rate,btts_rate,closing_1x2_matches,closing_1x2_avg_source_rows,closing_1x2_b365_source_rows,closing_home_hit_rate,closing_draw_hit_rate,closing_away_hit_rate,avg_market_novig_home,avg_market_novig_draw,avg_market_novig_away,home_calibration_pp,draw_calibration_pp,away_calibration_pp,home_flat_bet_roi_pct,draw_flat_bet_roi_pct,away_flat_bet_roi_pct,closing_total25_matches,closing_total25_avg_source_rows,closing_total25_b365_source_rows,closing_over25_hit_rate,closing_under25_hit_rate,avg_market_novig_over25,avg_market_novig_under25,over25_calibration_pp,under25_calibration_pp,over25_flat_bet_roi_pct,under25_flat_bet_roi_pct,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,ALL,ALL,33,LT50,19,6,8,0.57576,0.18182,0.24242,3.333,0.69697,0.60606,25,25,0,0.64,0.16,0.2,0.62387,0.19558,0.18055,1.613,-3.558,1.945,-6.12,-19.72,-22.2,25,25,0,0.72,0.28,0.61546,0.38454,10.454,-10.454,8.6,-39.0,true,false,false,false,false,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE,D1,10,LT50,6,2,2,0.6,0.2,0.2,3.2,0.8,0.6,8,8,0,0.5,0.25,0.25,0.52976,0.23659,0.23365,-2.976,1.341,1.635,-3.125,24.625,-1.625,8,8,0,0.75,0.25,0.58678,0.41322,16.322,-16.322,18.75,-51.25,true,false,false,false,false,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE,E0,5,LT50,3,0,2,0.6,0.0,0.4,3.0,0.6,0.4,4,4,0,0.75,0.0,0.25,0.63161,0.19725,0.17113,11.839,-19.725,7.887,4.25,-100.0,-27.25,4,4,0,0.75,0.25,0.61705,0.38295,13.295,-13.295,9.25,-54.25,true,false,false,false,false,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE,F1,9,LT50,6,1,2,0.66667,0.11111,0.22222,4.444,0.77778,0.66667,8,8,0,0.75,0.0,0.25,0.71099,0.16752,0.1215,3.901,-16.752,12.85,-6.0,-100.0,8.375,8,8,0,0.875,0.125,0.63904,0.36096,23.596,-23.596,28.375,-73.75,true,false,false,false,false,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE,I1,5,LT50,0,3,2,0.0,0.6,0.4,2.0,0.4,0.6,2,2,0,0.0,1.0,0.0,0.46735,0.19674,0.33591,-46.735,80.326,-33.591,-100.0,405.0,-100.0,2,2,0,0.0,1.0,0.59642,0.40358,-59.642,59.642,-100.0,137.5,true,false,false,false,false,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE,SP1,4,LT50,4,0,0,1.0,0.0,0.0,3.25,0.75,0.75,3,3,0,1.0,0.0,0.0,0.73657,0.15802,0.1054,26.343,-15.802,-10.54,34.333,-100.0,-100.0,3,3,0,0.66667,0.33333,0.6396,0.3604,2.707,-2.707,0.333,-11.0,true,false,false,false,false,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2017/2018,2,LT50,2,0,0,1.0,0.0,0.0,4.0,1.0,0.5,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2019/2020,1,LT50,1,0,0,1.0,0.0,0.0,4.0,1.0,1.0,1,1,0,1.0,0.0,0.0,0.3995,0.26896,0.33153,60.05,-26.896,-33.153,139.0,-100.0,-100.0,1,1,0,1.0,0.0,0.54948,0.45052,45.052,-45.052,73.0,-100.0,true,false,false,false,false,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2020/2021,1,LT50,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1.0,0.0,0.0,0.50398,0.26748,0.22854,49.602,-26.748,-22.854,90.0,-100.0,-100.0,1,1,0,0.0,1.0,0.51444,0.48556,-51.444,51.444,-100.0,96.0,true,false,false,false,false,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE_SEASON,D1|2021/2022,1,LT50,1,0,0,1.0,0.0,0.0,3.0,1.0,1.0,1,1,0,1.0,0.0,0.0,0.43871,0.26837,0.29292,56.129,-26.837,-29.292,119.0,-100.0,-100.0,1,1,0,1.0,0.0,0.53385,0.46615,46.615,-46.615,79.0,-100.0,true,false,false,false,false,false,false
