factor,bucket,scope_type,scope_value,seasons_with_matches,total_matches,min_season_matches,max_season_matches,home_roi_observed_seasons,home_roi_positive_seasons,draw_roi_observed_seasons,draw_roi_positive_seasons,away_roi_observed_seasons,away_roi_positive_seasons,over25_roi_observed_seasons,over25_roi_positive_seasons,under25_roi_observed_seasons,under25_roi_positive_seasons,home_calibration_observed_seasons,home_calibration_positive_seasons,over25_calibration_observed_seasons,over25_calibration_positive_seasons,research_only,operational_betting_authority,creates_signal
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,ALL,ALL,9,33,2,8,7,4,7,2,7,1,7,5,7,1,7,5,7,5,true,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE,D1,6,10,1,3,5,3,5,2,5,1,5,4,5,1,5,3,5,4,true,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE,E0,5,5,1,1,4,3,4,0,4,1,4,3,4,1,4,3,4,3,true,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE,F1,5,9,1,3,4,3,4,0,4,1,4,3,4,0,4,3,4,4,true,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE,I1,3,5,1,2,1,0,1,1,1,0,1,0,1,1,1,0,1,0,true,false,false
DRAW_SAFE_PATH_SIDE,AWAY_ONLY,LEAGUE,SP1,4,4,1,1,3,3,3,0,3,0,3,2,3,1,3,3,3,2,true,false,false
DRAW_SAFE_PATH_SIDE,HOME_ONLY,ALL,ALL,9,49,2,9,7,2,7,1,7,2,7,3,7,3,7,4,7,4,true,false,false
DRAW_SAFE_PATH_SIDE,HOME_ONLY,LEAGUE,D1,9,17,1,3,7,4,7,2,7,1,7,3,7,3,7,4,7,3,true,false,false
DRAW_SAFE_PATH_SIDE,HOME_ONLY,LEAGUE,E0,4,7,1,3,3,1,3,0,3,2,3,2,3,1,3,1,3,2,true,false,false
DRAW_SAFE_PATH_SIDE,HOME_ONLY,LEAGUE,F1,8,10,1,2,6,3,6,0,6,3,6,2,6,4,6,3,6,2,true,false,false
DRAW_SAFE_PATH_SIDE,HOME_ONLY,LEAGUE,I1,4,5,1,2,4,0,4,0,4,4,4,3,4,1,4,0,4,3,true,false,false
DRAW_SAFE_PATH_SIDE,HOME_ONLY,LEAGUE,SP1,6,10,1,2,5,1,5,1,5,3,5,2,5,2,5,1,5,2,true,false,false
DRAW_SAFE_PATH_SIDE,NEITHER,ALL,ALL,9,15549,1671,1768,7,1,7,1,7,1,7,0,7,0,7,3,7,5,true,false,false
DRAW_SAFE_PATH_SIDE,NEITHER,LEAGUE,D1,9,2646,291,296,7,3,7,4,7,2,7,1,7,0,7,3,7,6,true,false,false
DRAW_SAFE_PATH_SIDE,NEITHER,LEAGUE,E0,9,3310,362,370,7,2,7,2,7,2,7,1,7,1,7,3,7,3,true,false,false
DRAW_SAFE_PATH_SIDE,NEITHER,LEAGUE,F1,9,2984,269,368,7,3,7,1,7,3,7,2,7,0,7,3,7,4,true,false,false
