factor,bucket,scope_type,scope_value,matches,sample_band,home_wins,draws,away_wins,home_win_rate,draw_rate,away_win_rate,avg_total_goals,over25_rate,btts_rate,closing_1x2_matches,closing_1x2_avg_source_rows,closing_1x2_b365_source_rows,closing_home_hit_rate,closing_draw_hit_rate,closing_away_hit_rate,avg_market_novig_home,avg_market_novig_draw,avg_market_novig_away,home_calibration_pp,draw_calibration_pp,away_calibration_pp,home_flat_bet_roi_pct,draw_flat_bet_roi_pct,away_flat_bet_roi_pct,closing_total25_matches,closing_total25_avg_source_rows,closing_total25_b365_source_rows,closing_over25_hit_rate,closing_under25_hit_rate,avg_market_novig_over25,avg_market_novig_under25,over25_calibration_pp,under25_calibration_pp,over25_flat_bet_roi_pct,under25_flat_bet_roi_pct,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
CONGESTION_7D_DIFF,AWAY_MORE,ALL,ALL,1923,500_PLUS,851,457,615,0.44254,0.23765,0.31981,2.824,0.53718,0.54134,1519,1519,0,0.43186,0.24029,0.32785,0.43635,0.25069,0.31296,-0.449,-1.04,1.489,-6.439,-7.359,-2.418,1519,1519,0,0.53983,0.46017,0.52624,0.47376,1.359,-1.359,-2.001,-7.709,true,false,false,false,false,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE,D1,280,200_499,110,78,92,0.39286,0.27857,0.32857,2.971,0.55357,0.54286,225,225,0,0.4,0.27111,0.32889,0.43791,0.23247,0.32962,-3.791,3.864,-0.073,-4.893,7.764,5.08,225,225,0,0.56889,0.43111,0.59686,0.40314,-2.797,2.797,-10.898,-0.827,true,false,false,false,false,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE,E0,320,200_499,147,62,111,0.45937,0.19375,0.34687,2.938,0.575,0.55312,271,271,0,0.42435,0.21033,0.36531,0.41755,0.24707,0.33538,0.68,-3.674,2.993,-2.528,-13.83,3.956,271,271,0,0.59779,0.40221,0.5427,0.4573,5.509,-5.509,5.978,-16.155,true,false,false,false,false,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE,F1,429,200_499,213,97,119,0.4965,0.22611,0.27739,2.879,0.54545,0.55245,336,336,0,0.50298,0.22024,0.27679,0.4759,0.24758,0.27652,2.708,-2.734,0.027,0.622,-14.765,-13.869,336,336,0,0.55655,0.44345,0.52939,0.47061,2.716,-2.716,-0.226,-11.756,true,false,false,false,false,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE,I1,443,200_499,175,111,157,0.39503,0.25056,0.3544,2.625,0.50564,0.51919,346,346,0,0.37572,0.25145,0.37283,0.42491,0.25499,0.32011,-4.919,-0.354,5.272,-19.483,-6.754,10.078,346,346,0,0.5,0.5,0.51713,0.48287,-1.713,1.713,-7.902,-0.777,true,false,false,false,false,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE,SP1,451,200_499,206,109,136,0.45676,0.24169,0.30155,2.796,0.52328,0.54324,341,341,0,0.44575,0.2522,0.30205,0.42291,0.26427,0.31282,2.284,-1.207,-1.077,-4.29,-5.51,-13.827,341,341,0,0.49853,0.50147,0.47271,0.52729,2.582,-2.582,1.765,-8.584,true,false,false,false,false,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE_SEASON,D1|2017/2018,26,LT50,6,14,6,0.23077,0.53846,0.23077,2.654,0.42308,0.61538,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE_SEASON,D1|2018/2019,29,LT50,14,3,12,0.48276,0.10345,0.41379,2.862,0.55172,0.41379,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE_SEASON,D1|2019/2020,20,LT50,7,5,8,0.35,0.25,0.4,3.0,0.5,0.55,20,20,0,0.35,0.25,0.4,0.44394,0.2287,0.32736,-9.394,2.13,7.264,-34.85,1.25,-2.8,20,20,0,0.5,0.5,0.62257,0.37743,-12.257,12.257,-27.75,15.15,true,false,false,false,false,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE_SEASON,D1|2020/2021,27,LT50,9,9,9,0.33333,0.33333,0.33333,2.519,0.48148,0.59259,27,27,0,0.33333,0.33333,0.33333,0.37083,0.24698,0.38219,-3.75,8.635,-4.886,7.63,26.519,2.074,27,27,0,0.48148,0.51852,0.56815,0.43185,-8.667,8.667,-23.778,8.889,true,false,false,false,false,false,false
