factor,bucket,scope_type,scope_value,seasons_with_matches,total_matches,min_season_matches,max_season_matches,home_roi_observed_seasons,home_roi_positive_seasons,draw_roi_observed_seasons,draw_roi_positive_seasons,away_roi_observed_seasons,away_roi_positive_seasons,over25_roi_observed_seasons,over25_roi_positive_seasons,under25_roi_observed_seasons,under25_roi_positive_seasons,home_calibration_observed_seasons,home_calibration_positive_seasons,over25_calibration_observed_seasons,over25_calibration_positive_seasons,research_only,operational_betting_authority,creates_signal
CONGESTION_7D_DIFF,AWAY_MORE,ALL,ALL,9,1923,171,241,7,2,7,2,7,3,7,3,7,1,7,4,7,4,true,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE,D1,9,280,20,42,7,4,7,4,7,4,7,1,7,5,7,2,7,2,true,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE,E0,9,320,17,56,7,3,7,3,7,1,7,3,7,0,7,3,7,7,true,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE,F1,9,429,24,56,7,4,7,1,7,1,7,3,7,2,7,5,7,5,true,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE,I1,9,443,46,53,7,1,7,3,7,4,7,3,7,4,7,1,7,3,true,false,false
CONGESTION_7D_DIFF,AWAY_MORE,LEAGUE,SP1,9,451,42,65,7,3,7,2,7,1,7,3,7,3,7,5,7,4,true,false,false
CONGESTION_7D_DIFF,EQUAL,ALL,ALL,9,12257,1299,1461,7,1,7,2,7,0,7,0,7,0,7,2,7,4,true,false,false
CONGESTION_7D_DIFF,EQUAL,LEAGUE,D1,9,2194,224,259,7,3,7,1,7,3,7,3,7,0,7,4,7,6,true,false,false
CONGESTION_7D_DIFF,EQUAL,LEAGUE,E0,9,2762,272,337,7,2,7,1,7,4,7,1,7,3,7,1,7,2,true,false,false
CONGESTION_7D_DIFF,EQUAL,LEAGUE,F1,9,2255,207,297,7,2,7,2,7,3,7,1,7,0,7,4,7,4,true,false,false
CONGESTION_7D_DIFF,EQUAL,LEAGUE,I1,9,2538,269,294,7,0,7,3,7,2,7,1,7,1,7,2,7,5,true,false,false
CONGESTION_7D_DIFF,EQUAL,LEAGUE,SP1,9,2508,259,294,7,2,7,2,7,0,7,0,7,3,7,4,7,1,true,false,false
CONGESTION_7D_DIFF,HOME_MORE,ALL,ALL,9,1931,184,267,7,2,7,3,7,2,7,2,7,0,7,4,7,4,true,false,false
CONGESTION_7D_DIFF,HOME_MORE,LEAGUE,D1,9,280,23,40,7,4,7,4,7,1,7,4,7,3,7,3,7,4,true,false,false
CONGESTION_7D_DIFF,HOME_MORE,LEAGUE,E0,9,338,26,52,7,4,7,2,7,1,7,2,7,3,7,5,7,3,true,false,false
CONGESTION_7D_DIFF,HOME_MORE,LEAGUE,F1,9,413,29,61,7,2,7,3,7,4,7,3,7,1,7,3,7,6,true,false,false
CONGESTION_7D_DIFF,HOME_MORE,LEAGUE,I1,9,439,37,61,7,0,7,3,7,3,7,4,7,2,7,3,7,4,true,false,false
CONGESTION_7D_DIFF,HOME_MORE,LEAGUE,SP1,9,461,40,64,7,4,7,1,7,3,7,5,7,1,7,6,7,6,true,false,false
FORM5_PPG_DIFF,AWAY_025_074_BETTER,ALL,ALL,9,2026,188,240,7,3,7,1,7,2,7,3,7,1,7,4,7,5,true,false,false
FORM5_PPG_DIFF,AWAY_025_074_BETTER,LEAGUE,D1,9,318,27,43,7,4,7,4,7,2,7,4,7,2,7,2,7,5,true,false,false
FORM5_PPG_DIFF,AWAY_025_074_BETTER,LEAGUE,E0,9,439,36,60,7,3,7,1,7,6,7,4,7,0,7,3,7,6,true,false,false
FORM5_PPG_DIFF,AWAY_025_074_BETTER,LEAGUE,F1,9,375,32,56,7,3,7,3,7,2,7,2,7,3,7,4,7,3,true,false,false
FORM5_PPG_DIFF,AWAY_025_074_BETTER,LEAGUE,I1,9,452,43,55,7,4,7,3,7,2,7,3,7,3,7,4,7,4,true,false,false
FORM5_PPG_DIFF,AWAY_025_074_BETTER,LEAGUE,SP1,9,442,37,61,7,3,7,2,7,1,7,1,7,0,7,5,7,2,true,false,false
FORM5_PPG_DIFF,AWAY_075PLUS_BETTER,ALL,ALL,9,3473,357,411,7,2,7,2,7,0,7,0,7,1,7,4,7,3,true,false,false
FORM5_PPG_DIFF,AWAY_075PLUS_BETTER,LEAGUE,D1,9,616,56,82,7,3,7,2,7,2,7,3,7,1,7,3,7,5,true,false,false
FORM5_PPG_DIFF,AWAY_075PLUS_BETTER,LEAGUE,E0,9,765,76,97,7,2,7,3,7,1,7,2,7,3,7,5,7,4,true,false,false
FORM5_PPG_DIFF,AWAY_075PLUS_BETTER,LEAGUE,F1,9,647,56,90,7,4,7,2,7,2,7,1,7,3,7,3,7,2,true,false,false
FORM5_PPG_DIFF,AWAY_075PLUS_BETTER,LEAGUE,I1,9,724,73,86,7,1,7,2,7,3,7,2,7,2,7,1,7,5,true,false,false
FORM5_PPG_DIFF,AWAY_075PLUS_BETTER,LEAGUE,SP1,9,721,72,93,7,4,7,3,7,0,7,1,7,3,7,5,7,2,true,false,false
FORM5_PPG_DIFF,BALANCED,ALL,ALL,9,3404,357,400,7,1,7,2,7,1,7,3,7,1,7,3,7,5,true,false,false
FORM5_PPG_DIFF,BALANCED,LEAGUE,D1,9,558,48,75,7,3,7,4,7,2,7,2,7,4,7,4,7,2,true,false,false
FORM5_PPG_DIFF,BALANCED,LEAGUE,E0,9,717,57,89,7,4,7,2,7,2,7,3,7,2,7,5,7,4,true,false,false
FORM5_PPG_DIFF,BALANCED,LEAGUE,F1,9,667,51,91,7,2,7,3,7,4,7,5,7,1,7,3,7,6,true,false,false
FORM5_PPG_DIFF,BALANCED,LEAGUE,I1,9,690,70,88,7,1,7,2,7,4,7,3,7,2,7,2,7,3,true,false,false
FORM5_PPG_DIFF,BALANCED,LEAGUE,SP1,9,772,72,94,7,2,7,3,7,1,7,4,7,1,7,4,7,5,true,false,false
FORM5_PPG_DIFF,HOME_025_074_BETTER,ALL,ALL,9,1896,189,229,7,1,7,3,7,2,7,1,7,1,7,3,7,5,true,false,false
FORM5_PPG_DIFF,HOME_025_074_BETTER,LEAGUE,D1,9,326,29,46,7,2,7,6,7,3,7,4,7,3,7,4,7,4,true,false,false
FORM5_PPG_DIFF,HOME_025_074_BETTER,LEAGUE,E0,9,378,36,56,7,2,7,5,7,3,7,3,7,2,7,3,7,4,true,false,false
FORM5_PPG_DIFF,HOME_025_074_BETTER,LEAGUE,F1,9,368,25,48,7,1,7,1,7,3,7,4,7,1,7,3,7,5,true,false,false
