api_fixture_id,captured_at_utc,div,league,match_date,home_team,away_team,b365_home,b365_draw,b365_away,api_update_utc,source
1550126,2026-09-11T09:57:16Z,I1,Serie A,2026-09-11,Venezia,Fiorentina,2.75,3.3,2.55,2026-09-11T06:00:26+00:00,API-Football Bet365 first captured by Stage53
1550119,2026-09-11T09:57:16Z,I1,Serie A,2026-09-12,Genoa,Frosinone,2.1,3.3,3.6,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550121,2026-09-11T09:57:16Z,I1,Serie A,2026-09-12,Lazio,AC Milan,3.4,3.2,2.25,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550117,2026-09-11T09:57:16Z,I1,Serie A,2026-09-12,Atalanta,Cagliari,1.57,4.0,6.0,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550122,2026-09-11T09:57:16Z,I1,Serie A,2026-09-13,Lecce,Monza,2.7,3.1,2.8,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550123,2026-09-11T09:57:16Z,I1,Serie A,2026-09-13,Napoli,Bologna,1.75,3.5,5.0,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550124,2026-09-11T09:57:16Z,I1,Serie A,2026-09-13,Sassuolo,Juventus,5.25,4.0,1.62,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550125,2026-09-11T09:57:16Z,I1,Serie A,2026-09-14,Torino,AS Roma,6.0,4.0,1.57,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550118,2026-09-11T09:57:16Z,I1,Serie A,2026-09-14,Como,Parma,1.22,5.5,15.0,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550120,2026-09-11T09:57:16Z,I1,Serie A,2026-09-14,Inter,Udinese,1.27,5.75,12.0,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550133,2026-09-11T09:57:16Z,I1,Serie A,2026-09-18,Monza,Sassuolo,2.75,3.25,2.55,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550135,2026-09-11T09:57:16Z,I1,Serie A,2026-09-19,Udinese,Cagliari,2.0,3.2,4.0,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550129,2026-09-11T09:57:16Z,I1,Serie A,2026-09-19,Bologna,Torino,1.9,3.5,4.0,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550128,2026-09-11T09:57:16Z,I1,Serie A,2026-09-19,AS Roma,Inter,2.55,3.5,2.6,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550136,2026-09-11T09:57:16Z,I1,Serie A,2026-09-19,Venezia,Lazio,3.1,3.25,2.3,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550130,2026-09-11T09:57:16Z,I1,Serie A,2026-09-20,Fiorentina,Napoli,3.4,3.4,2.1,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550131,2026-09-11T09:57:16Z,I1,Serie A,2026-09-20,Frosinone,Como,5.25,3.9,1.62,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550134,2026-09-11T09:57:16Z,I1,Serie A,2026-09-20,Parma,Genoa,3.0,3.0,2.55,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550132,2026-09-11T09:57:16Z,I1,Serie A,2026-09-20,Juventus,Atalanta,1.6,4.0,5.25,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
1550127,2026-09-11T09:57:16Z,I1,Serie A,2026-09-20,AC Milan,Lecce,1.33,4.75,9.5,2026-09-11T09:01:15+00:00,API-Football Bet365 first captured by Stage53
