venue_id,venue_name,venue_city,team_count,team_names,league_ids,shared_venue,nominal_capacity,surface_provider,evidence_field,current_value,capture_priority,priority_reason,evidence_temporality,evidence_required,backlog_status,first_queued_at_utc,last_seen_at_utc,evidence_status,source,source_checked_at_utc,effective_from,effective_to,captured_value,notes,provider_calls,web_calls,inference_allowed,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
907,Stadio Giuseppe Meazza,Milano,2,AC Milan | Inter,135,true,80018,grass,acoustic_enclosure_class,,45,SHARED_VENUE|CAPACITY_GE_50000,STRUCTURAL,EVIDENCE_BACKED_CLASSIFICATION,PENDING,2026-09-24T16:29:42Z,2026-09-24T16:29:42Z,,,,,,,,0,0,false,true,false,false,false,false,false,false
907,Stadio Giuseppe Meazza,Milano,2,AC Milan | Inter,135,true,80018,grass,enclosure_class,,45,SHARED_VENUE|CAPACITY_GE_50000,STRUCTURAL,EVIDENCE_BACKED_CLASSIFICATION,PENDING,2026-09-24T16:29:42Z,2026-09-24T16:29:42Z,,,,,,,,0,0,false,true,false,false,false,false,false,false
907,Stadio Giuseppe Meazza,Milano,2,AC Milan | Inter,135,true,80018,grass,operational_capacity,,45,SHARED_VENUE|CAPACITY_GE_50000,DATED_OR_CURRENT,DIRECT_OR_AUTHORITATIVE,PENDING,2026-09-24T16:29:42Z,2026-09-24T16:29:42Z,,,,,,,,0,0,false,true,false,false,false,false,false,false
907,Stadio Giuseppe Meazza,Milano,2,AC Milan | Inter,135,true,80018,grass,pitch_orientation_deg,,45,SHARED_VENUE|CAPACITY_GE_50000,STRUCTURAL,DIRECT_GEOMETRY_OR_VERIFIED_MAP,PENDING,2026-09-24T16:29:42Z,2026-09-24T16:29:42Z,,,,,,,,0,0,false,true,false,false,false,false,false,false
907,Stadio Giuseppe Meazza,Milano,2,AC Milan | Inter,135,true,80018,grass,roof_state_default,,45,SHARED_VENUE|CAPACITY_GE_50000,STRUCTURAL_OR_MATCH_SPECIFIC,DIRECT_OR_AUTHORITATIVE,PENDING,2026-09-24T16:29:42Z,2026-09-24T16:29:42Z,,,,,,,,0,0,false,true,false,false,false,false,false,false
907,Stadio Giuseppe Meazza,Milano,2,AC Milan | Inter,135,true,80018,grass,roof_type,,45,SHARED_VENUE|CAPACITY_GE_50000,STRUCTURAL_WITH_EFFECTIVE_DATES_IF_CHANGED,DIRECT_OR_AUTHORITATIVE,PENDING,2026-09-24T16:29:42Z,2026-09-24T16:29:42Z,,,,,,,,0,0,false,true,false,false,false,false,false,false
907,Stadio Giuseppe Meazza,Milano,2,AC Milan | Inter,135,true,80018,grass,wind_exposure_class,,45,SHARED_VENUE|CAPACITY_GE_50000,STRUCTURAL,EVIDENCE_BACKED_CLASSIFICATION,PENDING,2026-09-24T16:29:42Z,2026-09-24T16:29:42Z,,,,,,,,0,0,false,true,false,false,false,false,false,false
910,Stadio Olimpico,Roma,2,AS Roma | Lazio,135,true,68530,grass,acoustic_enclosure_class,,45,SHARED_VENUE|CAPACITY_GE_50000,STRUCTURAL,EVIDENCE_BACKED_CLASSIFICATION,PENDING,2026-09-24T16:29:42Z,2026-09-24T16:29:42Z,,,,,,,,0,0,false,true,false,false,false,false,false,false
910,Stadio Olimpico,Roma,2,AS Roma | Lazio,135,true,68530,grass,enclosure_class,,45,SHARED_VENUE|CAPACITY_GE_50000,STRUCTURAL,EVIDENCE_BACKED_CLASSIFICATION,PENDING,2026-09-24T16:29:42Z,2026-09-24T16:29:42Z,,,,,,,,0,0,false,true,false,false,false,false,false,false
910,Stadio Olimpico,Roma,2,AS Roma | Lazio,135,true,68530,grass,operational_capacity,,45,SHARED_VENUE|CAPACITY_GE_50000,DATED_OR_CURRENT,DIRECT_OR_AUTHORITATIVE,PENDING,2026-09-24T16:29:42Z,2026-09-24T16:29:42Z,,,,,,,,0,0,false,true,false,false,false,false,false,false
